# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14A, field: Blind14A_04, CCD: S23, ipix: 1682, jpix: 1588, RA: 10:01:36.977, DEC: 02:44:40.842
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.2273341 56717.1318479 1.26 1.22 174.0 -110.768101753 138.55042079 30.0 2.92204811482 0.0 g
56717.321649 56717.1318479 2.02 1.22 174.0 342.192194008 164.946838787 24.3516978749 0.427142349284 0.714238087891 g
56718.0258872 56717.1318479 1.95 1.22 174.0 615.889444551 188.266483814 23.7136162183 0.289593767506 0.396104362148 g
56718.1164548 56717.1318479 1.26 1.22 174.0 701.70373839 178.069988002 23.571988645 0.245542994409 0.317815398497 g
56718.2087931 56717.1318479 1.22 1.22 174.0 720.073045481 164.901244734 23.543931735 0.223885249332 0.28237288925 g
56718.3020917 56717.1318479 1.77 1.22 174.0 739.763783701 166.13301077 23.5146404559 0.219964142431 0.276151561334 g
56719.0154726 56717.1318479 2.09 1.22 174.0 752.56356018 189.011025357 23.4960151568 0.243278855503 0.314021945006 g
56719.1074035 56717.1318479 1.27 1.22 174.0 1246.9363639 151.111702231 22.947762395 0.124194532046 0.140258050543 g
56719.1987278 56717.1318479 1.21 1.22 174.0 1353.09588318 137.631938658 22.859051689 0.105174460488 0.116466230551 g
56719.2994239 56717.1318479 1.77 1.22 174.0 1076.95999553 145.383327635 23.1068741922 0.137484082997 0.157452421685 g
56720.0164374 56717.1318479 2.01 1.22 174.0 1481.20586859 177.757293083 22.7608345605 0.123053295692 0.138803805736 g
56720.1075234 56717.1318479 1.27 1.22 174.0 2330.69187571 97.9684277792 22.2686609649 0.0447047800179 0.0466248224394 g
56720.2010923 56717.1318479 1.22 1.22 174.0 1755.430605 151.430506092 22.5764139563 0.0898384899227 0.0979481876299 g
56720.2931049 56717.1318479 1.73 1.22 174.0 1714.38872308 151.694308394 22.6020998674 0.0920541561536 0.100588103547 g
56721.0131159 56717.1318479 2.03 1.22 174.0 1831.95359406 207.855979787 22.5300869502 0.11668789407 0.130755849479 g
56721.1205837 56717.1318479 1.23 1.22 174.0 2292.77745424 150.331169999 22.2864683645 0.0689521857264 0.0736299011493 g
56721.2128794 56717.1318479 1.25 1.22 174.0 2376.78098479 146.465867801 22.24740021 0.0649264398104 0.069057340629 g
56721.3088322 56717.1318479 1.99 1.22 174.0 2120.36465007 162.861586284 22.3713467327 0.0803459775512 0.0867702618807 g
56733.1371827 56717.1318479 1.18 1.22 174.0 2604.48486406 377.938938398 22.148068526 0.147118797189 0.170225450949 g
