# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14C, field: Blind14A_30, CCD: S31, ipix: 213, jpix: 1309, RA: 11:11:15.99, DEC: 0:53:00.15
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.0884108 56717.1935429 1.72 1.17 174.0 -159.475657201 192.921134835 30.0 3.12347038549 0.0 g
56717.2886472 56717.1935429 1.27 1.17 174.0 382.63947963 188.903476533 24.2303986776 0.435647748803 0.738948603847 g
56717.3796602 56717.1935429 2.12 1.17 174.0 270.139132493 183.537121371 24.6084043685 0.56289636833 1.23514880823 g
56718.0829871 56717.1935429 1.76 1.17 174.0 1940.3827 205.820659561 22.467654636 0.109458691134 0.121743889866 g
56718.1753469 56717.1935429 1.2 1.17 174.0 2499.28550023 199.317590384 22.1928334467 0.0833078594962 0.0902352325367 g
56718.2658825 56717.1935429 1.21 1.17 174.0 2413.39859171 180.215556491 22.2308004833 0.07819077905 0.0842618374481 g
56718.3616865 56717.1935429 1.85 1.17 174.0 2522.94224583 196.951273477 22.1826048484 0.0816114832518 0.0882482103208 g
56719.0728387 56717.1935429 1.86 1.17 174.0 1887.54756936 195.327004339 22.4976283572 0.106913032632 0.118602341994 g
56719.164591 56717.1935429 1.22 1.17 174.0 4786.13927589 198.57295397 21.4874097898 0.0441368973847 0.046007441276 g
56719.2649083 56717.1935429 1.21 1.17 174.0 4644.55330691 197.118039491 21.5200132413 0.045128385856 0.0470857903481 g
56719.3680557 56717.1935429 2.0 1.17 174.0 3576.15672303 183.590818516 21.8038317626 0.0543553519393 0.0572206254074 g
56720.0739404 56717.1935429 1.8 1.17 174.0 4928.90028176 187.969193536 21.455498041 0.0406357673465 0.0422159730146 g
56720.1675916 56717.1935429 1.2 1.17 174.0 6895.17841929 196.540963764 21.0910093496 0.0305150848578 0.0313975873781 g
56720.258242 56717.1935429 1.2 1.17 174.0 6949.20122661 198.347975175 21.0825359016 0.0305556649167 0.0314405503633 g
56720.3620318 56717.1935429 1.95 1.17 174.0 5589.3244412 184.019854157 21.3189748216 0.0351703447777 0.0363478708419 g
56721.0717056 56717.1935429 1.8 1.17 174.0 10376.72618 211.64821866 20.6472222288 0.0219223313264 0.0223741073657 g
56721.1763879 56717.1935429 1.18 1.17 174.0 7644.52350761 189.242813705 20.9789970695 0.0265504801272 0.027216052643 g
56721.2698144 56717.1935429 1.24 1.17 174.0 7341.87453702 196.654390317 21.0228557239 0.0286991174118 0.0294783615339 g
56721.3694423 56717.1935429 2.13 1.17 174.0 7664.63227129 203.917506912 20.9761448122 0.0285084330353 0.0292772172308 g
56733.1448158 56717.1935429 1.18 1.17 174.0 7766.32138135 289.913566131 20.961834725 0.0397919123698 0.0413059387754 g
