# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14D, field: Blind14A_37, CCD: N30, ipix: 1188, jpix: 1705, RA: 11:34:31.98, DEC: 1:08:32.69
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.3051313 56717.2102974 1.3 1.2 174.0 444.425813984 210.065143819 24.1318749294 0.420260935908 0.69478636324 g
56718.0983908 56717.2102974 1.84 1.2 174.0 783.94066922 238.167441476 23.5156651324 0.288034098029 0.393177418183 g
56718.1907321 56717.2102974 1.23 1.2 174.0 470.380105383 250.142438623 24.070250758 0.462996571686 0.823893369153 g
56718.2812093 56717.2102974 1.23 1.2 174.0 -82.8812884685 214.79396648 30.0 4.54934322233 0.0 g
56718.3771099 56717.2102974 1.9 1.2 174.0 -172.262966346 237.246090091 30.0 3.7806283395 0.0 g
56719.0881752 56717.2102974 1.95 1.2 174.0 3303.40747502 230.533171225 21.9539677528 0.0732427598109 0.0785433785434 g
56719.179953 56717.2102974 1.25 1.2 174.0 7419.87321743 221.553800501 21.0753819092 0.0319449624733 0.0329134263752 g
56719.2802445 56717.2102974 1.24 1.2 174.0 6093.60774348 219.663709871 21.2891868845 0.0384499218315 0.0398617254455 g
56719.383587 56717.2102974 2.06 1.2 174.0 5552.10531483 223.181614794 21.3902288822 0.0427896760937 0.0445454834908 g
56720.0893727 56717.2102974 1.89 1.2 174.0 6640.56089259 252.797853268 21.1958612121 0.0405652932427 0.0421399157063 g
56720.1829769 56717.2102974 1.24 1.2 174.0 9074.11713975 221.333205811 20.8568621673 0.0261651348229 0.0268112916407 g
56720.2735608 56717.2102974 1.23 1.2 174.0 10376.9870261 223.93988812 20.7111949363 0.0231814165421 0.0236871781214 g
56720.37756 56717.2102974 2.0 1.2 174.0 8246.62803921 214.808368323 20.9606821049 0.0279192212394 0.0286561428214 g
56721.0870397 56717.2102974 1.88 1.2 174.0 9374.92309726 235.632241573 20.821453836 0.0269519247344 0.0276380375589 g
56721.1969699 56717.2102974 1.2 1.2 174.0 11010.4031325 224.955048265 20.6468650696 0.0219592544068 0.0224125693405 g
56721.2902794 56717.2102974 1.28 1.2 174.0 10399.2747259 237.492737839 20.7088654921 0.0245165338323 0.0250829454632 g
56721.3849211 56717.2102974 2.19 1.2 174.0 9111.72262533 231.736130351 20.852371894 0.0272679554069 0.0279704635034 g
