# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14E, field: Blind14A_01, CCD: S23, ipix: 2220, jpix: 1828, RA: 10:10:03.145, DEC: -1:34:49.034
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.0147738 56717.0174609 2.16 2.1 174.0 -208.412844118 265.242770516 30.0 3.87506961323 0.0 g
56717.1224192 56717.0174609 1.21 2.1 174.0 242.302367195 213.006016788 24.5504789781 0.684869975951 2.29386033889 g
56717.1247589 56717.0174609 1.2 2.1 174.0 222.323187674 211.608336256 24.6439112189 0.726091102091 3.29249651907 g
56717.220289 56717.0174609 1.17 2.1 174.0 493.116421775 213.30822889 23.7789994566 0.39029094967 0.615222597539 g
56717.3150364 56717.0174609 1.71 2.1 174.0 346.182256424 232.427435909 24.1631111099 0.557702249826 1.20833748701 g
56718.0157212 56717.0174609 2.08 2.1 174.0 735.11178687 289.40806749 23.3454896549 0.360417481892 0.543267820157 g
56718.107677 56717.0174609 1.24 2.1 174.0 224.538552914 238.305492009 24.6331458222 0.785359402335 5.36685417783 g
56718.1098691 56717.0174609 1.24 2.1 174.0 465.064238454 251.138707087 23.8425907574 0.46880789373 0.843125814794 g
56718.2000614 56717.0174609 1.15 2.1 174.0 1150.72086811 228.607612321 22.8589481482 0.196744286539 0.240464309428 g
56718.202252 56717.0174609 1.15 2.1 174.0 1046.83929031 242.410783098 22.9616730848 0.226142876131 0.285981404241 g
56718.2932314 56717.0174609 1.52 2.1 174.0 907.858478826 235.951861078 23.1163277358 0.250839660575 0.326773088499 g
56718.295439 56717.0174609 1.54 2.1 174.0 1081.18134665 220.068999545 22.9266267599 0.20115578436 0.247096819719 g
56719.006483 56717.0174609 2.22 2.1 174.0 564.381005775 432.557774749 23.6324421478 0.617740252624 1.57895109261 g
56719.0086687 56717.0174609 2.17 2.1 174.0 940.901575649 362.960455503 23.0775126312 0.354218607295 0.529151501164 g
56719.0975471 56717.0174609 1.27 2.1 174.0 1576.95940934 210.283311357 22.5168218337 0.135907555212 0.155387289421 g
56719.1008203 56717.0174609 1.26 2.1 174.0 1596.31131586 209.447635757 22.50357914 0.133855460464 0.152709543705 g
56719.1892969 56717.0174609 1.14 2.1 174.0 1878.06867433 214.656738136 22.3270944486 0.117501948125 0.13177913824 g
56719.1914792 56717.0174609 1.14 2.1 174.0 1713.7635309 213.155470241 22.4264958788 0.127281406333 0.144209054446 g
56719.2895029 56717.0174609 1.51 2.1 174.0 1538.36320948 214.023287047 22.5437259081 0.141427532266 0.1626485348 g
56719.29283 56717.0174609 1.54 2.1 174.0 1662.59993566 214.930374768 22.4594037223 0.131997993815 0.150295791153 g
56720.005499 56717.0174609 2.18 2.1 174.0 2410.16659647 516.970825033 22.056255463 0.210990122068 0.262128843273 g
56720.007689 56717.0174609 2.14 2.1 174.0 1310.63037298 309.399850226 22.7176725502 0.230107221437 0.292365368775 g
56720.0098898 56717.0174609 2.09 2.1 174.0 1608.18175292 262.732874303 22.4955352954 0.164297100711 0.193669822682 g
56720.0987267 56717.0174609 1.26 2.1 174.0 1928.68441285 244.464110926 22.2982201941 0.129570596361 0.147155681284 g
56720.1009347 56717.0174609 1.25 2.1 174.0 1136.30914311 245.050248319 22.8726318678 0.212025458755 0.26373156003 g
56720.1923166 56717.0174609 1.14 2.1 174.0 2348.19865278 212.467802689 22.0845360343 0.0940454443489 0.102970783937 g
56720.1945293 56717.0174609 1.14 2.1 174.0 2204.6303182 211.387654445 22.1530336818 0.0994109627415 0.109439003096 g
56720.284358 56717.0174609 1.49 2.1 174.0 2515.23261607 214.400341777 22.0099277305 0.0888152428959 0.0967329884533 g
56720.2865275 56717.0174609 1.51 2.1 174.0 2284.66947065 210.655472705 22.1143146747 0.0957593236408 0.105029237951 g
56721.0041679 56717.0174609 2.15 2.1 174.0 2066.68023265 588.710573183 22.2231899068 0.272137904097 0.36401941708 g
56721.0063545 56717.0174609 2.11 2.1 174.0 1651.3107005 347.413019925 22.4668011329 0.207309928679 0.256463205878 g
56721.0974583 56717.0174609 1.25 2.1 174.0 2588.42360203 211.954670591 21.9787847427 0.0854533705564 0.0927580256006 g
56721.1101107 56717.0174609 1.21 2.1 174.0 2468.50143666 213.12624971 22.0302896599 0.0899127412942 0.0980364654615 g
56721.2062626 56717.0174609 1.17 2.1 174.0 2373.00607557 213.462003096 22.0731259954 0.0935206818078 0.1023419462 g
56721.30108 56717.0174609 1.68 2.1 174.0 2677.55833465 235.296977077 21.9420257673 0.0914499284561 0.0998670085764 g
56733.13478 56717.0174609 1.13 2.1 174.0 2107.68822698 635.641807822 22.2018571965 0.28617922158 0.389712161296 g
