# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14G, field: Blind14A_08, CCD: N28, ipix: 275, jpix: 353, RA: 10:13:43.23, DEC: -4:53:00.71
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.2367279 56717.1413491 1.18 1.15 174.0 -130.494194651 123.893231289 30.0 0.0 0.0 g
56717.3304111 56717.1413491 1.83 1.15 174.0 36.9149500383 149.167887006 26.8533674083 1.75626008443 3.14663259173 g
56718.0346981 56717.1413491 1.75 1.15 174.0 264.838617635 160.723407994 24.7139198398 0.51495388767 1.01366783605 g
56718.1252609 56717.1413491 1.17 1.15 174.0 177.953843564 180.273290248 25.1456046892 0.759627764131 4.85439531084 g
56718.2175052 56717.1413491 1.14 1.15 174.0 368.508987744 137.913231245 24.3552529094 0.345161668276 0.508991933862 g
56718.3108785 56717.1413491 1.62 1.15 174.0 210.569610374 150.460675477 24.9628838869 0.585369854201 1.36114165251 g
56719.0243916 56717.1413491 1.86 1.15 174.0 917.111280384 133.889014587 23.3653180326 0.147952006639 0.171342524925 g
56719.1162338 56717.1413491 1.19 1.15 174.0 699.846946562 129.836266527 23.6588654404 0.18477307756 0.222800197955 g
56719.2075201 56717.1413491 1.13 1.15 174.0 828.23793841 120.45004957 23.4759853207 0.147420704278 0.170629982404 g
56719.3145976 56717.1413491 1.69 1.15 174.0 853.035715055 124.881213826 23.443955084 0.14833687417 0.171859190339 g
56720.0252358 56717.1413491 1.81 1.15 174.0 1009.32770986 140.187925414 23.2612926296 0.14120671578 0.162356416118 g
56720.1175901 56717.1413491 1.18 1.15 174.0 708.314546489 213.240630057 23.6458077185 0.285737955206 0.388890288224 g
56720.2100444 56717.1413491 1.14 1.15 174.0 1184.91908792 132.158670231 23.0871513817 0.114806800405 0.128397869721 g
56720.3125486 56717.1413491 1.7 1.15 174.0 1165.17457239 131.283654847 23.1053956246 0.115918824049 0.129790695668 g
56721.0221079 56717.1413491 1.81 1.15 174.0 1331.54182044 154.507810071 22.9604860929 0.1191962574 0.133914497883 g
56721.1294052 56717.1413491 1.15 1.15 174.0 1438.85629736 128.113112617 22.876329566 0.0926077411652 0.101249534063 g
56721.2216235 56717.1413491 1.17 1.15 174.0 1825.13099766 133.298034769 22.6181380179 0.0765344937823 0.082341397082 g
56721.3175785 56717.1413491 1.8 1.15 174.0 1295.13268328 137.102355846 22.9905874629 0.109250078107 0.121485824859 g
56733.129396 56717.1413491 1.11 1.15 174.0 3884.97862221 462.982985523 21.7979015373 0.122242668185 0.137772954787 g
