# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14I, field: Blind14A_27, CCD: N31, ipix: 108, jpix: 1466, RA: 11:01:32.79, DEC: -0:56:11.55
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.0554332 56717.1603355 1.79 1.16 174.0 -1.50671762748 126.309399049 30.0 4.50118667026 0.0 g
56717.2556209 56717.1603355 1.21 1.16 174.0 -40.0483635371 116.673729121 30.0 3.97155827823 0.0 g
56717.3480256 56717.1603355 1.9 1.16 174.0 -142.28097341 143.38618906 30.0 -0.630755555125 0.0 g
56718.0522854 56717.1603355 1.8 1.16 174.0 180.966624657 164.433228181 25.0953769054 0.70180915519 2.59809101432 g
56718.2351275 56717.1603355 1.17 1.16 174.0 314.002444492 136.352149995 24.4970405481 0.391553921751 0.618417743189 g
56718.330835 56717.1603355 1.7 1.16 174.0 169.160112621 145.963549189 25.1686282067 0.675457622049 2.15718579158 g
56719.0419722 56717.1603355 1.91 1.16 174.0 299.151266573 178.229311531 24.5496460059 0.507434750315 0.983464214469 g
56719.1337705 56717.1603355 1.21 1.16 174.0 502.09154404 116.695025233 23.9874158525 0.226894928786 0.287187799542 g
56719.225075 56717.1603355 1.16 1.16 174.0 661.089628521 122.040301635 23.6887222612 0.18393369656 0.221579589329 g
56719.3372526 56717.1603355 1.82 1.16 174.0 424.498420812 121.219487049 24.1696829233 0.272730316349 0.365084585947 g
56720.0427145 56717.1603355 1.85 1.16 174.0 554.093993129 136.129673947 23.8804145156 0.238516011712 0.306110583958 g
56720.1367701 56717.1603355 1.2 1.16 174.0 857.435206143 133.638124099 23.4063698417 0.157261194607 0.183961209152 g
56720.2275964 56717.1603355 1.16 1.16 174.0 838.753503487 127.12770144 23.4302872526 0.153223419954 0.178456652348 g
56720.3312198 56717.1603355 1.78 1.16 174.0 681.27386875 133.920115199 23.6560687926 0.194848086744 0.2376340765 g
56721.0409842 56717.1603355 1.84 1.16 174.0 1034.11685515 149.93143663 23.2029490787 0.146999497001 0.17006567073 g
56721.1456347 56717.1603355 1.17 1.16 174.0 1295.9525844 133.250647903 22.9579003405 0.106262194098 0.117801790769 g
56721.2391529 56717.1603355 1.19 1.16 174.0 1428.51302007 138.834405311 22.852162613 0.100702679391 0.11100676146 g
56721.3358732 56717.1603355 1.88 1.16 174.0 1371.68799855 139.904828583 22.8962347736 0.105448708958 0.116802682176 g
56733.142202 56717.1603355 1.14 1.16 174.0 7325.05340572 552.201622922 21.0773461322 0.0789102767855 0.0850980595058 g
