# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14J, field: Blind14A_38, CCD: N8, ipix: 854, jpix: 1061, RA: 11:26:27.66, DEC: -0:14:57.82
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.3074628 56717.2126572 1.29 1.17 174.0 44.6141365079 146.383387692 26.5936918913 1.57888811495 3.40630810873 g
56717.4017721 56717.2126572 2.32 1.17 174.0 209.587435109 559.146833746 24.9139600135 1.41102749681 5.08603998649 g
56718.1005642 56717.2126572 1.71 1.17 174.0 76.4756434354 170.49118686 26.0085652716 1.27278872039 3.99143472842 g
56718.1929123 56717.2126572 1.19 1.17 174.0 319.202080064 169.491355224 24.4572088388 0.462426980902 0.822031999241 g
56718.2834092 56717.2126572 1.22 1.17 174.0 207.50867841 146.894681374 24.9247824596 0.581153914854 1.33615835264 g
56718.3792889 56717.2126572 1.92 1.17 174.0 87.6091169061 153.034322129 25.860999864 1.0970618069 4.13900013604 g
56719.0903559 56717.2126572 1.8 1.17 174.0 162.55949426 152.537956472 25.189842272 0.718581375245 3.02519492768 g
56719.1821746 56717.2126572 1.21 1.17 174.0 382.740643928 144.612543522 24.2601116627 0.347992480344 0.515234839166 g
56719.282433 56717.2126572 1.22 1.17 174.0 441.993121433 142.96566284 24.1038343441 0.304274391184 0.424261102059 g
56719.3857611 56717.2126572 2.08 1.17 174.0 179.679255177 149.21948585 25.0811282741 0.656410681076 1.92692832139 g
56720.0915553 56717.2126572 1.75 1.17 174.0 440.09972957 170.895596862 24.1084953665 0.356216966476 0.533673447479 g
56720.185162 56717.2126572 1.2 1.17 174.0 446.303273679 139.392241363 24.0932979396 0.295104564973 0.406543931134 g
56720.2757375 56717.2126572 1.21 1.17 174.0 744.033311155 141.317701317 23.5383921712 0.188807771183 0.228699850798 g
56720.3797503 56717.2126572 2.02 1.17 174.0 527.324790284 149.781393468 23.9121776492 0.27144647863 0.362778274228 g
56721.0892273 56717.2126572 1.74 1.17 174.0 729.393408389 165.026094917 23.5599685351 0.221448566118 0.278499953752 g
56721.1991942 56717.2126572 1.17 1.17 174.0 939.987423541 151.283159334 23.2845680131 0.162026012859 0.190519635388 g
56721.2924668 56717.2126572 1.27 1.17 174.0 1054.89974087 155.569046368 23.1593451566 0.14935602424 0.173229423358 g
56721.3871179 56717.2126572 2.23 1.17 174.0 799.488288374 159.954191141 23.4603428552 0.198017092107 0.242371005071 g
