# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14K, field: Blind14A_01, CCD: S19, ipix: 2726, jpix: 1573, RA: 10:12:04.89, DEC: -1:43:32.79
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.0147738 56717.0174609 2.16 2.1 174.0 29.7936771677 232.029927688 26.8660628517 2.35971172607 3.13393714833 g
56717.1247589 56717.0174609 1.2 2.1 174.0 -162.21998842 179.18442918 30.0 2.52247574811 0.0 g
56717.220289 56717.0174609 1.17 2.1 174.0 -11.2988570732 179.173612505 30.0 5.01109036173 0.0 g
56717.3150364 56717.0174609 1.71 2.1 174.0 11.2410027457 204.341446843 27.924360486 3.20702087115 2.07563951403 g
56718.0157212 56717.0174609 2.08 2.1 174.0 -289.581947471 271.182966442 30.0 0.0 0.0 g
56718.0182109 56717.0174609 2.04 2.1 174.0 48.9328435816 274.062734584 26.3273719853 2.04899030667 3.67262801474 g
56718.107677 56717.0174609 1.24 2.1 174.0 -40.5291665292 198.631451982 30.0 4.94597224913 0.0 g
56718.1098691 56717.0174609 1.24 2.1 174.0 -51.3368976254 214.87812745 30.0 4.98269502756 0.0 g
56718.2000614 56717.0174609 1.15 2.1 174.0 -51.7439940288 202.361793617 30.0 4.89331762579 0.0 g
56718.202252 56717.0174609 1.15 2.1 174.0 158.41685339 208.012682519 25.0518696639 0.910472724572 4.94813033608 g
56718.2932314 56717.0174609 1.52 2.1 174.0 -0.480945817708 204.095508898 30.0 5.22064897111 0.0 g
56718.295439 56717.0174609 1.54 2.1 174.0 228.119906473 192.992632649 24.6559651586 0.665587470965 2.03129684677 g
56719.006483 56717.0174609 2.22 2.1 174.0 133.778634275 549.938836297 25.2354062257 1.7712247982 4.76459377428 g
56719.0086687 56717.0174609 2.17 2.1 174.0 -80.268140221 322.530541709 30.0 5.4093419242 0.0 g
56719.0975471 56717.0174609 1.27 2.1 174.0 -7.50837564222 179.659027184 30.0 5.03839855611 0.0 g
56719.1008203 56717.0174609 1.26 2.1 174.0 -108.615114706 179.215931187 30.0 4.07065118827 0.0 g
56719.1892969 56717.0174609 1.14 2.1 174.0 -27.7564107432 180.302226218 30.0 4.90712762652 0.0 g
56719.1914792 56717.0174609 1.14 2.1 174.0 -20.3604300203 180.585906146 30.0 4.96045580631 0.0 g
56719.2895029 56717.0174609 1.51 2.1 174.0 45.2448605235 183.165330144 26.4124499863 1.75786555646 3.58755001367 g
56719.29283 56717.0174609 1.54 2.1 174.0 -24.0820924889 180.091493956 30.0 4.93150380599 0.0 g
56720.005499 56717.0174609 2.18 2.1 174.0 143.369790074 492.179401124 25.1602289974 1.61672880259 4.83977100263 g
56720.007689 56717.0174609 2.14 2.1 174.0 -724.243732897 294.318269923 30.0 0.0 0.0 g
56720.0098898 56717.0174609 2.09 2.1 174.0 -275.833343157 241.843185398 30.0 0.0 0.0 g
56720.0987267 56717.0174609 1.26 2.1 174.0 18.0133698343 212.87050801 27.4123857066 2.76949660604 2.58761429343 g
56720.1009347 56717.0174609 1.25 2.1 174.0 -23.2501207051 174.654395189 30.0 4.89897222042 0.0 g
56720.1923166 56717.0174609 1.14 2.1 174.0 8.93021943343 179.550803461 28.1742177944 3.31101374885 1.82578220556 g
56720.1945293 56717.0174609 1.14 2.1 174.0 -0.768805951192 181.087551295 30.0 5.08872907153 0.0 g
56720.284358 56717.0174609 1.49 2.1 174.0 35.8949812145 181.675808923 26.6637887948 1.9564171464 3.33621120525 g
56720.2865275 56717.0174609 1.51 2.1 174.0 -34.0203248624 181.195346426 30.0 4.86821214958 0.0 g
56721.0041679 56717.0174609 2.15 2.1 174.0 -467.615733625 535.490811115 30.0 4.02790272532 0.0 g
56721.0063545 56717.0174609 2.11 2.1 174.0 -262.06798795 323.087643543 30.0 3.91230125947 0.0 g
56721.0974583 56717.0174609 1.25 2.1 174.0 3.52575429115 181.347525445 29.1832430128 4.29905525679 0.81675698718 g
56721.1101107 56717.0174609 1.21 2.1 174.0 -23.1429589803 178.563260765 30.0 4.92739624907 0.0 g
56721.2062626 56717.0174609 1.17 2.1 174.0 16.9918371385 181.871097951 27.4757722786 2.67078377048 2.5242277214 g
56721.30108 56717.0174609 1.68 2.1 174.0 -42.0829956108 206.375841325 30.0 4.98767350951 0.0 g
56733.13478 56717.0174609 1.13 2.1 174.0 -201.131572726 434.115911034 30.0 5.36694369886 0.0 g
