# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14M, field: Blind14A_02, CCD: N25, ipix: 2780, jpix: 1157, RA: 09:58:41.18, DEC: -2:50:44.22
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.2226482 56717.1271346 1.19 1.18 174.0 228.260653123 137.517771824 24.8392954818 0.51196757479 1.00154622642 g
56717.3172406 56717.1271346 1.82 1.18 174.0 397.882997811 150.91519726 24.2359846671 0.349143232321 0.517787618551 g
56718.0214994 56717.1271346 1.88 1.18 174.0 493.346991533 174.892142895 24.0024919102 0.329448554174 0.475261546397 g
56718.1120662 56717.1271346 1.21 1.18 174.0 380.698603867 174.05235717 24.2839199104 0.408791947834 0.663384406269 g
56718.2044336 56717.1271346 1.16 1.18 174.0 429.006420143 158.841118351 24.1542136419 0.342002281236 0.502085552744 g
56718.2976332 56717.1271346 1.61 1.18 174.0 342.281158298 153.707227054 24.3994156382 0.402721284158 0.647253344992 g
56719.0108786 56717.1271346 2.01 1.18 174.0 249.2816906 238.538252955 24.7436471674 0.728922925688 3.41386778456 g
56719.1030078 56717.1271346 1.23 1.18 174.0 989.301198551 154.482043728 23.2470517826 0.1575379853 0.184340324725 g
56719.194327 56717.1271346 1.15 1.18 174.0 889.265974593 137.055942925 23.3627939319 0.155629820079 0.181731386291 g
56719.2949976 56717.1271346 1.61 1.18 174.0 972.545803915 141.569026223 23.2655979597 0.147549727024 0.170802942912 g
56720.0120699 56717.1271346 1.94 1.18 174.0 1010.2413452 196.152742506 23.2243102744 0.192660154095 0.234383659688 g
56720.1031257 56717.1271346 1.22 1.18 174.0 1257.62949172 164.946002347 22.9864913379 0.133806524862 0.152645830653 g
56720.1967207 56717.1271346 1.16 1.18 174.0 1401.13836386 144.456067323 22.8691705596 0.10653629967 0.118138818537 g
56720.2887292 56717.1271346 1.58 1.18 174.0 1373.74286114 146.108345559 22.8906094993 0.109739060181 0.122090895538 g
56721.0085298 56717.1271346 1.95 1.18 174.0 1556.34182314 245.353898986 22.75511065 0.158941147731 0.186265742432 g
56721.1162155 56717.1271346 1.18 1.18 174.0 1708.7697491 145.428303611 22.6536642533 0.0886814342012 0.0965742635322 g
56721.2084851 56717.1271346 1.18 1.18 174.0 1132.00685768 150.301943947 23.1007504762 0.135358913545 0.154670232582 g
56721.3032662 56717.1271346 1.77 1.18 174.0 1638.97037946 166.121411815 22.6989453587 0.10482046614 0.116032225282 g
56733.1476137 56717.1271346 1.14 1.18 174.0 3414.72695166 415.711740135 21.9019831648 0.12473133315 0.140943284439 g
