# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14N, field: Blind14A_03, CCD: N24, ipix: 1799, jpix: 981, RA: 10:01:12.57, DEC: -0:25:25.04
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.2249942 56717.1295131 1.23 1.2 174.0 174.616835702 127.224965765 25.1961578359 0.594233175598 1.41595567247 g
56717.3194243 56717.1295131 1.93 1.2 174.0 230.17642336 143.142385363 24.8962210272 0.525047584732 1.05592926017 g
56718.023694 56717.1295131 1.9 1.2 174.0 -1.11649872436 163.161471337 30.0 4.72271578366 0.0 g
56718.1142605 56717.1295131 1.23 1.2 174.0 -42.5731945999 158.593976402 30.0 4.35996634834 0.0 g
56718.206612 56717.1295131 1.19 1.2 174.0 16.2405318614 148.745674835 27.7748725011 2.51711847414 2.22512749893 g
56718.299892 56717.1295131 1.7 1.2 174.0 82.2829592191 142.20353665 26.0130983651 1.08970079654 3.9869016349 g
56719.0131088 56717.1295131 2.03 1.2 174.0 67.2576277824 211.158409343 26.2320192572 1.54238175542 3.76798074284 g
56719.1051831 56717.1295131 1.25 1.2 174.0 213.415322509 141.232220038 24.9783091279 0.551428394353 1.17697513188 g
56719.1965322 56717.1295131 1.18 1.2 174.0 217.613932926 126.872485344 24.9571563757 0.49871351517 0.949702486996 g
56719.2972234 56717.1295131 1.7 1.2 174.0 358.518381783 129.339386302 24.4150945519 0.334454492681 0.485841539961 g
56720.0142597 56717.1295131 1.96 1.2 174.0 429.477128775 168.508424128 24.2190230182 0.359376626785 0.540879027817 g
56720.105309 56717.1295131 1.24 1.2 174.0 612.562231667 152.855119772 23.83349758 0.241870217087 0.311672484363 g
56720.1988958 56717.1295131 1.19 1.2 174.0 732.64329805 131.280050849 23.6391416677 0.178956576157 0.214389247199 g
56720.2909142 56717.1295131 1.66 1.2 174.0 724.401596874 123.746686503 23.6514246232 0.171230971053 0.203385918024 g
56721.010766 56717.1295131 1.97 1.2 174.0 801.745497285 197.493272133 23.5412817968 0.239081865788 0.307045677953 g
56721.1183941 56717.1295131 1.2 1.2 174.0 915.667551717 138.656299888 23.3970285595 0.153090517624 0.178276291623 g
56721.2106699 56717.1295131 1.22 1.2 174.0 899.335917764 134.503391516 23.4165682741 0.151327756264 0.175888974075 g
56721.3054609 56717.1295131 1.88 1.2 174.0 820.979034574 156.692018891 23.5155429541 0.189651725753 0.229940757351 g
56733.1499637 56717.1295131 1.17 1.2 174.0 603.257795338 309.739092144 23.8501157642 0.449915885936 0.782167906552 g
