# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14O, field: Blind14A_06, CCD: N1, ipix: 2079, jpix: 753, RA: 10:08:45.49, DEC: -0:03:43.70
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.2320304 56717.1366128 1.22 1.2 174.0 159.420982686 159.390368571 25.2750094161 0.752470735476 9.29155941262 g
56717.3260438 56717.1366128 1.88 1.2 174.0 -166.209627074 165.92554872 30.0 0.0 0.0 g
56718.0303239 56717.1366128 1.94 1.2 174.0 12.7955647748 107.466137006 28.0137244715 2.43266971356 1.98627552849 g
56718.1208638 56717.1366128 1.24 1.2 174.0 247.893670081 165.60808474 24.7957095275 0.555529799184 1.19735418607 g
56718.2131566 56717.1366128 1.18 1.2 174.0 361.981285621 155.643509719 24.3846578253 0.388322384112 0.610268432867 g
56718.3064671 56717.1366128 1.67 1.2 174.0 547.731348404 160.318746336 23.9349541265 0.278740968848 0.375984634999 g
56719.0198848 56717.1366128 2.07 1.2 174.0 545.956180472 164.777024304 23.9384786538 0.286372047436 0.390071606153 g
56719.1117849 56717.1366128 1.26 1.2 174.0 787.281035965 144.936881377 23.541048645 0.183469138981 0.220905034838 g
56719.2031399 56717.1366128 1.17 1.2 174.0 1077.12396431 136.25429269 23.2007088998 0.129326300048 0.146840547085 g
56719.3038057 56717.1366128 1.67 1.2 174.0 987.925757027 143.251069306 23.2945623496 0.147015477533 0.170087071272 g
56720.0208224 56717.1366128 2.01 1.2 174.0 1437.84957006 159.456942004 22.887089491 0.114187025864 0.127622985772 g
56720.1131931 56717.1366128 1.24 1.2 174.0 1428.73129483 148.62534819 22.8939967267 0.107448353905 0.119261606307 g
56720.2054862 56717.1366128 1.18 1.2 174.0 1603.84005984 143.073097241 22.7684704786 0.0927756473348 0.101450296888 g
56720.2975712 56717.1366128 1.63 1.2 174.0 1617.89850581 142.665107131 22.7589949359 0.0917511194011 0.100226344627 g
56721.0177074 56717.1366128 2.01 1.2 174.0 1681.17069273 179.020698273 22.7173435945 0.109864549071 0.122246274935 g
56721.1250121 56717.1366128 1.2 1.2 174.0 2117.79598185 154.213788413 22.4666628208 0.0763151866415 0.0820875872127 g
56721.2172567 56717.1366128 1.21 1.2 174.0 2263.97696376 151.425933077 22.3941931119 0.0702939482062 0.0751619874859 g
56721.3132114 56717.1366128 1.85 1.2 174.0 1927.36409232 162.134618018 22.5689637117 0.0876958595278 0.0954064832531 g
56733.1546848 56717.1366128 1.16 1.2 174.0 6289.39932192 482.09255094 21.2848501969 0.0801879801286 0.086586003162 g
