# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14P, field: Blind14A_07, CCD: S15, ipix: 2089, jpix: 515, RA: 10:15:26.31, DEC: -1:38:49.84
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.2343841 56717.1390002 1.19 1.18 174.0 -59.2903592498 114.441653613 30.0 3.55851615302 0.0 g
56717.3282409 56717.1390002 1.81 1.18 174.0 -0.527068725699 148.421947323 30.0 4.62950971734 0.0 g
56718.0325147 56717.1390002 1.89 1.18 174.0 99.0636369185 162.586829373 25.8055874503 1.05451811217 4.19441254972 g
56718.12308 56717.1390002 1.21 1.18 174.0 192.288831441 172.945995591 25.0854879702 0.696545307185 2.49358478483 g
56718.2153243 56717.1390002 1.16 1.18 174.0 417.754995436 131.762980346 24.2430689912 0.297650629463 0.411419360081 g
56718.308649 56717.1390002 1.61 1.18 174.0 248.067414014 140.423404694 24.8089488223 0.487027600301 0.906449635469 g
56719.0221367 56717.1390002 2.02 1.18 174.0 340.422500782 140.774970927 24.4653274763 0.375762697634 0.579385791309 g
56719.1140271 56717.1390002 1.23 1.18 174.0 515.417554369 120.713899654 24.0149751059 0.228469160598 0.289720145466 g
56719.2053344 56717.1390002 1.15 1.18 174.0 628.214375568 107.190004961 23.8001034451 0.171045855595 0.203124581476 g
56720.0230365 56717.1390002 1.95 1.18 174.0 494.776669385 131.785620526 24.0593500887 0.25638760056 0.336283242661 g
56720.1154018 56717.1390002 1.22 1.18 174.0 631.567650107 126.303371141 23.7943234291 0.197938561467 0.242253202408 g
56720.207835 56717.1390002 1.15 1.18 174.0 677.136390833 116.799631778 23.7186827347 0.172773382233 0.2055676013 g
56720.299783 56717.1390002 1.57 1.18 174.0 504.142603575 112.898935946 24.0389896209 0.219402505032 0.275265196141 g
56721.0199026 56717.1390002 1.96 1.18 174.0 687.386508106 151.230448239 23.7023706116 0.215906589258 0.269774461745 g
56721.1271886 56717.1390002 1.18 1.18 174.0 769.555092571 119.668529473 23.5797738295 0.156928186583 0.183505397005 g
56721.2194313 56717.1390002 1.18 1.18 174.0 827.311389187 124.435991926 23.501200613 0.152131718426 0.17697665277 g
56721.3153963 56717.1390002 1.78 1.18 174.0 647.447712424 125.936599075 23.7673613688 0.192976642972 0.234852832791 g
56733.1270245 56717.1390002 1.14 1.18 174.0 830.869524515 457.352900571 23.4965410463 0.47614506306 0.868057235557 g
