# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14Q, field: Blind14A_09, CCD: N4, ipix: 1021, jpix: 201, RA: 10:21:34.43, DEC: -4:58:24.20
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.0389655 56717.1437568 1.8 1.15 174.0 255.23793938 131.790345674 24.8040100463 0.451993689524 0.788656502168 g
56717.3326114 56717.1437568 1.75 1.15 174.0 -220.821302246 134.168787338 30.0 0.0 0.0 g
56718.0368955 56717.1437568 1.79 1.15 174.0 85.0462091747 157.843949536 25.9972357201 1.13938739599 4.00276427995 g
56718.1274535 56717.1437568 1.18 1.15 174.0 -69.8395661457 167.894752325 30.0 4.15730330086 0.0 g
56718.219701 56717.1437568 1.13 1.15 174.0 178.077334395 133.261033351 25.1948515053 0.606559995097 1.4979315935 g
56718.3130808 56717.1437568 1.56 1.15 174.0 314.913393356 148.972772479 24.5758952915 0.420550723357 0.695596052497 g
56719.0265863 56717.1437568 1.91 1.15 174.0 148.218397281 132.153344408 25.3941178386 0.692080316701 2.412549884 g
56719.118427 56717.1437568 1.2 1.15 174.0 125.367278703 118.116173525 25.5759126234 0.720713129639 3.09444998569 g
56719.2097149 56717.1437568 1.12 1.15 174.0 140.14053949 113.467789526 25.4549636581 0.643999318816 1.80123997805 g
56719.3167836 56717.1437568 1.63 1.15 174.0 144.604085112 108.956382035 25.4209217155 0.609752452831 1.5203725258 g
56720.0274255 56717.1437568 1.85 1.15 174.0 453.361020202 133.13569616 24.1802626784 0.279553520071 0.377471257839 g
56720.1198026 56717.1437568 1.18 1.15 174.0 468.400465064 122.812490064 24.1448298267 0.252816561238 0.330146737857 g
56720.212233 56717.1437568 1.13 1.15 174.0 584.038963139 122.747623287 23.9052685675 0.207116193716 0.256166299772 g
56720.3158533 56717.1437568 1.65 1.15 174.0 330.273823195 118.025462929 24.5241877362 0.331734733747 0.480074525063 g
56721.0243051 56717.1437568 1.86 1.15 174.0 937.132522793 142.080749752 23.3918705953 0.153265669135 0.178513999286 g
56721.131622 56717.1437568 1.15 1.15 174.0 1277.55618167 128.256949687 23.0554231014 0.103868969813 0.114867228067 g
56721.2238345 56717.1437568 1.15 1.15 174.0 1367.30477525 125.756184516 22.9817097943 0.0955305230447 0.104754023159 g
56721.3197808 56717.1437568 1.72 1.15 174.0 1224.93238428 127.128419764 23.1010928295 0.107210265918 0.118968304196 g
56733.1571552 56717.1437568 1.11 1.15 174.0 2279.59101948 452.113954996 22.4267307772 0.196442140323 0.240012505703 g
