# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14R, field: Blind14A_09, CCD: N3, ipix: 2961, jpix: 973, RA: 10:20:53.79, DEC: -5:01:45.59
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.2390953 56717.1437568 1.16 1.15 174.0 104.878822382 126.42536535 25.799653615 0.858739233489 4.20034638502 g
56717.3326114 56717.1437568 1.75 1.15 174.0 158.554019635 151.716043456 25.350929979 0.728906543338 3.41312418268 g
56718.0368955 56717.1437568 1.79 1.15 174.0 484.088311403 169.346381768 24.1390616295 0.325693981295 0.467424983467 g
56718.1274535 56717.1437568 1.18 1.15 174.0 201.088631515 180.5884244 25.0929043242 0.695771337571 2.4790731745 g
56718.219701 56717.1437568 1.13 1.15 174.0 383.186192627 146.829829034 24.3928484914 0.352197865503 0.524606380265 g
56718.3130808 56717.1437568 1.56 1.15 174.0 322.061635823 159.606378275 24.5815256345 0.437022032006 0.743013058685 g
56719.0265863 56717.1437568 1.91 1.15 174.0 396.480635786 143.672849235 24.3558181679 0.335738003362 0.48857883728 g
56719.118427 56717.1437568 1.2 1.15 174.0 549.845537488 131.628564031 24.000771359 0.233021627564 0.297097624728 g
56719.2097149 56717.1437568 1.12 1.15 174.0 610.441126125 123.913660281 23.8872636586 0.200655362559 0.246341056033 g
56719.3167836 56717.1437568 1.63 1.15 174.0 447.432255902 125.070713063 24.2245548965 0.267626133921 0.355960160034 g
56720.0274255 56717.1437568 1.85 1.15 174.0 532.363011709 146.318824757 24.0358534374 0.263645882585 0.34892714017 g
56720.1198026 56717.1437568 1.18 1.15 174.0 734.869628591 134.31246299 23.6858473737 0.182251177092 0.219139864111 g
56720.212233 56717.1437568 1.13 1.15 174.0 801.529075439 139.694566112 23.5915749182 0.174433865521 0.207924681568 g
56720.3158533 56717.1437568 1.65 1.15 174.0 656.629027666 134.363243853 23.8080729264 0.20213040619 0.248571259263 g
56721.0243051 56717.1437568 1.86 1.15 174.0 666.549738988 153.553898928 23.791791714 0.225090439255 0.284296798278 g
56721.131622 56717.1437568 1.15 1.15 174.0 905.286905547 137.811685509 23.4594075242 0.153847800481 0.17930469141 g
56721.2238345 56717.1437568 1.15 1.15 174.0 803.371222158 135.257640812 23.5890824441 0.168944085097 0.200164926303 g
56721.3197808 56717.1437568 1.72 1.15 174.0 727.917872455 143.334683981 23.696167164 0.195154206855 0.238090152444 g
56733.1571552 56717.1437568 1.11 1.15 174.0 53.368230676 464.840959446 26.5331661087 2.46805576461 3.46683389134 g
