# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14S, field: Blind14A_13, CCD: S2, ipix: 1702, jpix: 716, RA: 10:30:10.68, DEC: -8:41:43.85
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.0483651 56717.1532246 1.69 1.11 174.0 51.4814468252 125.879947954 26.6202462614 1.34302087924 3.37975373864 g
56717.2485371 56717.1532246 1.13 1.11 174.0 56.4777769391 117.843076322 26.5196791362 1.22367937301 3.48032086383 g
56717.3414149 56717.1532246 1.68 1.11 174.0 -10.6838697912 146.27831056 30.0 4.43123158997 0.0 g
56718.0457246 56717.1532246 1.69 1.11 174.0 408.026483814 162.594418631 24.3726522387 0.364148308697 0.551892627601 g
56718.1374035 56717.1532246 1.14 1.11 174.0 336.549324816 152.10709311 24.5817513117 0.404887208692 0.652970887946 g
56718.2285451 56717.1532246 1.1 1.11 174.0 373.789083585 127.933705518 24.4678065863 0.319593035255 0.454867252201 g
56718.321838 56717.1532246 1.5 1.11 174.0 296.650459877 154.545104218 24.7187605559 0.455299488306 0.799086450073 g
56719.0353975 56717.1532246 1.79 1.11 174.0 568.328103086 125.416202327 24.012875291 0.216500748434 0.270704455542 g
56719.1271921 56717.1532246 1.15 1.11 174.0 745.966047421 111.11235366 23.7175754681 0.150753724242 0.175113525662 g
56719.2184576 56717.1532246 1.09 1.11 174.0 689.784073337 114.996626322 23.8025902143 0.167410974915 0.198014719288 g
56719.3306737 56717.1532246 1.62 1.11 174.0 730.445548912 112.647842875 23.7404035033 0.155719595776 0.181853889009 g
56720.0361601 56717.1532246 1.74 1.11 174.0 994.162457074 125.113706154 23.405729724 0.12869974044 0.146033047483 g
56720.1276313 56717.1532246 1.15 1.11 174.0 1105.10661594 119.684095649 23.2908626734 0.111644263117 0.124454239337 g
56720.2210353 56717.1532246 1.1 1.11 174.0 1084.24471227 124.317403868 23.3115548386 0.11785415952 0.13222241497 g
56720.324668 56717.1532246 1.58 1.11 174.0 1016.33337762 115.869507073 23.3817826493 0.117220171252 0.131424740826 g
56721.0344225 56717.1532246 1.73 1.11 174.0 1223.47984464 146.009887825 23.1803810725 0.1224049032 0.137979124337 g
56721.1382316 56717.1532246 1.12 1.11 174.0 1362.54043555 133.447401831 23.0634996219 0.101446657854 0.111911605856 g
56721.2325842 56717.1532246 1.12 1.11 174.0 1482.21680412 129.460554661 22.9720937892 0.0909159306578 0.0992304591517 g
56721.3293002 56717.1532246 1.66 1.11 174.0 1317.84952657 123.498306843 23.0997085585 0.0972574368236 0.106834418701 g
56733.1642114 56717.1532246 1.08 1.11 174.0 4419.45105048 510.595237286 21.7859523006 0.118706672003 0.133296693085 g
