# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14T, field: Blind14A_13, CCD: S6, ipix: 2801, jpix: 208, RA: 10:35:32.15, DEC: -8:39:33.99
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.0483651 56717.1532246 1.69 1.11 174.0 -74.0876714785 124.809285267 30.0 3.49360953644 0.0 g
56717.2485371 56717.1532246 1.13 1.11 174.0 -154.543390362 115.060228389 30.0 0.0 0.0 g
56717.3414149 56717.1532246 1.68 1.11 174.0 -150.520753013 144.25342023 30.0 0.0 0.0 g
56718.0457246 56717.1532246 1.69 1.11 174.0 426.989279681 167.980422272 24.1933306921 0.360194697463 0.542755888474 g
#56718.1374035 56717.1532246 1.14 1.11 174.0 -658.251396152 152.220419386 30.0 0.0 0.0 g
56718.2285451 56717.1532246 1.1 1.11 174.0 648.842628891 124.943170188 23.7390246826 0.191203449546 0.232228563774 g
56718.321838 56717.1532246 1.5 1.11 174.0 892.790647655 155.538173847 23.3924990402 0.174369734322 0.207833484324 g
56719.0353975 56717.1532246 1.79 1.11 174.0 1093.2398882 127.878196933 23.172584448 0.120105485617 0.135063521222 g
56719.1271921 56717.1532246 1.15 1.11 174.0 1565.62775106 113.144091964 22.782651844 0.0757579144529 0.081443138837 g
56719.2184576 56717.1532246 1.09 1.11 174.0 1791.4844129 116.871872875 22.636340536 0.0686160646497 0.0732467371273 g
56719.3306737 56717.1532246 1.62 1.11 174.0 1535.59580118 105.936831638 22.8036808308 0.0724315118907 0.0776111565291 g
56720.0361601 56717.1532246 1.74 1.11 174.0 1879.84381206 124.999733912 22.5840687028 0.0698967991199 0.0747080816879 g
56720.1276313 56717.1532246 1.15 1.11 174.0 2338.27535535 119.52319175 22.3471339898 0.054126576992 0.0569671461629 g
56720.2210353 56717.1532246 1.1 1.11 174.0 2422.05156812 124.971485344 22.3089146569 0.0546237258329 0.0575181232578 g
56720.324668 56717.1532246 1.58 1.11 174.0 2405.04398487 119.115982995 22.3165655622 0.0524846282666 0.0551511894591 g
56721.0344225 56717.1532246 1.73 1.11 174.0 2644.79325675 146.054788156 22.2133937984 0.058361154711 0.0616773150711 g
56721.1382316 56717.1532246 1.12 1.11 174.0 2897.73044834 135.803331922 22.1142281601 0.0497271280422 0.0521144257138 g
56721.2325842 56717.1532246 1.12 1.11 174.0 3205.89774353 129.399779621 22.0044989561 0.0429622878133 0.0447325845669 g
56721.3293002 56717.1532246 1.66 1.11 174.0 2961.33977657 127.951003358 22.0906525205 0.0459263704138 0.0479551783259 g
56733.1642114 56717.1532246 1.08 1.11 174.0 2398.61340457 248.687056418 22.3194724797 0.107107447205 0.118841685538 g
