# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14V, field: Blind14A_21, CCD: S5, ipix: 2177, jpix: 868, RA: 10:57:19.61, DEC: 2:11:20.69
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.2674148 56717.1722204 1.26 1.22 174.0 86.0722716698 154.817168885 25.9702149575 1.11738624436 4.02978504247 g
56717.359618 56717.1722204 2.01 1.22 174.0 -102.036575375 153.715561799 30.0 3.47591184749 0.0 g
56718.0632175 56717.1722204 1.96 1.22 174.0 142.798580972 174.83239549 25.4205633913 0.867997394868 4.57943660869 g
56718.1555575 56717.1722204 1.25 1.22 174.0 234.413648575 154.632348316 24.8824158842 0.55004514099 1.17020446128 g
56718.2460694 56717.1722204 1.22 1.22 174.0 280.394918096 148.79491217 24.6879477753 0.462198211386 0.821285573344 g
56718.3418968 56717.1722204 1.78 1.22 174.0 33.6923559959 150.15714501 26.9885446686 1.8423276866 3.01145533137 g
56719.0529947 56717.1722204 2.1 1.22 174.0 221.68958152 178.798300454 24.9430099118 0.642110240229 1.78344066436 g
56719.2360262 56717.1722204 1.2 1.22 174.0 458.96131631 136.177007581 24.1529329146 0.282104587717 0.382159169772 g
56719.3482631 56717.1722204 1.91 1.22 174.0 147.429550109 150.793661386 25.3859117701 0.764892256129 4.61408822994 g
56720.0539391 56717.1722204 2.03 1.22 174.0 285.30535201 169.007680371 24.6690983242 0.505113191276 0.974347246693 g
56720.1478124 56717.1722204 1.26 1.22 174.0 581.350414351 134.215883275 23.8962781549 0.225529728129 0.284999439265 g
56720.2385061 56717.1722204 1.21 1.22 174.0 549.384832041 138.814518032 23.9576814587 0.244593983309 0.316222799997 g
56720.3422475 56717.1722204 1.86 1.22 174.0 556.948071385 165.180141372 23.9428363597 0.281999020844 0.3819645562 g
56721.0519983 56717.1722204 2.01 1.22 174.0 604.508938556 151.458701884 23.8538663034 0.242751196964 0.313140913285 g
56721.156622 56717.1722204 1.23 1.22 174.0 978.92230494 148.201884039 23.3305025604 0.153058865201 0.178233344036 g
56721.2501028 56717.1722204 1.24 1.22 174.0 846.530734093 154.509427055 23.4882662952 0.182021928175 0.218808159493 g
56721.3468888 56717.1722204 1.98 1.22 174.0 666.054977418 145.243609709 23.7485979254 0.214176603829 0.267074057874 g
56733.1808527 56717.1722204 1.19 1.22 174.0 208.332812643 586.57309341 25.0104789277 1.45389511641 4.98952107225 g
