# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14W, field: Blind14A_21, CCD: N18, ipix: 1521, jpix: 653, RA: 10:57:45.23, DEC: 1:42:38.84
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.0672105 56717.1722204 1.94 1.22 174.0 -60.4095038469 133.695213633 30.0 3.81517512537 0.0 g
56717.2674148 56717.1722204 1.26 1.22 174.0 -0.0279223625979 138.913719614 30.0 4.50927146969 0.0 g
56717.359618 56717.1722204 2.01 1.22 174.0 24.0847444969 144.027902895 27.3930180121 2.10964585974 2.60698198795 g
56718.0632175 56717.1722204 1.96 1.22 174.0 195.563156646 153.75163109 25.1191555239 0.62982483131 1.67497756253 g
56718.1555575 56717.1722204 1.25 1.22 174.0 -84.8940526059 143.985041387 30.0 3.58143002223 0.0 g
56718.2460694 56717.1722204 1.22 1.22 174.0 246.84141709 135.180493187 24.8663280432 0.474175602319 0.861292035058 g
56718.3418968 56717.1722204 1.78 1.22 174.0 139.483198101 134.363341474 25.4860683797 0.732463402451 3.58816024251 g
56719.0529947 56717.1722204 2.1 1.22 174.0 130.452373599 165.279271199 25.5587431568 0.888614532966 4.44125684319 g
56719.1447739 56717.1722204 1.28 1.22 174.0 391.682610596 123.872477315 24.3650373938 0.298351966085 0.412768212797 g
56719.2360262 56717.1722204 1.2 1.22 174.0 427.462350641 121.744964259 24.2701284466 0.272096108344 0.363944328879 g
56719.3482631 56717.1722204 1.91 1.22 174.0 456.473957449 139.339592721 24.1988331072 0.289235926116 0.395431751516 g
56720.1478124 56717.1722204 1.26 1.22 174.0 657.718849782 119.937862744 23.8022723991 0.181869091096 0.2185871118 g
56720.2385061 56717.1722204 1.21 1.22 174.0 630.867843871 126.567144663 23.8475271421 0.198517428436 0.24312205282 g
56720.3422475 56717.1722204 1.86 1.22 174.0 576.653033218 132.148878768 23.9450866688 0.224025749022 0.282596891058 g
56721.0519983 56717.1722204 2.01 1.22 174.0 615.482627208 119.123339284 23.8743336234 0.192096631147 0.233549115161 g
56721.156622 56717.1722204 1.23 1.22 174.0 715.515917329 132.596072965 23.710824872 0.184584759131 0.222526148048 g
56721.2501028 56717.1722204 1.24 1.22 174.0 730.721173574 143.777831694 23.6879938913 0.195019070122 0.23788877823 g
56721.3468888 56717.1722204 1.98 1.22 174.0 536.176256901 131.595400976 24.0241041744 0.238301009728 0.305755624205 g
56733.1808527 56717.1722204 1.19 1.22 174.0 1813.46461619 499.436868533 22.7011004053 0.264120121854 0.349761375176 g
