# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14X, field: Blind14A_22, CCD: S8, ipix: 3487, jpix: 1677, RA: 10:48:30.58, DEC: 0:11:55.36
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.0695529 56717.1745573 1.79 1.18 174.0 -10.2830693276 137.269344096 30.0 4.38401883691 0.0 g
56717.269774 56717.1745573 1.25 1.18 174.0 -8.95854283956 128.102689503 30.0 4.31480865705 0.0 g
56717.3618154 56717.1745573 2.03 1.18 174.0 -114.755384895 140.025551033 30.0 2.63114712226 0.0 g
56718.0653995 56717.1745573 1.81 1.18 174.0 158.665145435 160.69704386 25.3741692854 0.75950490664 4.62583071465 g
56718.1577933 56717.1745573 1.21 1.18 174.0 278.280867729 140.263588593 24.7641647485 0.443145612798 0.76137471849 g
56718.2482466 56717.1745573 1.2 1.18 174.0 56.0143725696 141.643419336 26.5046244315 1.36903615931 3.49537556854 g
56718.3440857 56717.1745573 1.8 1.18 174.0 120.177669658 144.509297423 25.6758136746 0.857271947922 4.32418632539 g
56719.0551795 56717.1745573 1.92 1.18 174.0 396.351258052 139.396624424 24.3801725182 0.327200555414 0.470559468384 g
56719.1470016 56717.1745573 1.23 1.18 174.0 576.976551941 125.328813869 23.9724777107 0.21341955643 0.265895811086 g
56719.2382126 56717.1745573 1.19 1.18 174.0 445.595816565 124.069107882 24.2530203586 0.266695937346 0.35431012495 g
56719.3504507 56717.1745573 1.93 1.18 174.0 524.281829663 139.479405383 24.0764611048 0.256117696964 0.335817517309 g
56720.0563613 56717.1745573 1.87 1.18 174.0 514.65108381 135.109246778 24.0965908915 0.253100753523 0.330633090982 g
56720.1500079 56717.1745573 1.21 1.18 174.0 863.397390794 123.078530212 23.534846291 0.144689392758 0.166979795342 g
56720.2407205 56717.1745573 1.19 1.18 174.0 819.434120032 132.02135182 23.5915880123 0.162186061813 0.190741121962 g
56720.3444381 56717.1745573 1.88 1.18 174.0 774.040435119 133.794696262 23.6534639997 0.173108341631 0.206042379212 g
56721.0541875 56717.1745573 1.85 1.18 174.0 842.266075576 135.607735516 23.5617498489 0.162083766285 0.190599549512 g
56721.1588139 56717.1745573 1.19 1.18 174.0 950.2273728 139.479384252 23.4308042787 0.14870526769 0.172354142331 g
56721.2522801 56717.1745573 1.23 1.18 174.0 927.300370478 146.730449469 23.4573220375 0.159490776462 0.187021553533 g
56721.3490622 56717.1745573 2.0 1.18 174.0 596.114541079 149.039754158 23.9370488313 0.242291233553 0.312373843779 g
