# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14aa, field: Blind14A_24, CCD: N18, ipix: 1521, jpix: 653, RA: 10:52:50.03, DEC: -4:22:31.23
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.2744764 56717.1793025 1.21 1.13 174.0 128.883082597 121.895006043 25.5898833335 0.722734182727 3.16459565211 g
56717.3663736 56717.1793025 1.97 1.13 174.0 98.5002189705 132.207634436 25.8817801308 0.924062956025 4.11821986918 g
56718.069761 56717.1793025 1.65 1.13 174.0 75.5666884816 173.058212365 26.1695471438 1.29303558038 3.83045285625 g
56718.1621715 56717.1793025 1.15 1.13 174.0 64.618771725 144.846288206 26.339476374 1.27688222914 3.660523626 g
56718.25266 56717.1793025 1.16 1.13 174.0 49.5482176552 145.392582674 26.627803029 1.48718677009 3.37219697103 g
56718.3484782 56717.1793025 1.74 1.13 174.0 157.007518806 137.490684441 25.3755719945 0.682905497471 2.26377768529 g
56719.0595649 56717.1793025 1.74 1.13 174.0 7.9202700166 143.034186265 28.6185231514 3.20026487621 1.38147684865 g
56719.1513752 56717.1793025 1.17 1.13 174.0 -30.6674024834 120.709354594 30.0 4.02073913414 0.0 g
56719.2425819 56717.1793025 1.15 1.13 174.0 219.945820276 118.816676771 25.0095838374 0.468949030298 0.843598460576 g
56719.3548555 56717.1793025 1.87 1.13 174.0 -47.0047610132 138.385690297 30.0 4.03676580488 0.0 g
56720.0607275 56717.1793025 1.69 1.13 174.0 121.209255347 142.883064568 25.6565336629 0.845549971277 4.34346633713 g
56720.1543764 56717.1793025 1.16 1.13 174.0 -55.1600578903 118.534912401 30.0 3.63941931763 0.0 g
56720.2450942 56717.1793025 1.16 1.13 174.0 -6.10032561482 121.241531932 30.0 4.28770381725 0.0 g
56720.3488413 56717.1793025 1.82 1.13 174.0 74.1409029353 128.576222938 26.1902284436 1.09208142327 3.8097715564 g
56721.0585744 56717.1793025 1.69 1.13 174.0 -60.6052613536 148.367838101 30.0 3.99290029386 0.0 g
56721.1631659 56717.1793025 1.14 1.13 174.0 180.599842561 122.406955071 25.2235797023 0.561837510409 1.22961865067 g
56721.256656 56717.1793025 1.19 1.13 174.0 150.793025989 140.751764774 25.4194199798 0.715810074053 2.94148247827 g
56721.3534741 56717.1793025 1.94 1.13 174.0 117.299150976 133.597269683 25.6921359491 0.825498992416 4.30786405093 g
