# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14ab, field: Blind14A_25, CCD: N4, ipix: 2829, jpix: 1649, RA: 11:01:07.79, DEC: -4:19:16.91
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.2768436 56717.1817128 1.2 1.13 174.0 243.74606883 149.422016059 24.8580290705 0.519101592526 1.0307879187 g
56717.3686523 56717.1817128 1.9 1.13 174.0 40.9306670675 149.797214617 26.7952510642 1.67091340676 3.20474893584 g
56718.0719568 56717.1817128 1.71 1.13 174.0 -83.0063682254 189.142725535 30.0 4.23928732477 0.0 g
56718.1643638 56717.1817128 1.16 1.13 174.0 322.23699729 173.457075739 24.5549346157 0.467595810301 0.839077691541 g
56718.2548618 56717.1817128 1.15 1.13 174.0 -35.5208450123 174.394310684 30.0 4.53117506359 0.0 g
56718.3506895 56717.1817128 1.69 1.13 174.0 167.004315336 153.303597509 25.2685538874 0.707099935584 2.71496092855 g
56719.0617524 56717.1817128 1.8 1.13 174.0 1622.15104392 158.817750986 22.8001448948 0.101412549258 0.1118700921 g
56719.1535697 56717.1817128 1.18 1.13 174.0 2561.62686028 154.083828243 22.3040834496 0.0634190828486 0.06735452519 g
56719.2448257 56717.1817128 1.14 1.13 174.0 2908.93283829 155.132944505 22.1660388849 0.0564109766228 0.0595032887124 g
56719.3570671 56717.1817128 1.81 1.13 174.0 1922.02816347 158.378120695 22.615973753 0.0859710246479 0.0933683346372 g
56720.0629344 56717.1817128 1.75 1.13 174.0 1718.45755989 169.401472719 22.7375260932 0.10207687797 0.11267917078 g
56720.1565628 56717.1817128 1.17 1.13 174.0 2430.48134142 155.309603003 22.3611423922 0.0672527970347 0.0716952674826 g
56720.2473027 56717.1817128 1.15 1.13 174.0 2331.8828124 152.376756657 22.4061063172 0.0687256248977 0.0733716033612 g
56720.3510313 56717.1817128 1.76 1.13 174.0 1852.54978002 156.5258074 22.6559484038 0.0880659743469 0.0958447505718 g
56721.0607628 56717.1817128 1.74 1.13 174.0 1495.37426484 155.358450959 22.8884983651 0.107317141002 0.119099946538 g
56721.1653716 56717.1817128 1.14 1.13 174.0 1782.35189214 153.999147792 22.6978894919 0.0899766039679 0.0981124026895 g
56721.2588539 56717.1817128 1.18 1.13 174.0 1533.59807451 168.063866805 22.8610942342 0.112904327784 0.126022426418 g
56721.3556801 56717.1817128 1.87 1.13 174.0 1362.39995011 155.367677634 22.9896115731 0.117251666328 0.131464342619 g
