# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14ac, field: Blind14A_25, CCD: N24, ipix: 865, jpix: 590, RA: 11:03:02.71, DEC: -4:44:12.62
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.2768436 56717.1817128 1.2 1.13 174.0 53.5264259236 144.224190474 26.4939525068 1.41887400082 3.50604749319 g
56717.3686523 56717.1817128 1.9 1.13 174.0 68.8512639854 137.895067148 26.2205933269 1.19381473471 3.77940667312 g
56718.0719568 56717.1817128 1.71 1.13 174.0 89.9286392001 175.170853767 25.9306280664 1.17377718844 4.06937193359 g
56718.1643638 56717.1817128 1.16 1.13 174.0 284.904181043 160.935352432 24.678626064 0.486199382333 0.903465812803 g
56718.2548618 56717.1817128 1.15 1.13 174.0 272.096334521 161.700184746 24.7285663924 0.506408429088 0.979421910785 g
56718.3506895 56717.1817128 1.69 1.13 174.0 224.292047264 144.379810873 24.9383384331 0.539565281948 1.12050147557 g
56719.0617524 56717.1817128 1.8 1.13 174.0 761.146520584 143.85532109 23.6117024546 0.187952991391 0.227445452528 g
56719.1535697 56717.1817128 1.18 1.13 174.0 1019.43715271 147.082787706 23.2944719779 0.146329274699 0.169168796559 g
56719.2448257 56717.1817128 1.14 1.13 174.0 985.073616693 144.918720747 23.331701402 0.149017027574 0.172773312319 g
56719.3570671 56717.1817128 1.81 1.13 174.0 695.26827574 139.631153962 23.709992087 0.198704377247 0.243402901288 g
56720.0629344 56717.1817128 1.75 1.13 174.0 777.249486283 153.959942784 23.5889720115 0.196217302886 0.239676506448 g
56720.1565628 56717.1817128 1.17 1.13 174.0 1068.10040095 147.380440094 23.2438429255 0.140340098985 0.161211298758 g
56720.2473027 56717.1817128 1.15 1.13 174.0 885.440087015 145.961546822 23.4474751704 0.165671587236 0.195584012332 g
56720.3510313 56717.1817128 1.76 1.13 174.0 745.830266199 143.248899297 23.6337731125 0.190751074762 0.231560762636 g
56721.0607628 56717.1817128 1.74 1.13 174.0 1022.42855276 143.945734158 23.2912906975 0.143012419133 0.164749243256 g
56721.1653716 56717.1817128 1.14 1.13 174.0 973.403164607 148.53023237 23.3446412361 0.154185805435 0.179764252842 g
56721.2588539 56717.1817128 1.18 1.13 174.0 740.906861016 160.741189445 23.6409640795 0.21318357875 0.265528971233 g
56721.3556801 56717.1817128 1.87 1.13 174.0 819.269658124 142.99139329 23.5318059434 0.174665091639 0.208253603122 g
