# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14ad, field: Blind14A_26, CCD: N11, ipix: 2745, jpix: 389, RA: 11:06:33.09, DEC: -2:17:54.61
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.0789721 56717.1840664 1.74 1.16 174.0 -263.739168889 158.430208133 30.0 0.0 0.0 g
56717.2792211 56717.1840664 1.22 1.16 174.0 71.7173309072 148.571735174 26.2403128254 1.21842205903 3.75968717459 g
56717.370867 56717.1840664 1.94 1.16 174.0 102.885144138 155.008381446 25.8484914448 0.997719422426 4.15150855515 g
56718.0741578 56717.1840664 1.77 1.16 174.0 654.682380778 186.378453263 23.839296488 0.271991891093 0.363757132472 g
56718.1665596 56717.1840664 1.19 1.16 174.0 988.286488051 173.659369235 23.3921659765 0.175757585488 0.209809985249 g
56718.2570548 56717.1840664 1.17 1.16 174.0 568.85638401 178.634912843 23.9918665299 0.296508760348 0.409228686051 g
56718.3528821 56717.1840664 1.72 1.16 174.0 1270.74726179 155.470650931 23.1192251643 0.125316760382 0.141691470283 g
56719.0639477 56717.1840664 1.88 1.16 174.0 1684.77649545 157.316132213 22.8130173833 0.0969229236588 0.106430864063 g
56719.1557824 56717.1840664 1.21 1.16 174.0 2376.59187557 157.177186032 22.4394866003 0.0695310519377 0.0742903799802 g
56719.2470132 56717.1840664 1.16 1.16 174.0 2632.80071561 155.705174325 22.3283281524 0.0623839470587 0.0661880743343 g
56719.3592499 56717.1840664 1.85 1.16 174.0 2099.79512678 156.363957564 22.573930812 0.0779819887918 0.0840193992585 g
56720.0651059 56717.1840664 1.82 1.16 174.0 2358.94299114 163.550829941 22.4475795073 0.0727816643214 0.0780133404275 g
56720.1587919 56717.1840664 1.19 1.16 174.0 3857.57536374 157.789207371 21.9135870721 0.04352640828 0.0453444909872 g
56720.2494766 56717.1840664 1.17 1.16 174.0 3630.25304121 148.694538638 21.9795308759 0.0435849241673 0.0454080016376 g
56720.3532284 56717.1840664 1.8 1.16 174.0 3367.09521899 156.797540481 22.0612346255 0.0494182130597 0.0517752334238 g
56721.0629423 56717.1840664 1.81 1.16 174.0 3639.29223867 159.432427615 21.9768307926 0.0465522138349 0.0486379571356 g
56721.1675917 56717.1840664 1.17 1.16 174.0 4998.90876968 158.347321915 21.6321850934 0.0338587164546 0.0349486833773 g
56721.26103 56717.1840664 1.2 1.16 174.0 4503.9501951 171.415354515 21.7453891722 0.0405549825047 0.0421287889763 g
56721.3578552 56717.1840664 1.91 1.16 174.0 4287.87196029 158.250128366 21.7987685996 0.0393489390424 0.0408288131996 g
