# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14ae, field: Blind14A_30, CCD: N24, ipix: 3980, jpix: 717, RA: 11:13:36.23, DEC: -3:33:11.62
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
#56717.0884108 56717.1935429 1.72 1.17 174.0 -3069.97268197 180.69491336 30.0 0.0 0.0 g
#56717.2886472 56717.1935429 1.27 1.17 174.0 -2402.99547517 175.936341238 30.0 0.0 0.0 g
56717.3796602 56717.1935429 2.12 1.17 174.0 11.6461707888 167.541431505 28.1419152341 2.96781200889 1.85808476595 g
56718.0829871 56717.1935429 1.76 1.17 174.0 294.464857182 183.910262699 24.634789442 0.526837781483 1.0636416889 g
56718.1753469 56717.1935429 1.2 1.17 174.0 206.04318737 182.652356261 25.0224774718 0.689128254887 2.36228151594 g
56718.2658825 56717.1935429 1.21 1.17 174.0 468.116336005 166.553076671 24.1314886279 0.330484428199 0.477438421321 g
56718.3616865 56717.1935429 1.85 1.17 174.0 216.247930822 163.966787427 24.9699932192 0.612692409902 1.54151720877 g
56719.0728387 56717.1935429 1.86 1.17 174.0 483.773128908 166.611524028 24.095768766 0.321321357039 0.458402837785 g
56719.164591 56717.1935429 1.22 1.17 174.0 574.520034659 181.568387327 23.9091101757 0.298168524351 0.412415160599 g
#56719.2649083 56717.1935429 1.21 1.17 174.0 -1797.87554257 180.006881929 30.0 0.0 0.0 g
56719.3680557 56717.1935429 2.0 1.17 174.0 617.728752023 158.782125905 23.8303785809 0.248374320221 0.322589085953 g
56720.0739404 56717.1935429 1.8 1.17 174.0 672.276899805 163.028562843 23.7385026491 0.235742832275 0.301546423125 g
56720.1675916 56717.1935429 1.2 1.17 174.0 889.084259664 185.258812054 23.4350158168 0.20550016476 0.253694890939 g
56720.258242 56717.1935429 1.2 1.17 174.0 1148.63157343 179.048445827 23.1569212459 0.157281673776 0.183989251282 g
56720.3620318 56717.1935429 1.95 1.17 174.0 776.96321815 160.464410444 23.5813719718 0.203843224199 0.251170546348 g
#56721.0717056 56717.1935429 1.8 1.17 174.0 -2567.40650796 190.764494805 30.0 0.0 0.0 g
56721.1763879 56717.1935429 1.18 1.17 174.0 1247.60308605 159.580636383 23.0671820198 0.130685906091 0.148596459744 g
56721.2698144 56717.1935429 1.24 1.17 174.0 1149.31796424 160.609971151 23.1562726334 0.142018022572 0.163430374396 g
56721.3694423 56717.1935429 2.13 1.17 174.0 1638.7889995 189.183201867 22.7710655206 0.1186163673 0.133182806943 g
56733.1448158 56717.1935429 1.18 1.17 174.0 489.728142178 898.400205148 24.0824854671 1.13118640431 5.91751453285 g
