# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14af, field: Blind14A_33, CCD: S2, ipix: 1384, jpix: 1124, RA: 11:17:37.56, DEC: -4:06:59.81
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.0955904 56717.2006878 1.62 1.13 174.0 -86.8657936493 123.826205874 30.0 3.02396889511 0.0 g
56717.295739 56717.2006878 1.22 1.13 174.0 -48.9945741974 121.976347315 30.0 3.76266290553 0.0 g
56717.3862729 56717.2006878 1.97 1.13 174.0 90.3505418588 146.934173098 26.005546217 1.04834750476 3.99445378304 g
56718.0896177 56717.2006878 1.66 1.13 174.0 583.66880338 162.069338313 23.9799569176 0.266049687343 0.353166075203 g
56718.1819527 56717.2006878 1.15 1.13 174.0 601.691967985 161.503005719 23.9469375854 0.258153218474 0.33933766422 g
56718.2724542 56717.2006878 1.16 1.13 174.0 601.512195626 133.779465676 23.9472620281 0.218038009372 0.273116690014 g
56718.3683209 56717.2006878 1.74 1.13 174.0 733.256566483 131.589553261 23.7322332185 0.179207200885 0.214749398014 g
56718.3902791 56717.2006878 2.1 1.13 174.0 403.865500931 143.42455233 24.3797812298 0.329951996852 0.47631871968 g
56719.0794334 56717.2006878 1.75 1.13 174.0 583.683487664 132.971454145 23.9799296023 0.222831731548 0.280695634828 g
56719.1711717 56717.2006878 1.17 1.13 174.0 947.544705592 118.548234712 23.4538738474 0.127988395286 0.145117569039 g
56719.2714823 56717.2006878 1.16 1.13 174.0 786.279300438 112.075011494 23.6564310142 0.144677035205 0.166963329104 g
56719.3747385 56717.2006878 1.87 1.13 174.0 487.888725255 132.275393469 24.1745711657 0.260464633344 0.343356869738 g
56720.0805069 56717.2006878 1.7 1.13 174.0 616.316211345 140.207005459 23.9208641422 0.222546672881 0.280242531175 g
56720.1741573 56717.2006878 1.16 1.13 174.0 803.155028296 118.139067669 23.633374664 0.148997263375 0.172746730415 g
56720.2648047 56717.2006878 1.16 1.13 174.0 673.581159823 115.078841131 23.8243982923 0.171249708953 0.203412377224 g
56720.3687385 56717.2006878 1.82 1.13 174.0 623.195087823 124.618947604 23.9088130671 0.197923976336 0.242231325812 g
56720.3907252 56717.2006878 2.23 1.13 174.0 546.022818275 132.065414986 24.0523461401 0.235188539939 0.300637845592 g
56721.0782666 56717.2006878 1.69 1.13 174.0 445.042723028 136.271166054 24.2743688602 0.290022488216 0.396911041216 g
56721.1881836 56717.2006878 1.13 1.13 174.0 472.79535946 120.363922375 24.2086901076 0.24624531361 0.318996411153 g
56721.2815186 56717.2006878 1.2 1.13 174.0 571.162586912 136.615520219 24.0034737409 0.232843432627 0.296807323175 g
56721.3760451 56717.2006878 1.98 1.13 174.0 444.423240951 133.918391603 24.2758812154 0.285969236145 0.389320937303 g
