# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14ag, field: Blind14A_34, CCD: S17, ipix: 2533, jpix: 1342, RA: 11:25:52.16, DEC: -1:42:30.44
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.0979609 56717.203044 1.68 1.15 174.0 28.6933072614 144.080069626 27.0869215982 1.94924053179 2.91307840176 g
56717.2980941 56717.203044 1.24 1.15 174.0 77.9425975179 134.298574641 26.0019359332 1.08763690119 3.99806406682 g
56717.3884581 56717.203044 2.02 1.15 174.0 41.0373662816 167.936109636 26.6984244192 1.76727921478 3.30157558082 g
56718.0918035 56717.203044 1.72 1.15 174.0 162.998148877 176.169112649 25.20091644 0.795578131515 4.79908355998 g
56718.1841454 56717.203044 1.18 1.15 174.0 179.567459842 176.877529158 25.0958040228 0.744412186227 4.56121637553 g
56718.274643 56717.203044 1.18 1.15 174.0 97.5849832868 143.082483696 25.7579156405 0.980085987445 4.24208435949 g
56718.370514 56717.203044 1.78 1.15 174.0 238.309948036 148.685701216 24.7885176908 0.526409776468 1.06179163243 g
56718.3924739 56717.203044 2.15 1.15 174.0 416.637186495 176.058259752 24.1819780462 0.382683901736 0.596251116793 g
56719.081609 56717.203044 1.82 1.15 174.0 343.042314774 149.845169371 24.3930038852 0.393500240194 0.623367472574 g
56719.1733553 56717.203044 1.2 1.15 174.0 610.084494653 136.862967165 23.7678981519 0.219750170838 0.275813736135 g
56719.273666 56717.203044 1.18 1.15 174.0 364.200455755 134.408631671 24.3280219084 0.341049261419 0.500014780882 g
56719.3769691 56717.203044 1.91 1.15 174.0 722.179155844 141.265965001 23.5847607475 0.193974476112 0.236334277855 g
56720.0827966 56717.203044 1.76 1.15 174.0 542.487208316 156.511751077 23.8953993654 0.275217567746 0.369574529373 g
56720.1763884 56717.203044 1.18 1.15 174.0 860.385188405 135.984501021 23.3946408073 0.15931895505 0.186785179059 g
56720.2669836 56717.203044 1.18 1.15 174.0 823.414025587 135.373952177 23.4423274701 0.165260798799 0.195011316858 g
56720.37095 56717.203044 1.86 1.15 174.0 745.594418678 140.951258505 23.5501164998 0.187996170429 0.227508759805 g
56720.3929304 56717.203044 2.29 1.15 174.0 625.639287136 160.242249218 23.7405630894 0.247582682468 0.321250994194 g
56721.0804513 56717.203044 1.76 1.15 174.0 782.565943015 147.546515181 23.4975707616 0.187536294605 0.226834828259 g
56721.1904003 56717.203044 1.15 1.15 174.0 728.737607559 139.003856104 23.5749451645 0.189547918822 0.229787996513 g
56721.2837002 56717.203044 1.23 1.15 174.0 806.09305187 161.548732109 23.4654101763 0.198323589276 0.242830980887 g
56721.3782333 56717.203044 2.03 1.15 174.0 939.897650377 147.232386473 23.2986717109 0.158002328304 0.1849768423 g
