# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS14ah, field: Blind14A_36, CCD: S1, ipix: 968, jpix: 1446, RA: 11:21:04.48, DEC: 2:08:50.44
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
56717.102671 56717.2078901 1.73 1.19 174.0 -920.815215997 135.411723356 30.0 0.0 0.0 g
56717.3027728 56717.2078901 1.31 1.19 174.0 48.3301708869 134.999512548 26.5528272939 1.44753614448 3.44717270612 g
56717.3973756 56717.2078901 2.39 1.19 174.0 -5255.62108209 415.129488467 30.0 0.0 0.0 g
56718.096199 56717.2078901 1.78 1.19 174.0 -185.265584274 155.408455874 30.0 0.0 0.0 g
56718.1885348 56717.2078901 1.22 1.19 174.0 17.1921647318 169.71998038 27.6750467111 2.59076739477 2.32495328885 g
56718.2790047 56717.2078901 1.24 1.19 174.0 30.6346098439 139.282505486 27.0478422367 1.86006193215 2.95215776334 g
56718.3749176 56717.2078901 1.97 1.19 174.0 -849.682951397 154.146118816 30.0 0.0 0.0 g
56719.0859799 56717.2078901 1.88 1.19 174.0 -75.4761503409 154.610714951 30.0 3.98254242245 0.0 g
56719.1777604 56717.2078901 1.24 1.19 174.0 78.9180056896 132.65001199 26.0204328662 1.07068478769 3.97956713382 g
56719.2780396 56717.2078901 1.25 1.19 174.0 -101.593457056 129.699555224 30.0 2.85862827634 0.0 g
56719.381366 56717.2078901 2.14 1.19 174.0 -845.258680859 142.555543786 30.0 0.0 0.0 g
56720.0871744 56717.2078901 1.82 1.19 174.0 -84.1123318893 148.527124932 30.0 3.75909091877 0.0 g
56720.180775 56717.2078901 1.23 1.19 174.0 -116.400431445 129.855948859 30.0 2.05887788591 0.0 g
56720.2713587 56717.2078901 1.24 1.19 174.0 -27.7413431213 141.067132031 30.0 4.37244875692 0.0 g
56720.3753615 56717.2078901 2.08 1.19 174.0 -34.9145630436 137.674907744 30.0 4.26619076029 0.0 g
56721.0848286 56717.2078901 1.82 1.19 174.0 149.650194211 142.404648448 25.3256799087 0.725967817571 3.28751545248 g
56721.1947705 56717.2078901 1.2 1.19 174.0 -54.5864529285 138.060129252 30.0 4.04050073178 0.0 g
56721.2880739 56717.2078901 1.3 1.19 174.0 -76.5122448942 151.379812214 30.0 3.92236118375 0.0 g
56721.38263 56717.2078901 2.29 1.19 174.0 -906.036178339 151.727407846 30.0 0.0 0.0 g
