# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15A, field: Blind15A_14, CCD: N16, ipix: 681, jpix: 88, RA: 09:26:21.05, DEC: -00:38:16.99
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2099963 57070.1246159 1.17 1.24 86.0 42.7448043543 80.1248817302 25.951037794 1.14640353771 4.04896220596 g
57070.2786409 57070.1246159 1.39 1.24 86.0 96.5443830574 76.9916687367 25.066428599 0.636656751839 1.73379989169 g
57071.0534141 57070.1246159 1.65 1.24 86.0 247.216073283 74.1107924975 24.0455543683 0.284675835062 0.386915967917 g
57071.12117 57070.1246159 1.24 1.24 86.0 394.584674653 76.0102532187 23.5378955941 0.191267570968 0.232323276366 g
57071.1888197 57070.1246159 1.15 1.24 86.0 397.329311725 76.7801518043 23.5303696157 0.191820048126 0.23313990477 g
57071.2574727 57070.1246159 1.3 1.24 86.0 410.082431212 76.0939230875 23.4960682191 0.184806672617 0.222849099344 g
57071.2588164 57070.0568767 1.3 1.65 86.0 248.48158864 126.258676744 24.1630105906 0.446090362513 0.770353971665 r
57071.3277374 57070.1246159 1.9 1.24 86.0 385.779883178 73.2593293719 23.562397185 0.188775521648 0.228652480014 g
57072.0501682 57070.1246159 1.66 1.24 86.0 498.785937602 98.6686196409 23.2834606261 0.195976693422 0.239317129487 g
57072.1177877 57070.1246159 1.24 1.24 86.0 610.084318314 81.0871370301 23.0647714732 0.135489829901 0.154841260085 g
57072.1869637 57070.1246159 1.15 1.24 86.0 578.256091255 81.3614477425 23.1229455875 0.142929946523 0.164639752864 g
57072.2557213 57070.1246159 1.3 1.24 86.0 506.276748227 76.3389148461 23.2672761731 0.152485435112 0.177455796121 g
57072.324745 57070.1246159 1.9 1.24 86.0 327.198422286 79.4925469482 23.7412181259 0.236133319779 0.302187232857 g
57073.0475212 57070.1246159 1.66 1.24 86.0 536.542457759 113.020453596 23.2042358923 0.207542813355 0.256820288041 g
57075.0427147 57070.1246159 1.65 1.24 86.0 395.621550468 112.686397606 23.5350462765 0.272117399711 0.363982578896 g
57075.1103064 57070.1246159 1.24 1.24 86.0 504.120578467 94.3058244683 23.2719100633 0.186190801714 0.224867090684 g
57075.1779393 57070.1246159 1.15 1.24 86.0 354.278420286 84.5213919714 23.6548843793 0.232304333951 0.29592982698 g
57075.2466073 57070.1246159 1.3 1.24 86.0 375.59856553 101.905880545 23.5914363157 0.260633736811 0.343651837075 g
57075.3152493 57070.1246159 1.88 1.24 86.0 327.463816229 117.673812553 23.7403378313 0.333327473185 0.483446320423 g
57077.0273001 57070.0568767 1.77 1.65 86.0 463.931341167 183.702322406 23.4851118468 0.362189256174 0.547351516118 r
57077.0950469 57070.1246159 1.27 1.24 86.0 269.932304703 104.564429948 23.9501089712 0.355482931393 0.532009294252 g
57077.1559806 57070.1246159 1.15 1.24 86.0 382.363317033 77.7810234437 23.5720555769 0.2010446608 0.246928919453 g
57080.0383054 57070.0568767 1.56 1.65 86.0 433.826107315 161.987269244 23.5579569182 0.344486413333 0.507510446887 r
57080.0864167 57070.1246159 1.27 1.24 86.0 521.980325001 181.341637202 23.2341107945 0.323750114047 0.463400405838 g
57095.0859134 57070.0568767 1.17 1.65 86.0 461.936340889 131.342270064 23.4897908034 0.2716914036 0.363217674001 r
57095.1563902 57070.1246159 1.19 1.24 86.0 431.923116119 75.8746830665 23.4397300089 0.175710916479 0.209743422238 g
