# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15B, field: Blind15A_35, CCD: S21, ipix: 1635, jpix: 1875, RA: 10:08:10.38, DEC: 02:36:51.80
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2385842 57070.152703 1.2 1.27 86.0 89.9472231187 79.8749193736 25.1772767276 0.690016388696 2.37714736529 g
57070.3072207 57070.152703 1.43 1.27 86.0 139.920760073 83.5592882689 24.697540739 0.508391502487 0.987249575088 g
57070.3542029 57070.152703 1.9 1.27 86.0 188.933006789 91.538329882 24.3714765375 0.42895162007 0.719431537544 g
57071.0817594 57070.152703 1.72 1.27 86.0 445.592580001 81.0408598927 23.4399012522 0.181426204715 0.217946996506 g
57071.1492458 57070.152703 1.28 1.27 86.0 567.995470106 80.7282508792 23.1763839478 0.144287265852 0.166444192023 g
57071.2173995 57070.152703 1.18 1.27 86.0 633.054119922 81.8989512219 23.0586440293 0.13209174131 0.150417387423 g
57071.2875385 57070.152703 1.34 1.27 86.0 468.626546875 81.9989514902 23.3851789107 0.175073579626 0.208835096484 g
57071.3565345 57070.152703 1.98 1.27 86.0 639.382209948 79.3308450298 23.0478447572 0.12698746311 0.143831720932 g
57072.0785234 57070.152703 1.73 1.27 86.0 721.392089613 89.6104688143 22.9168176887 0.127127121211 0.14401097028 g
57072.1458764 57070.152703 1.28 1.27 86.0 707.186027802 85.7419031643 22.9384119493 0.124250111632 0.140328962855 g
57072.2156263 57070.152703 1.18 1.27 86.0 818.309726423 81.9557146573 22.779951845 0.103632164418 0.114577639912 g
57072.2845323 57070.152703 1.34 1.27 86.0 794.940202589 82.4106413927 22.8114099752 0.107097092598 0.118828935583 g
57072.3536305 57070.152703 1.97 1.27 86.0 609.783366227 92.318010907 23.0993071945 0.153060628619 0.178235736652 g
57073.0758386 57070.152703 1.73 1.27 86.0 436.00314013 96.6061209636 23.4635220853 0.217297741613 0.271953983496 g
57075.0709624 57070.152703 1.72 1.27 86.0 74.985739664 109.492733603 25.3747994288 0.977417540082 4.62520057123 g
57075.2065075 57070.152703 1.18 1.27 86.0 379.491724885 94.2372803185 23.6142403526 0.240819165172 0.309924725729 g
57075.2753659 57070.152703 1.33 1.27 86.0 173.949365263 124.622868678 24.4611890072 0.586566423023 1.36835644393 g
57075.3441569 57070.152703 1.95 1.27 86.0 199.597863526 116.738849045 24.3118564073 0.499984271769 0.954540312018 g
#57077.0557216 57070.0851902 1.85 1.72 86.0 327.837695561 185.155340424 23.8550989073 0.48613145292 0.903221547661 r
57077.1230908 57070.152703 1.31 1.27 86.0 -51.9047064652 94.8644583586 30.0 4.02040828316 0.0 g
57077.1846126 57070.152703 1.18 1.27 86.0 23.2773546418 98.2896210662 26.6449120698 1.79470497328 3.3550879302 g
#57080.0562683 57070.0851902 1.74 1.72 86.0 -211.253479175 234.176073834 30.0 3.25641330897 0.0 r
57080.1826469 57070.152703 1.18 1.27 86.0 -240.512245347 149.042831724 30.0 0.0 0.0 g
#57089.2419726 57070.0851902 1.36 1.72 86.0 18.7263973634 278.535255136 26.9631105415 3.00171163278 3.03688945846 r
#57095.1284824 57070.0851902 1.19 1.72 86.0 331.30211182 143.313167805 23.8436856176 0.390293778599 0.615229739697 r
57095.1822979 57070.152703 1.22 1.27 86.0 -19.8038602343 86.0579631206 30.0 4.49078581636 0.0 g
