# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15D, field: Blind15A_40, CCD: N17, ipix: 2837, jpix: 1635, RA: 10:21:19.62, DEC: -06:58:23.34
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2452939 57070.1593888 1.1 1.17 86.0 91.8091666348 71.2113050189 25.085031015 0.623390250141 1.62265977297 g
57070.3141609 57070.1593888 1.3 1.17 86.0 118.011393904 74.289768404 24.8124362778 0.530144922757 1.07806910039 g
57070.3611263 57070.1593888 1.66 1.17 86.0 173.084065294 70.2229899373 24.3966034104 0.369744038397 0.56501506693 g
57071.0884497 57070.1593888 1.54 1.17 86.0 664.97708468 70.7256356319 22.935229429 0.109739205608 0.122091075581 g
57071.1559281 57070.1593888 1.17 1.17 86.0 626.496245549 67.3596945967 22.9999499463 0.11087709489 0.123501473849 g
57071.2240972 57070.1593888 1.09 1.17 86.0 696.479634549 67.9354407303 22.8849750733 0.101052053492 0.11143150747 g
57071.2943927 57070.1593888 1.22 1.17 86.0 839.520821271 70.5646971304 22.6821674488 0.0876268301719 0.0953247790099 g
57071.3632191 57070.1593888 1.72 1.17 86.0 665.306629681 66.4690231851 22.9346915002 0.103390261745 0.114281963233 g
57072.0852101 57070.1593888 1.55 1.17 86.0 908.139882642 76.0470850419 22.5968642558 0.0873121524884 0.0949524651624 g
57072.152555 57070.1593888 1.17 1.17 86.0 1097.81888031 69.6990130009 22.3909193893 0.0668321243662 0.0712173600275 g
57072.1538727 57070.0919834 1.17 1.54 86.0 1040.66565758 113.943504462 22.5689680709 0.112809441235 0.125904195045 r
57072.2223061 57070.1593888 1.09 1.17 86.0 1018.84465429 67.9593919102 22.4719762003 0.0701081887881 0.0749496368363 g
57072.2912262 57070.1593888 1.22 1.17 86.0 974.042557686 67.0934482435 22.5208012971 0.0723238341776 0.0774875342828 g
57072.3603066 57070.1593888 1.72 1.17 86.0 779.163843153 72.7442641995 22.7631741505 0.0969099006771 0.106415158765 g
#57073.0825483 57070.1593888 1.55 1.17 86.0 122.342224528 62.2074713146 24.7733051958 0.44634240208 0.771127099811 g
57074.3473916 57070.1593888 1.63 1.17 86.0 791.199014052 117.919948159 22.7465317846 0.150837447215 0.175226565335 g
57074.3486918 57070.0919834 1.64 1.54 86.0 955.732334232 202.100699116 22.66140543 0.208274141769 0.257942896899 r
57075.0777191 57070.1593888 1.54 1.17 86.0 928.043202216 89.4351911288 22.5733256433 0.0998925039889 0.110022967774 g
57075.1450198 57070.1593888 1.17 1.17 86.0 1211.80472955 97.9918569624 22.2836645202 0.0844280277491 0.0915510258706 g
57075.2134724 57070.1593888 1.09 1.17 86.0 1213.14088125 78.3515537646 22.2824680328 0.0679515712174 0.0724899886372 g
57075.2823316 57070.1593888 1.22 1.17 86.0 1176.74001706 88.2775451363 22.3155448215 0.0785400805421 0.0846676565737 g
57075.3508478 57070.1593888 1.7 1.17 86.0 898.009944769 116.519468245 22.6090432627 0.132458740878 0.150893640565 g
57077.0623981 57070.0919834 1.64 1.54 86.0 1663.01621922 170.95087286 22.0600049159 0.106237634354 0.117771602481 r
57077.1297836 57070.1593888 1.2 1.17 86.0 1091.49134173 86.5523078378 22.3971953906 0.0828527186815 0.0897014489282 g
57077.1914337 57070.1593888 1.09 1.17 86.0 1338.10117754 74.4508623955 22.1760237459 0.0587887594461 0.0621551071796 g
57078.1948284 57070.1593888 1.09 1.17 86.0 1327.64072434 79.2322460799 22.1845447141 0.0629358005996 0.0668096404408 g
57080.0590557 57070.0919834 1.59 1.54 86.0 1162.84713515 224.835899493 22.44843956 0.191919128797 0.233286466995 r
57080.1211734 57070.1593888 1.2 1.17 86.0 964.964948478 152.004448508 22.5309672825 0.158824340276 0.186105233999 g
57080.1896245 57070.1593888 1.09 1.17 86.0 1192.01212409 96.0677505709 22.3015444464 0.0841553051349 0.0912304032916 g
57089.2466055 57070.0919834 1.23 1.54 86.0 1535.92386804 242.389993896 22.1463219048 0.159096811247 0.186479707816 r
57090.246719 57070.1593888 1.24 1.17 86.0 899.698099961 188.068926827 22.6070041198 0.20609771677 0.254607649236 g
57095.1325411 57070.0919834 1.1 1.54 86.0 1499.47120858 116.740079946 22.1724007999 0.0814000113266 0.0880009782221 r
57095.1892597 57070.1593888 1.12 1.17 86.0 954.94397717 70.1911016219 22.5423013932 0.0770080019865 0.0828897778825 g
