# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15E, field: Blind15A_02, CCD: N5, ipix: 2755, jpix: 805, RA: 09:10:20.89, DEC: -04:21:47.47
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.1935601 57070.1085858 1.12 1.2 86.0 -6.9208183602 86.737530238 30.0 4.76898845354 0.0 g
57070.2622249 57070.1085858 1.31 1.2 86.0 -12.4510717264 87.3389500939 30.0 4.69978268903 0.0 g
57071.0372791 57070.1085858 1.6 1.2 86.0 371.606539531 90.112430612 23.5610377579 0.235735925497 0.30153509423 g
57071.1051424 57070.1085858 1.2 1.2 86.0 328.844447344 89.924642445 23.6937698455 0.262460262445 0.346845904019 g
57071.1726128 57070.1085858 1.11 1.2 86.0 313.118965684 88.1678325883 23.7469726938 0.269363746533 0.35905297161 g
57071.2409471 57070.1085858 1.23 1.2 86.0 397.922355752 91.1704920921 23.4867502806 0.22398243258 0.282527822664 g
57071.3113845 57070.1085858 1.74 1.2 86.0 297.628010381 88.74776238 23.8020616253 0.283340213831 0.384441066729 g
57072.0340498 57070.1085858 1.61 1.2 86.0 617.67898151 104.53681242 23.0093390698 0.169760395792 0.201312794218 g
57072.1017795 57070.1085858 1.2 1.2 86.0 774.116400308 89.4907881444 22.764230457 0.118774950471 0.133382815459 g
57072.2392548 57070.1085858 1.24 1.2 86.0 806.266011681 89.168073523 22.7200502471 0.11388817405 0.127249696531 g
57072.3083748 57070.1085858 1.74 1.2 86.0 764.485069292 88.1839529617 22.7778236084 0.118528693318 0.133072258978 g
57073.0315378 57070.1085858 1.6 1.2 86.0 1000.65244945 110.306905258 22.4855379711 0.113537268598 0.126811683049 g
57073.0992293 57070.1085858 1.2 1.2 86.0 956.749467723 98.6897369565 22.5342505549 0.10658748222 0.1182017713 g
57074.0294249 57070.1085858 1.6 1.2 86.0 1064.83767678 135.828156637 22.418037605 0.130346857849 0.148158111811 g
57075.0266769 57070.1085858 1.6 1.2 86.0 1624.47556193 121.737630985 21.9594631722 0.0784602067776 0.0845748341916 g
57075.094281 57070.1085858 1.2 1.2 86.0 1773.04077524 104.860512138 21.8644493198 0.0623850908277 0.0661893618947 g
57075.1615884 57070.1085858 1.11 1.2 86.0 2017.19609838 101.581295771 21.7243758294 0.0533430279762 0.0560998378977 g
57075.2302587 57070.1085858 1.23 1.2 86.0 2015.46237549 106.426118772 21.7253093901 0.0558696567554 0.0589012963112 g
57075.2989753 57070.1085858 1.73 1.2 86.0 1655.68259721 120.764327566 21.9388034182 0.0764378814044 0.0822295714298 g
57077.0112599 57070.0405161 1.71 1.6 86.0 2661.57317358 475.794508295 21.5734001017 0.178567519988 0.213830569821 r
57077.0790526 57070.1085858 1.23 1.2 86.0 2409.09986404 111.419385471 21.5316091203 0.0490880385841 0.0514129217079 g
57077.1396232 57070.1085858 1.11 1.2 86.0 2770.59632346 95.1775065265 21.3798129942 0.0366716470856 0.0379536908248 g
57080.0221175 57070.0405161 1.51 1.6 86.0 2887.32960694 249.9119274 21.4850052177 0.0901289797071 0.0982936277061 r
57080.0704247 57070.1085858 1.23 1.2 86.0 2825.87317634 190.618735668 21.3583644605 0.0708737453755 0.0758252830333 g
57080.1378143 57070.1085858 1.11 1.2 86.0 3352.91381803 155.812592052 21.1726901515 0.0493177878971 0.0516650090114 g
57089.2061841 57070.0405161 1.29 1.6 86.0 3968.89455625 228.952618067 21.1395722258 0.0608926570033 0.0645117525108 r
57090.2061739 57070.1085858 1.31 1.2 86.0 3071.3270919 159.932939197 21.2679309515 0.0551145950477 0.0580626630439 g
57095.0709446 57070.0405161 1.13 1.6 86.0 3204.97915818 163.128672105 21.3716831039 0.0539019433995 0.0567183649913 r
57095.1453219 57070.1085858 1.15 1.2 86.0 2037.12266277 93.4504110532 21.7137031774 0.0486981345646 0.0509853641345 g
