# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15F, field: Blind15A_07, CCD: N14, ipix: 2994, jpix: 1528, RA: 09:15:18.15, DEC: -00:44:39.67
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2004173 57070.1152628 1.16 1.25 86.0 16.2577323961 81.4616371934 26.9285962012 1.94730171457 3.07140379876 g
57070.2690565 57070.1152628 1.37 1.25 86.0 109.218962191 82.0088455259 24.8605010143 0.608132501727 1.50891910415 g
57071.044058 57070.1152628 1.69 1.25 86.0 280.692520704 82.3631763432 23.8356690265 0.279356038583 0.377109661117 g
57071.1118209 57070.1152628 1.25 1.25 86.0 423.454266119 82.4126601236 23.3892298467 0.193074433642 0.234997869447 g
57071.1794721 57070.1152628 1.15 1.25 86.0 324.400260024 82.6249723386 23.678543144 0.24635034813 0.319173212314 g
57071.2477212 57070.1152628 1.29 1.25 86.0 427.856994656 83.0431404439 23.3779995374 0.192593453112 0.234284823348 g
57071.3182669 57070.1152628 1.86 1.25 86.0 377.58634835 86.1463119836 23.5137054182 0.223128500058 0.281167678873 g
57072.0407293 57070.1152628 1.69 1.25 86.0 468.044029353 97.0924773678 23.2805293544 0.20466663322 0.252423792692 g
57072.1084477 57070.1152628 1.25 1.25 86.0 665.246499723 83.5269856117 22.8987896328 0.128419647884 0.145672413594 g
57072.1773785 57070.1152628 1.15 1.25 86.0 599.773499026 83.9686943512 23.0112779467 0.14226277064 0.163754723311 g
57072.2459911 57070.1152628 1.29 1.25 86.0 653.720344657 85.7511427693 22.9177661256 0.133823580263 0.152668035651 g
57072.3152287 57070.1152628 1.85 1.25 86.0 450.433311562 84.8427544839 23.3221698755 0.18736831007 0.226588828347 g
57073.0382042 57070.1152628 1.69 1.25 86.0 550.584090902 101.98515731 23.1041869823 0.184507364604 0.222413553694 g
57074.036049 57070.1152628 1.68 1.25 86.0 252.251869342 122.940791248 23.9516601448 0.43104985234 0.725496651951 g
57075.0333523 57070.1152628 1.68 1.25 86.0 429.504773551 112.943837825 23.3738261407 0.253476516998 0.331276684956 g
57075.1009618 57070.1152628 1.25 1.25 86.0 663.61628595 107.040673792 22.9014535391 0.162360173112 0.190982157377 g
57075.1683354 57070.1152628 1.15 1.25 86.0 710.336601129 88.9962086082 22.8275856458 0.128158616644 0.145336513654 g
57075.2371175 57070.1152628 1.29 1.25 86.0 520.16343174 101.181138979 23.1658965846 0.19298172614 0.23486037101 g
57075.3057461 57070.1152628 1.84 1.25 86.0 279.308022393 116.924305137 23.8410376035 0.379666239283 0.588852327222 g
57077.0180013 57070.0472192 1.81 1.68 86.0 751.012837533 208.959047538 22.9391277263 0.266527883007 0.354012438542 r
57077.0857227 57070.1152628 1.28 1.25 86.0 573.886243712 97.5319024637 23.0591815915 0.170418149838 0.202239217868 g
57077.146451 57070.1152628 1.16 1.25 86.0 729.320896511 86.075394069 22.7989494852 0.121125185665 0.13635474709 g
57080.0288123 57070.0472192 1.59 1.68 86.0 816.660524748 207.30303491 22.8481422195 0.245607345041 0.31792352463 r
57080.0770922 57070.1152628 1.28 1.25 86.0 284.713476747 174.695456882 23.8202260663 0.519478528715 1.03236050145 g
57080.1445979 57070.1152628 1.15 1.25 86.0 424.365592858 140.410758105 23.3868957169 0.310340846501 0.436227242246 g
57089.2123373 57070.0472192 1.35 1.68 86.0 229.711149228 202.036465357 24.2252909417 0.685119680493 2.29774851486 r
57090.2123458 57070.1152628 1.36 1.25 86.0 156.0389859 160.789414627 24.4731633302 0.768977464243 5.5268366698 g
57095.0764132 57070.0472192 1.18 1.68 86.0 324.761503284 135.687802978 23.8493347705 0.379043199843 0.587333548258 r
57095.1508398 57070.1152628 1.19 1.25 86.0 170.720332765 83.4587509064 24.3755330066 0.43213640278 0.728655417712 g
