# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15I, field: Blind15A_45, CCD: N20, ipix: 3873, jpix: 212, RA: 10:25:27.63, DEC: 01:20:52.38
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.1836009 57070.1660888 1.22 1.27 86.0 -114.330813519 105.114482019 30.0 0.0 0.0 g
57070.2521272 57070.1660888 1.2 1.27 86.0 -244.736197539 105.813915989 30.0 0.0 0.0 g
57070.3209626 57070.1660888 1.44 1.27 86.0 -113.890626793 106.880830222 30.0 0.0 0.0 g
57070.3679811 57070.1660888 1.91 1.27 86.0 77.0638522721 104.078719623 25.3651193412 0.927924537215 4.63488065878 g
57071.0951591 57070.1660888 1.71 1.27 86.0 600.917759808 103.562525192 23.1352085292 0.172634510658 0.205370865846 g
57071.1626183 57070.1660888 1.27 1.27 86.0 618.027831548 101.970823448 23.1047260455 0.165809130248 0.195775882146 g
57071.3011757 57070.1660888 1.34 1.27 86.0 547.583263439 103.026897428 23.2361207138 0.187176689648 0.226308330054 g
57071.3699748 57070.1660888 1.99 1.27 86.0 518.293793494 102.697645353 23.2958061075 0.19627401168 0.239761236256 g
57072.0919318 57070.1660888 1.71 1.27 86.0 1133.49685104 108.792264373 22.4461953332 0.0995059052983 0.109554094507 g
57072.160557 57070.1660888 1.27 1.27 86.0 1217.9358761 104.538011096 22.3681850695 0.0894067050472 0.0974350981374 g
57072.2290578 57070.1660888 1.18 1.27 86.0 1397.71031344 104.619894297 22.2187032037 0.0783705751167 0.0844706896039 g
57072.2981874 57070.1660888 1.34 1.27 86.0 1343.03622505 104.912029455 22.262026811 0.0816632871737 0.0883087902825 g
57072.3669837 57070.1660888 1.98 1.27 86.0 1149.17207807 101.590722838 22.4312834651 0.0919747278734 0.10049326231 g
57073.0893543 57070.1660888 1.71 1.27 86.0 1154.06328115 115.95440716 22.4266720699 0.103950365975 0.114966799464 g
57074.0864873 57070.1660888 1.71 1.27 86.0 2086.91301788 158.345950681 21.7834852578 0.0794052292364 0.0856740044786 g
57075.0844046 57070.1660888 1.7 1.27 86.0 2887.40520731 123.848600872 21.4309767897 0.0455990671676 0.0475984265688 g
57075.1517074 57070.1660888 1.27 1.27 86.0 3013.52849505 132.420638216 21.3845578721 0.0466909846677 0.0487894640028 g
57075.2202993 57070.1660888 1.18 1.27 86.0 3509.35207014 113.67036657 21.2191787774 0.0346102081183 0.0357499142419 g
57075.2890649 57070.1660888 1.34 1.27 86.0 2913.36046498 141.19426488 21.421260572 0.0513842213621 0.0539373960087 g
57075.3576762 57070.1660888 1.96 1.27 86.0 2445.37315415 153.582009919 21.6113832778 0.0661341180247 0.0704252579757 g
57077.0691953 57070.0986314 1.83 1.7 86.0 4902.72939475 225.027500344 20.9101513204 0.0487237604189 0.0510134548302 r
57077.1364573 57070.1660888 1.3 1.27 86.0 4232.20910264 120.084280029 21.0158283358 0.0303776149704 0.0312520696022 g
57077.1980977 57070.1660888 1.18 1.27 86.0 4297.84432641 117.361812147 20.9991194263 0.0292507603633 0.0300606736889 g
57078.2002822 57070.1660888 1.18 1.27 86.0 4831.77149991 111.328969127 20.8719801586 0.024732624559 0.0253091828559 g
57080.1278548 57070.1660888 1.31 1.27 86.0 4333.06665369 226.283009532 20.990257704 0.0552688262773 0.0582338648378 g
57080.1964492 57070.1660888 1.18 1.27 86.0 5073.29078668 134.108894952 20.8190217392 0.0283278915932 0.0290868391329 g
57089.2528288 57070.0986314 1.35 1.7 86.0 5756.22148879 264.936819525 20.735902387 0.0488563734806 0.0511588455842 r
57090.2529269 57070.1660888 1.36 1.27 86.0 2973.50286428 160.085218977 21.3990752252 0.0569338644603 0.0600853855532 g
57095.1379678 57070.0986314 1.19 1.7 86.0 2852.98746718 187.32216787 21.4979964685 0.0690448799208 0.0737356133345 r
57095.1962245 57070.1660888 1.22 1.27 86.0 1041.6219334 108.348132152 22.5379708375 0.107441048238 0.119252604274 g
