# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15K, field: Blind15A_33, CCD: N28, ipix: 497, jpix: 246, RA: 10:10:10.37, DEC: -02:46:30.46
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2358026 57070.1500297 1.14 1.22 86.0 165.782404864 51.4376721488 24.4434000399 0.29340382012 0.403305679093 g
57070.3044483 57070.1500297 1.35 1.22 86.0 38.4532193526 75.4939709693 26.0299143647 1.17942728897 3.97008563526 g
57070.3515297 57070.1500297 1.75 1.22 86.0 74.7488625291 78.1436644776 25.3082346574 0.776954176121 4.69176534261 g
57071.0790991 57070.1500297 1.64 1.22 86.0 139.58182619 78.3463715132 24.630173938 0.48371137791 0.894564822947 g
57071.1465826 57070.1500297 1.23 1.22 86.0 180.653630111 76.2297953097 24.350129396 0.382223477173 0.595117637228 g
57071.2146193 57070.1500297 1.13 1.22 86.0 121.360055217 75.6077941903 24.7820567147 0.525798944291 1.05915801021 g
57071.284774 57070.1500297 1.27 1.22 86.0 202.352726077 77.1100049952 24.2269734793 0.350537098438 0.520891412024 g
57071.3537621 57070.1500297 1.81 1.22 86.0 237.332701793 78.6381040154 24.0538521699 0.310723436185 0.436988600873 g
57072.0758535 57070.1500297 1.65 1.22 86.0 553.253233024 81.435557585 23.1349362269 0.149092169316 0.172874384732 g
57072.1432071 57070.1500297 1.23 1.22 86.0 553.352820588 77.1803285413 23.1347408081 0.141764489363 0.163094562294 g
57072.2129706 57070.1500297 1.13 1.22 86.0 554.982449845 77.6622076568 23.1315480039 0.142201488034 0.163673493448 g
57072.2817475 57070.1500297 1.27 1.22 86.0 597.566078537 78.4409978087 23.0512812873 0.133913264428 0.152784811681 g
57072.3508608 57070.1500297 1.81 1.22 86.0 535.858132728 75.2487064948 23.1696215621 0.142668294438 0.164292512421 g
57073.0731763 57070.1500297 1.65 1.22 86.0 500.723008604 88.9436428543 23.2432522581 0.177522547423 0.212332419187 g
57074.0705368 57070.1500297 1.65 1.22 86.0 603.960842791 113.402724363 23.0397241719 0.186826334618 0.22579578767 g
57075.0682983 57070.1500297 1.64 1.22 86.0 677.799585608 102.037853237 22.9144928807 0.152256955517 0.177146256456 g
57075.1356693 57070.1500297 1.23 1.22 86.0 746.788952423 90.3599102561 22.8092514166 0.12401201735 0.140025243666 g
57075.2038295 57070.1500297 1.13 1.22 86.0 826.250906471 78.5516700398 22.6994662557 0.0986046991499 0.108462529548 g
57075.2727026 57070.1500297 1.26 1.22 86.0 733.591662198 109.183316585 22.8286101616 0.150643116761 0.17496421892 g
57075.3413719 57070.1500297 1.79 1.22 86.0 596.86861573 110.549086687 23.0525492691 0.184492949443 0.222392584546 g
57077.0529879 57070.0825178 1.76 1.64 86.0 494.394446908 184.55175319 23.4170621679 0.344404444881 0.507330810977 r
57077.1204493 57070.1500297 1.26 1.22 86.0 749.438462591 82.8992073701 22.8054061828 0.113908930625 0.127275615648 g
57077.1819483 57070.1500297 1.14 1.22 86.0 747.850840255 79.4678070025 22.8077086632 0.109644568057 0.121973922626 g
57078.1892737 57070.1500297 1.13 1.22 86.0 812.315359138 89.2931889617 22.7179344659 0.113233389229 0.126432626321 g
57080.0535963 57070.0825178 1.65 1.64 86.0 979.110404242 224.714732167 22.6751669644 0.224329354617 0.283081193217 r
57080.1118195 57070.1500297 1.26 1.22 86.0 764.100968666 132.145875822 22.7843692525 0.173192223411 0.20616133032 g
57080.1799831 57070.1500297 1.13 1.22 86.0 670.897356183 133.474206861 22.925605927 0.197001570328 0.240849277144 g
57080.2047038 57070.0825178 1.14 1.64 86.0 275.395491914 220.207045681 24.0523540611 0.637941736493 1.74527164904 r
#57089.2389317 57070.0825178 1.28 1.64 86.0 -9.54657934545 254.495906505 30.0 5.82044449901 0.0 r
#57090.2390433 57070.1500297 1.29 1.22 86.0 -34.2384248015 166.063343281 30.0 5.30774765048 0.0 g
57095.1258042 57070.0825178 1.14 1.64 86.0 774.032940452 130.961324101 22.9303475198 0.169715958855 0.201250255065 r
57095.1796206 57070.1500297 1.16 1.22 86.0 415.377040295 83.4954318057 23.4461399093 0.198867631554 0.243648253106 g
