# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15L, field: Blind15A_34, CCD: N27, ipix: 774, jpix: 1246, RA: 10:12:43.21, DEC: -00:45:10.52
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2371948 57070.1513671 1.17 1.25 86.0 -45.2831049878 88.6600052123 30.0 4.23690015559 0.0 g
57070.3058296 57070.1513671 1.37 1.25 86.0 80.8120397222 90.0754206413 25.0875559565 0.813085317349 4.91244404349 g
57070.3528677 57070.1513671 1.79 1.25 86.0 93.7083657375 94.2589126541 24.9268002184 0.755759723366 5.07319978165 g
57071.0804328 57070.1513671 1.71 1.25 86.0 275.24962106 90.3898661547 23.7569293037 0.308315903641 0.432210892123 g
57071.1479168 57070.1513671 1.26 1.25 86.0 371.056020575 89.7328879448 23.4326474215 0.235156335412 0.300585094616 g
57071.2160155 57070.1513671 1.16 1.25 86.0 514.001970794 89.4294616803 23.0788341677 0.174157861143 0.207532284541 g
57071.2861523 57070.1513671 1.29 1.25 86.0 333.045939426 90.1843567412 23.5499857706 0.260181513278 0.342863305242 g
57071.3551409 57070.1513671 1.86 1.25 86.0 399.125591855 91.7330340649 23.3534721892 0.224617129386 0.283540567165 g
57072.077189 57070.1513671 1.71 1.25 86.0 754.279380359 95.1305756802 22.662415539 0.128962778699 0.146371916932 g
57072.1445419 57070.1513671 1.26 1.25 86.0 837.251029793 89.5474260286 22.5491069022 0.110324027852 0.122815541317 g
57072.2143034 57070.1513671 1.16 1.25 86.0 938.883079893 91.7699495713 22.4247173469 0.101252429169 0.111675247719 g
57072.2831408 57070.1513671 1.29 1.25 86.0 910.616146936 90.911676516 22.4579077609 0.103319180094 0.114195108236 g
57072.3522409 57070.1513671 1.85 1.25 86.0 886.137492653 96.0287924026 22.487493348 0.111709774849 0.124535669981 g
57073.0745012 57070.1513671 1.71 1.25 86.0 894.37776674 100.990765793 22.4774436416 0.116157280754 0.130089784954 g
57075.0696416 57070.1513671 1.71 1.25 86.0 2320.43479932 113.655307764 21.4423227033 0.0519182033414 0.054526076684 g
57075.1370012 57070.1513671 1.26 1.25 86.0 2976.43934122 107.612551641 21.1720035376 0.0385616018855 0.0399817711485 g
57075.2051724 57070.1513671 1.16 1.25 86.0 3295.07011088 97.0057789209 21.0615844788 0.0315022507219 0.0324436600196 g
57075.2740416 57070.1513671 1.29 1.25 86.0 2936.16788998 118.225063458 21.1867939159 0.0428600605615 0.0446217686802 g
57075.3427522 57070.1513671 1.83 1.25 86.0 2490.44094645 124.375944441 21.3655555077 0.0529125838644 0.0556239412465 g
57077.0543143 57070.0838544 1.83 1.7 86.0 4069.86121668 191.41248029 21.0022971283 0.049899573586 0.0523038610416 r
57077.1217682 57070.1513671 1.29 1.25 86.0 4795.43077788 102.923993018 20.6541770623 0.0230565251264 0.0235567927192 g
57077.1832871 57070.1513671 1.16 1.25 86.0 5129.9380493 102.731430739 20.5809658269 0.0215279576445 0.0219634633514 g
57078.190664 57070.1513671 1.16 1.25 86.0 6311.97763486 112.051179157 20.3558324997 0.0191050721575 0.0194472837522 g
57080.0549265 57070.0838544 1.72 1.7 86.0 6964.9979365 227.803808809 20.4189436479 0.0349427448612 0.0361048266453 r
57080.1131535 57070.1513671 1.29 1.25 86.0 6583.53140675 155.874901154 20.3100988488 0.0254068209111 0.0260156293094 g
57080.1813153 57070.1513671 1.16 1.25 86.0 7077.61159759 139.761441431 20.2315293133 0.0212310675584 0.0216545255167 g
57089.2404554 57070.0838544 1.31 1.7 86.0 13380.2608616 301.611027568 19.7100846768 0.0242023476268 0.0247541708218 r
57090.2405621 57070.1513671 1.32 1.25 86.0 10790.1381408 216.269047532 19.7736786162 0.0215464274232 0.0219826883271 g
57095.1271428 57070.0838544 1.16 1.7 86.0 10314.5248616 160.572342599 19.9926230606 0.0167720867807 0.0170352468449 r
57095.1809613 57070.1513671 1.18 1.25 86.0 7737.45667899 103.883661394 20.1347505519 0.014480184052 0.014675915902 g
