# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15M, field: Blind15A_13, CCD: S1, ipix: 1750, jpix: 1624, RA: 09:28:10.65, DEC: -02:15:23.11
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2086049 57070.1232814 1.14 1.22 86.0 87.3009427227 74.7403035929 25.1396987944 0.671516603393 2.10501798768 g
57070.2772391 57070.1232814 1.34 1.22 86.0 126.991897216 76.4106765628 24.7328060995 0.511451081411 0.999466764238 g
57071.0520832 57070.1232814 1.66 1.22 86.0 76.9409752339 75.3826592385 25.2768519113 0.741524016973 4.23375539551 g
57071.1198347 57070.1232814 1.23 1.22 86.0 8.54807939025 75.3379899685 27.6625747606 2.4795532454 2.33742523944 g
57071.1874999 57070.1232814 1.13 1.22 86.0 100.925693894 73.5373295149 24.9822417681 0.594254126113 1.4160891171 g
57071.256071 57070.1232814 1.25 1.22 86.0 6.88739325994 75.1018247022 27.8971089249 2.68925465684 2.10289107505 g
57071.3264044 57070.1232814 1.78 1.22 86.0 182.006014795 76.7621614746 24.342031777 0.382062811468 0.594722499529 g
57072.04876 57070.1232814 1.66 1.22 86.0 54.5460505086 86.9890784302 25.6503378524 1.03525233647 4.34966214763 g
57072.1164617 57070.1232814 1.23 1.22 86.0 117.21886841 76.5705792918 24.8197523168 0.545831501122 1.14988813408 g
57072.1855699 57070.1232814 1.13 1.22 86.0 109.273431008 79.6464875256 24.8959596795 0.594407925491 1.41706932606 g
57072.2543334 57070.1232814 1.26 1.22 86.0 53.0053593558 76.354320926 25.6814466701 0.968697875794 4.3185533299 g
57072.3233977 57070.1232814 1.78 1.22 86.0 143.519823297 76.457386743 24.5999664006 0.463664496546 0.826081406396 g
57073.0461951 57070.1232814 1.66 1.22 86.0 39.2372096555 103.95059116 26.0080008405 1.40551975964 3.99199915954 g
57074.0439752 57070.1232814 1.66 1.22 86.0 266.245750418 114.452771293 23.9290394164 0.388246264343 0.61007750014 g
57075.0413786 57070.1232814 1.65 1.22 86.0 540.620425702 100.219521293 23.1600150027 0.184642814139 0.222610620006 g
57075.1089609 57070.1232814 1.23 1.22 86.0 540.239526232 93.1250219176 23.1607802385 0.172668486824 0.205418993305 g
57075.1765496 57070.1232814 1.13 1.22 86.0 471.829761014 77.7346841513 23.307782801 0.165583242035 0.195460803202 g
57075.2452892 57070.1232814 1.25 1.22 86.0 460.618479058 93.1556519118 23.3338927357 0.199978268149 0.245319862326 g
57077.0259765 57070.0554793 1.77 1.65 86.0 398.352270854 197.934179353 23.640577885 0.437969108637 0.74582593762 r
57077.0937226 57070.1232814 1.26 1.22 86.0 658.347096757 97.1124817275 22.9461088163 0.149390768214 0.173276189329 g
57077.1546506 57070.1232814 1.13 1.22 86.0 670.587542129 78.6085327611 22.9261074255 0.120350030892 0.13537293359 g
57080.0369742 57070.0554793 1.56 1.65 86.0 838.427960591 169.499558559 22.8325817454 0.199908874213 0.245215292599 r
57080.0850948 57070.1232814 1.26 1.22 86.0 422.589649595 178.486624109 23.4274489887 0.382526824087 0.595864233829 g
57080.152777 57070.1232814 1.13 1.22 86.0 737.164560686 147.018508323 22.8233350074 0.197444365478 0.241512354757 g
57089.216969 57070.0554793 1.29 1.65 86.0 528.905539778 195.2248557 23.3328008385 0.341096653939 0.500117621688 r
#57090.216975 57070.1232814 1.31 1.22 86.0 -4.30904835019 163.391512848 30.0 5.51180964798 0.0 g
57095.0845838 57070.0554793 1.16 1.65 86.0 374.164613496 127.207905914 23.7085893485 0.317744536105 0.451104713311 r
57095.1550035 57070.1232814 1.16 1.22 86.0 257.009110772 75.8795435947 23.9673748306 0.280876186553 0.379897924157 g
