# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15O, field: Blind15A_26, CCD: S9, ipix: 4019, jpix: 508, RA: 09:59:11.25, DEC: 02:29:53.44
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2262864 57070.1406759 1.19 1.29 86.0 95.2461116282 91.7968437882 25.1311279909 0.73273525294 3.60280083921 g
57070.2949166 57070.1406759 1.4 1.29 86.0 135.646937027 93.7791802868 24.747221149 0.570582159454 1.27632574866 g
57070.341931 57070.1406759 1.81 1.29 86.0 51.6575247092 87.1615777692 25.7954121479 1.07328910021 4.20458785215 g
57071.0696431 57070.1406759 1.8 1.29 86.0 204.153159447 93.087384534 24.3033558646 0.40787985511 0.660939635855 g
57071.1372445 57070.1406759 1.3 1.29 86.0 298.748035739 94.9704377449 23.8899834819 0.299701835276 0.415371549384 g
57071.2050152 57070.1406759 1.18 1.29 86.0 157.631488043 91.537328304 24.5841386898 0.49712678452 0.943699723974 g
57071.2752425 57070.1406759 1.32 1.29 86.0 167.435482866 93.2720995033 24.5186273808 0.480765408378 0.884144911658 g
57071.3442543 57070.1406759 1.89 1.29 86.0 259.032834222 94.9887231647 24.0448590845 0.339187227087 0.495985432409 g
57072.0663697 57070.1406759 1.81 1.29 86.0 405.704891308 92.4016667238 23.5577205188 0.22278003982 0.28061344743 g
57072.1338538 57070.1406759 1.3 1.29 86.0 343.847090089 95.1882313562 23.7373327447 0.265335270843 0.351903543258 g
57072.2033896 57070.1406759 1.18 1.29 86.0 331.183205815 94.7800445854 23.7780753637 0.273259566501 0.366037565074 g
57072.2721342 57070.1406759 1.31 1.29 86.0 290.109671808 93.3978049426 23.9218406087 0.30302906874 0.42182911934 g
57072.3413305 57070.1406759 1.88 1.29 86.0 353.798186892 89.3904262432 23.7063571207 0.244582476409 0.316203512368 g
57073.0637392 57070.1406759 1.81 1.29 86.0 489.731016646 116.266707706 23.3533521018 0.231283456969 0.294271267075 g
57074.0612409 57070.1406759 1.8 1.29 86.0 381.204521395 124.814112199 23.6253510204 0.307521166203 0.430640668995 g
57075.1263284 57070.1406759 1.3 1.29 86.0 920.969315104 108.58374544 22.6676332266 0.121008933419 0.136207400325 g
57075.1944674 57070.1406759 1.18 1.29 86.0 841.934819682 93.700439086 22.7650499509 0.114570271592 0.128102027983 g
57075.2631529 57070.1406759 1.31 1.29 86.0 718.860601723 125.113785737 22.9366344229 0.174211462457 0.20760847094 g
57077.0435153 57070.0730778 1.94 1.79 86.0 1342.83084049 219.060169937 22.3171928605 0.164073545673 0.193359034596 r
57077.1110959 57070.1406759 1.34 1.29 86.0 1322.6279359 105.180552545 22.2746518996 0.0830806703203 0.0899687270628 g
57077.1723745 57070.1406759 1.19 1.29 86.0 1337.58713762 95.7936509717 22.2624409184 0.0750987387235 0.0806817657563 g
57080.0480835 57070.0730778 1.76 1.79 86.0 1869.31598711 223.829219664 21.9580393275 0.122791593114 0.138470815192 r
57080.1706174 57070.1406759 1.18 1.29 86.0 1901.11260435 138.963813238 21.8807265251 0.0765964859971 0.0824131623417 g
57089.2295746 57070.0730778 1.33 1.79 86.0 3033.25922435 226.240853707 21.4324723106 0.0781036719615 0.0841606802266 r
57090.2297045 57070.1406759 1.34 1.29 86.0 2605.89440616 193.535684342 21.5383540941 0.0777820320331 0.0837873125687 g
57095.1176146 57070.0730778 1.19 1.79 86.0 3382.98362131 160.230005141 21.3139963902 0.0502436058128 0.0526819769325 r
57095.1700511 57070.1406759 1.21 1.29 86.0 1929.23976801 97.5841828106 21.8647806141 0.0535745552145 0.0563559775237 g
