# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15S, field: Blind15A_20, CCD: N28, ipix: 3067, jpix: 703, RA: 09:43:24.72, DEC: -07:00:49.39
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2180953 57070.1326339 1.11 1.17 86.0 58.9783530735 65.5863289088 25.5755145255 0.81175570638 4.42448547448 g
57070.2868452 57070.1326339 1.3 1.17 86.0 22.3172798977 71.5264161944 26.6306429774 1.55940961032 3.36935702258 g
57070.3338368 57070.1326339 1.67 1.17 86.0 161.043968077 70.9230459448 24.4848849709 0.396204422999 0.63029709014 g
57071.0614963 57070.1326339 1.54 1.17 86.0 40.4067934839 67.0328761865 25.9861101581 1.06177569101 4.01388984188 g
57071.1291896 57070.1326339 1.17 1.17 86.0 87.5998968997 66.6232537737 25.1459871405 0.614114940478 1.55191901345 g
57071.1969179 57070.1326339 1.09 1.17 86.0 128.33148969 67.3793201629 24.731413039 0.458203946028 0.808360167932 g
57071.2670536 57070.1326339 1.22 1.17 86.0 -8.41995692193 66.8097819752 30.0 4.41359680696 0.0 g
57071.3360311 57070.1326339 1.72 1.17 86.0 55.8220484475 67.6490204607 25.6352317048 0.861898596471 4.36476829521 g
57072.0581776 57070.1326339 1.55 1.17 86.0 93.142507399 86.5243145744 25.0793763157 0.713299902259 2.8710212714 g
57072.1258073 57070.1326339 1.18 1.17 86.0 209.33347335 67.3991530059 24.2001494294 0.303054213288 0.421878142572 g
57072.1951827 57070.1326339 1.09 1.17 86.0 71.8657155769 68.1687290771 25.3609417424 0.724282797874 3.22168472397 g
57072.2637922 57070.1326339 1.22 1.17 86.0 160.973469576 68.2868832021 24.4853603661 0.383936628842 0.599343543319 g
57072.3330242 57070.1326339 1.72 1.17 86.0 172.881733032 69.1259301734 24.4078733595 0.365200026907 0.554341780321 g
57073.0556025 57070.1326339 1.55 1.17 86.0 140.235936611 96.3160616604 24.6350978296 0.567668254194 1.26049556127 g
57074.0532771 57070.1326339 1.55 1.17 86.0 433.41120887 106.371472423 23.409995781 0.238297018602 0.305749036776 g
57074.3202949 57070.1326339 1.64 1.17 86.0 338.426361241 113.750003043 23.678585667 0.314609182886 0.44476702175 g
57075.0508109 57070.1326339 1.54 1.17 86.0 313.033359769 107.825404303 23.7632695719 0.321364382408 0.458491072711 g
57075.1182882 57070.1326339 1.17 1.17 86.0 306.012705564 104.349238422 23.7878974815 0.318569049664 0.45278057257 g
57075.1861573 57070.1326339 1.09 1.17 86.0 442.029870322 69.1135648216 23.3886170833 0.15772792344 0.184600612368 g
57075.2549028 57070.1326339 1.22 1.17 86.0 391.385379772 103.514941976 23.5207346318 0.254782844084 0.333518825618 g
57075.3235386 57070.1326339 1.71 1.17 86.0 320.894479406 100.601658983 23.736340514 0.296078386137 0.408404755988 g
57077.0353111 57070.0650352 1.65 1.54 86.0 1104.1525617 169.410579333 22.5546734172 0.154978492542 0.180843339107 r
57077.1030671 57070.1326339 1.2 1.17 86.0 582.028148734 81.9828825417 23.0898861556 0.143078263451 0.164836671875 g
57077.1642787 57070.1326339 1.09 1.17 86.0 681.231828658 69.1679641933 22.9190088007 0.1049944363 0.116245477365 g
57080.0425032 57070.0650352 1.5 1.54 86.0 1316.89127315 173.718512013 22.3633713289 0.134535120442 0.153595129706 r
57080.0944461 57070.1326339 1.21 1.17 86.0 936.443963851 175.769566457 22.5735416416 0.186765948609 0.22570748874 g
57080.16229 57070.1326339 1.09 1.17 86.0 758.522436692 132.368811362 22.8023250493 0.174640652541 0.208218830231 g
57089.2233062 57070.0650352 1.24 1.54 86.0 1903.93938076 185.141656772 21.963113336 0.100755425476 0.111070867268 r
57090.223319 57070.1326339 1.26 1.17 86.0 848.395357734 141.610276114 22.6807504194 0.167598456461 0.198277273392 g
57095.1119492 57070.0650352 1.1 1.54 86.0 1658.25612441 122.753422563 22.1131171032 0.0775365938191 0.0835025624709 r
57095.1619457 57070.1326339 1.12 1.17 86.0 645.77934131 69.1674782914 22.9770357589 0.110473977211 0.123001436274 g
