# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15U, field: Blind15A_35, CCD: N23, ipix: 3472, jpix: 1409, RA: 10:11:11.67, DEC: 01:29:44.89
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2385842 57070.152703 1.2 1.27 86.0 21.5804273865 84.3607340212 26.7570960247 1.72751172084 3.24290397528 g
57070.3072207 57070.152703 1.43 1.27 86.0 -142.954188457 87.5143510813 30.0 0.0 0.0 g
57070.3542029 57070.152703 1.9 1.27 86.0 87.5113205059 92.2050028693 25.2370855351 0.781308220119 4.76291446488 g
57071.0817594 57070.152703 1.72 1.27 86.0 75.321151585 83.5999490048 25.3999537498 0.810661531817 4.6000462502 g
57071.1492458 57070.152703 1.28 1.27 86.0 164.216096431 86.5333490441 24.5537068173 0.459560642326 0.812727868934 g
57071.2173995 57070.152703 1.18 1.27 86.0 122.938556517 85.5323273598 24.8680258542 0.573393245455 1.29186044862 g
57071.2875385 57070.152703 1.34 1.27 86.0 147.403036335 86.6433982032 24.6709800541 0.501988999716 0.962228127327 g
57071.3565345 57070.152703 1.98 1.27 86.0 120.047218826 79.6300067041 24.8938658704 0.55244107639 1.18196437349 g
57072.0785234 57070.152703 1.73 1.27 86.0 197.814673622 95.2427964025 24.3515998685 0.426735730456 0.713075499989 g
57072.1458764 57070.152703 1.28 1.27 86.0 253.219781487 82.3473338235 24.0835020539 0.305704412122 0.427063972882 g
57072.2156263 57070.152703 1.18 1.27 86.0 330.170482211 87.4603791656 23.7954005181 0.255135849804 0.334125973435 g
57072.2845323 57070.152703 1.34 1.27 86.0 374.278614057 83.8111925268 23.6592585965 0.219389038333 0.275243957766 g
57072.3536305 57070.152703 1.97 1.27 86.0 133.55433397 92.9296396439 24.7781011634 0.573448725395 1.29216969911 g
57073.0758386 57070.152703 1.73 1.27 86.0 102.544700158 95.3947515416 25.0649630793 0.714047858444 2.89152574706 g
57075.0709624 57070.152703 1.72 1.27 86.0 533.37534784 110.222372287 23.2746637804 0.203953894744 0.251338849928 g
57075.1383287 57070.152703 1.28 1.27 86.0 520.63813193 107.632379796 23.3009061956 0.204026758286 0.251449681658 g
57075.2065075 57070.152703 1.18 1.27 86.0 708.948196693 94.3027365725 22.9657098727 0.13559184163 0.154974559919 g
57075.2753659 57070.152703 1.33 1.27 86.0 446.060777085 134.222205933 23.4687610365 0.285614495729 0.388660512003 g
57075.3441569 57070.152703 1.95 1.27 86.0 387.285071525 116.819463898 23.6221692361 0.28622462003 0.389796771664 g
57077.0557216 57070.0851902 1.85 1.72 86.0 420.424206095 207.403656974 23.6550268462 0.435382182677 0.738165532227 r
57077.1230908 57070.152703 1.31 1.27 86.0 697.191517968 100.770807184 22.983865891 0.146575730727 0.169498447176 g
57077.1846126 57070.152703 1.18 1.27 86.0 715.333345714 98.7556571643 22.955974952 0.140408544221 0.161301662778 g
57078.1920532 57070.152703 1.18 1.27 86.0 977.06341735 103.885717095 22.6174392457 0.10970626281 0.122050292704 g
57080.0562683 57070.0851902 1.74 1.72 86.0 1005.54364179 252.432745212 22.7082438175 0.243178912424 0.313854982227 r
57080.1144756 57070.152703 1.31 1.27 86.0 1063.61453592 161.378842591 22.5252854681 0.153373693012 0.178660649454 g
57080.1826469 57070.152703 1.18 1.27 86.0 976.471324243 149.911626093 22.6180973931 0.155066435191 0.180963170286 g
57089.2419726 57070.0851902 1.36 1.72 86.0 1384.4596069 287.011329999 22.361045405 0.204546350844 0.252240570757 r
57090.2420904 57070.152703 1.37 1.27 86.0 985.095866244 201.730835418 22.6085498865 0.202272030066 0.24878578943 g
57095.1284824 57070.0851902 1.19 1.72 86.0 880.672118232 162.925753931 22.8522105107 0.18429734494 0.222108114171 r
57095.1822979 57070.152703 1.22 1.27 86.0 478.208639213 86.3291995528 23.3932025838 0.180189096447 0.216162348327 g
