# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15W, field: Blind15A_06, CCD: S23, ipix: 470, jpix: 1885, RA: 09:23:32.03, DEC: 02:13:01.74
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.1990872 57070.1139276 1.18 1.29 86.0 -18.3249060462 86.1709493195 30.0 4.67056518447 0.0 g
57070.2677195 57070.1139276 1.38 1.29 86.0 161.19894247 84.5275377371 24.3898406573 0.457724428797 0.806821920221 g
57071.0427238 57070.1139276 1.8 1.29 86.0 262.166720566 87.4742475596 23.8618022243 0.312611881406 0.440758421586 g
57071.1104904 57070.1139276 1.29 1.29 86.0 179.255843169 86.9652994032 24.2745628251 0.429423054576 0.720790290942 g
57071.1781385 57070.1139276 1.18 1.29 86.0 111.050198345 85.5542158127 24.7944477817 0.620184814507 1.59761896411 g
57071.2463396 57070.1139276 1.3 1.29 86.0 82.6375983015 85.7516355588 25.1153019111 0.772841585502 4.88469808885 g
57071.3169235 57070.1139276 1.85 1.29 86.0 92.9650102104 87.9702367345 24.9874473248 0.723009140395 3.17450931136 g
57072.0394 57070.1139276 1.8 1.29 86.0 156.932238811 102.109576601 24.4189657019 0.544144261387 1.14188012314 g
57072.1071232 57070.1139276 1.29 1.29 86.0 -16.4861524189 99.5130583266 30.0 4.88980100626 0.0 g
57072.1760503 57070.1139276 1.18 1.29 86.0 99.4374655759 84.8023398412 24.9143710115 0.669583549095 2.08038397176 g
57072.2446089 57070.1139276 1.3 1.29 86.0 164.442872147 88.3918193112 24.3682084943 0.467054024331 0.837274557028 g
57072.3139016 57070.1139276 1.85 1.29 86.0 103.701267982 86.2218284329 24.8687859615 0.656984288866 1.93314140778 g
57073.0368807 57070.1139276 1.8 1.29 86.0 123.16225193 113.228452995 24.6820520755 0.707881936697 2.73340563917 g
57074.0347289 57070.1139276 1.79 1.29 86.0 116.187028266 138.162460579 24.7453520185 0.850683063391 5.25464798146 g
57075.0320227 57070.1139276 1.79 1.29 86.0 120.019852929 112.121409794 24.7101134025 0.716248130469 2.95427898614 g
57075.0996316 57070.1139276 1.29 1.29 86.0 177.650547499 124.825904937 24.2843297524 0.577812551329 1.31682495798 g
57075.1669356 57070.1139276 1.18 1.29 86.0 84.3870340885 89.5661748351 25.0925568201 0.785391803502 4.90744317991 g
57075.2357919 57070.1139276 1.3 1.29 86.0 314.647969968 102.091236811 23.6636837928 0.305098566564 0.425875168669 g
57075.3044146 57070.1139276 1.83 1.29 86.0 227.388603889 132.498058511 24.0163243901 0.498492641351 0.948864381216 g
57077.0166695 57070.0458852 1.94 1.79 86.0 -719.402408054 288.460456535 30.0 0.0 0.0 r
57077.084393 57070.1139276 1.33 1.29 86.0 693.459072613 103.289651189 22.805694042 0.150751355129 0.17511032727 g
57077.1450648 57070.1139276 1.18 1.29 86.0 542.310041332 82.9667355454 23.0726270135 0.154561633007 0.180275635626 g
57080.0274835 57070.0458852 1.68 1.79 86.0 213.53085406 235.116997402 24.2735945353 0.806112387946 5.72640546467 r
57080.0757607 57070.1139276 1.33 1.29 86.0 169.130912881 183.000539594 24.3376886457 0.796204562826 5.66231135432 g
57080.14321 57070.1139276 1.18 1.29 86.0 -30.1404863617 138.465282401 30.0 5.17857357187 0.0 g
57089.2108199 57070.0458852 1.36 1.79 86.0 -145.440475125 228.059247643 30.0 4.69545071764 0.0 r
57090.2108316 57070.1139276 1.37 1.29 86.0 254.841984298 158.391926515 23.8925686831 0.52481243847 1.0549212146 g
57095.0750295 57070.0458852 1.21 1.79 86.0 -203.381058291 162.152688554 30.0 0.0 0.0 r
57095.1494496 57070.1139276 1.21 1.29 86.0 170.439577641 85.8532357624 24.3293200048 0.442914947917 0.76067551493 g
