# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15X, field: Blind15A_05, CCD: N2, ipix: 553, jpix: 1443, RA: 09:10:35.10, DEC: 01:35:27.82
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.1977226 57070.112565 1.19 1.27 86.0 7.43894638234 78.2253189066 27.783467557 2.65322066499 2.21653244303 g
57070.2663597 57070.112565 1.41 1.27 86.0 3.45183936254 78.3866858058 28.617119686 3.4372680435 1.38288031402 g
57071.0413614 57070.112565 1.73 1.27 86.0 135.398475073 80.4820030322 24.6332116953 0.506498995213 0.979777859333 g
57071.109123 57070.112565 1.27 1.27 86.0 67.7691508361 79.3619361103 25.3846660185 0.841680998801 4.61533398154 g
57071.1767768 57070.112565 1.18 1.27 86.0 31.5916480249 78.1966087282 26.2133154228 1.35245901796 3.78668457716 g
57071.2449405 57070.112565 1.32 1.27 86.0 29.0484828027 79.216384805 26.3044374926 1.4284102374 3.69556250737 g
57071.3155583 57070.112565 1.93 1.27 86.0 -3.8418230743 80.332535662 30.0 4.74677563896 0.0 g
57072.0380411 57070.112565 1.74 1.27 86.0 92.227778192 100.602297229 25.0500917621 0.800782561749 4.94990823794 g
57072.1057728 57070.112565 1.28 1.27 86.0 -59.2991209841 86.5848459669 30.0 3.62759261562 0.0 g
57072.1746915 57070.112565 1.18 1.27 86.0 128.900767983 80.5014422014 24.686607366 0.52681439092 1.0635404826 g
57072.2432565 57070.112565 1.32 1.27 86.0 24.2634274499 78.5648478853 26.4998657549 1.56790100622 3.50013424506 g
57072.3125484 57070.112565 1.92 1.27 86.0 12.1350401871 82.3829199129 27.2521430808 2.22868280288 2.74785691916 g
57073.035524 57070.112565 1.74 1.27 86.0 26.3637703509 108.540506516 26.4097273283 1.77254549595 3.59027267174 g
57073.1032257 57070.112565 1.28 1.27 86.0 -44.0092843662 79.352618488 30.0 3.90852266283 0.0 g
57074.0333764 57070.112565 1.73 1.27 86.0 215.143362036 123.567919714 24.1304262505 0.492754278161 0.927372314996 g
57075.0306619 57070.112565 1.73 1.27 86.0 413.355686082 105.625079839 23.4214363378 0.247068366321 0.320383059253 g
57075.0982671 57070.112565 1.27 1.27 86.0 364.100836552 116.492527606 23.5591919362 0.301390232952 0.418641156576 g
57075.1655768 57070.112565 1.18 1.27 86.0 450.599372805 81.2306743538 23.3277696709 0.179955718568 0.215826234508 g
57075.2344273 57070.112565 1.32 1.27 86.0 390.95607999 91.9782462649 23.4819261994 0.229400260037 0.291222451623 g
57075.3030519 57070.112565 1.9 1.27 86.0 433.496069019 116.720819299 23.3697832191 0.258871882133 0.340584804143 g
57077.015313 57070.0445174 1.86 1.73 86.0 484.56325677 231.904723487 23.3898699292 0.42461576623 0.707041272261 r
57077.08304 57070.112565 1.31 1.27 86.0 678.455030802 102.080479492 22.8834434602 0.152178997093 0.177040675004 g
57077.1436587 57070.112565 1.18 1.27 86.0 677.401513132 83.5629182235 22.8851307221 0.126295488121 0.14294435613 g
57080.0261138 57070.0445174 1.63 1.73 86.0 539.075557485 247.590866758 23.2741220264 0.410352434302 0.667584727221 r
57080.0744115 57070.112565 1.31 1.27 86.0 1000.28014781 188.466840169 22.4619420041 0.18741944983 0.226663708504 g
57080.1417945 57070.112565 1.18 1.27 86.0 881.220186718 146.407472411 22.5995350349 0.16687836934 0.197269437681 g
57089.209281 57070.0445174 1.38 1.73 86.0 638.798887589 216.198524935 23.0898357502 0.31650162311 0.448585714441 r
57090.2092909 57070.112565 1.4 1.27 86.0 564.510138968 167.272766588 23.0830667618 0.281776284029 0.381554115141 g
57095.0736657 57070.0445174 1.2 1.73 86.0 679.561513982 141.694572745 23.02267419 0.205624565288 0.253884807619 r
57095.1480324 57070.112565 1.22 1.27 86.0 373.221550428 80.6706493142 23.5323293464 0.212465016657 0.264413181294 g
