# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15Y, field: Blind15A_13, CCD: N6, ipix: 617, jpix: 773, RA: 09:34:03.87, DEC: -02:21:34.47
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2086049 57070.1232814 1.14 1.22 86.0 8.61416263084 81.5932517763 27.6342134612 2.55007292042 2.36578653878 g
57070.2772391 57070.1232814 1.34 1.22 86.0 39.5995621147 81.6500474523 25.9780201691 1.21497491305 4.02197983088 g
57071.0520832 57070.1232814 1.66 1.22 86.0 135.577485757 84.1401676545 24.6417771886 0.524193440779 1.05227314756 g
57071.1198347 57070.1232814 1.23 1.22 86.0 177.525104619 82.9485900921 24.349096685 0.416260232767 0.683691181361 g
57071.1874999 57070.1232814 1.13 1.22 86.0 154.497387881 80.9656860796 24.4999432753 0.457504170746 0.806116309533 g
57071.256071 57070.1232814 1.25 1.22 86.0 59.3011892827 82.4734043826 25.5395876201 0.946337520092 4.46041237991 g
57071.3264044 57070.1232814 1.78 1.22 86.0 166.904954458 82.4627380118 24.4160730566 0.435927394868 0.739774011049 g
57072.04876 57070.1232814 1.66 1.22 86.0 178.968471354 96.5366409622 24.3403048066 0.468382833707 0.841703962986 g
57072.1164617 57070.1232814 1.23 1.22 86.0 237.93976228 87.2499573717 24.0310785697 0.339174460658 0.495957881848 g
57072.1855699 57070.1232814 1.13 1.22 86.0 302.193717108 88.7578880205 23.7715325513 0.279593924613 0.377545263165 g
57072.2543334 57070.1232814 1.26 1.22 86.0 342.943581561 83.3437640438 23.6341894303 0.236199404044 0.302295740718 g
57072.3233977 57070.1232814 1.78 1.22 86.0 222.899205538 83.0746928879 24.1019748267 0.343939648353 0.506313015664 g
57073.0461951 57070.1232814 1.66 1.22 86.0 283.570827396 114.513543311 23.8405922522 0.368283941496 0.561569156612 g
57074.0439752 57070.1232814 1.66 1.22 86.0 243.412122567 120.077199905 24.0063906195 0.435373636253 0.738140344049 g
57075.0413786 57070.1232814 1.65 1.22 86.0 350.675013826 104.747106285 23.6099840711 0.283773244841 0.38524252036 g
57075.1089609 57070.1232814 1.23 1.22 86.0 590.923404823 98.918262488 23.0434181493 0.168045578127 0.198903873909 g
57075.1765496 57070.1232814 1.13 1.22 86.0 631.493906839 84.5584365257 22.9713232169 0.136439014671 0.156082687437 g
57075.2452892 57070.1232814 1.25 1.22 86.0 724.37030654 99.3284695202 22.8223445297 0.139519453247 0.160128879135 g
57077.0259765 57070.0554793 1.77 1.65 86.0 820.59894546 197.072033487 22.8359187418 0.233691088343 0.298189379431 r
57077.0937226 57070.1232814 1.26 1.22 86.0 749.403752491 107.163592414 22.7854564696 0.145114125676 0.167546010881 g
57077.1546506 57070.1232814 1.13 1.22 86.0 734.474416625 84.8364319422 22.8073044457 0.118680081201 0.133263156352 g
57080.0369742 57070.0554793 1.56 1.65 86.0 1485.98860254 177.76974464 22.1912074321 0.122686922377 0.138337683121 r
57080.0850948 57070.1232814 1.26 1.22 86.0 462.811622603 186.066356083 23.3087354859 0.366896946652 0.558310138682 g
57080.152777 57070.1232814 1.13 1.22 86.0 853.424647927 151.443389459 22.644333174 0.177359627138 0.212099160455 g
57089.216969 57070.0554793 1.29 1.65 86.0 1388.92522567 204.635747111 22.264548964 0.149224548619 0.173052486737 r
57090.216975 57070.1232814 1.31 1.22 86.0 671.212117215 160.079607244 22.9050966579 0.232234172526 0.295815708702 g
57095.0845838 57070.0554793 1.16 1.65 86.0 957.551911307 137.769847045 22.6683403094 0.145948468626 0.168659787947 r
57095.1550035 57070.1232814 1.16 1.22 86.0 169.887582604 82.8480131098 24.3968420365 0.431261940898 0.726112255867 g
