# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15Z, field: Blind15A_08, CCD: S29, ipix: 480, jpix: 362, RA: 09:21:03.45, DEC: -01:20:41.04
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2017476 57070.1166003 1.14 1.23 86.0 -86.8483960321 90.353662061 30.0 1.39155633173 0.0 g
57070.2703926 57070.1166003 1.33 1.23 86.0 73.8087689727 97.0574221934 25.2999762232 0.911370441445 4.70002377679 g
57071.0453916 57070.1166003 1.66 1.23 86.0 19.5784471242 93.9869461224 26.7408005218 1.90866941643 3.25919947818 g
57071.1131551 57070.1166003 1.23 1.23 86.0 199.550268104 91.4739896293 24.2201153391 0.409692186531 0.665804834863 g
57071.1807974 57070.1166003 1.13 1.23 86.0 117.692991827 90.7967827173 24.7933696206 0.620835391716 1.60264882602 g
57071.249132 57070.1166003 1.25 1.23 86.0 134.156079273 90.9240516978 24.6512202344 0.561817004287 1.22951188281 g
57071.3196084 57070.1166003 1.78 1.23 86.0 25.4490761924 90.9937369838 26.4560660732 1.65110166794 3.5439339268 g
57072.0420519 57070.1166003 1.67 1.23 86.0 135.555150039 108.729015251 24.639956073 0.639448236273 1.75889479917 g
57072.1097672 57070.1166003 1.23 1.23 86.0 225.675502094 95.0786333909 24.0865350847 0.381719617679 0.593879133267 g
57072.1787153 57070.1166003 1.13 1.23 86.0 129.07376246 102.132870576 24.6931512036 0.632905798795 1.7010650019 g
57072.2473794 57070.1166003 1.26 1.23 86.0 81.4419735929 95.9348776771 25.1931254045 0.845121629403 4.80687459546 g
57072.3165942 57070.1166003 1.77 1.23 86.0 151.094273023 96.440252429 24.5221261195 0.535969445709 1.10406471835 g
57073.0395235 57070.1166003 1.66 1.23 86.0 277.709039799 113.804873872 23.861271086 0.372892959591 0.572500061842 g
57074.0373691 57070.1166003 1.66 1.23 86.0 237.529857781 140.04910874 24.0309506063 0.50322396175 0.966998377694 g
57075.0346941 57070.1166003 1.66 1.23 86.0 255.380387731 116.854167734 23.9522772731 0.40907286328 0.664138895828 g
57075.1022938 57070.1166003 1.23 1.23 86.0 332.95974873 114.260187775 23.6642667903 0.320323551223 0.456359559858 g
57075.1697195 57070.1166003 1.13 1.23 86.0 446.589411816 104.851559 23.3454750727 0.22897651973 0.2905383395 g
57075.2384667 57070.1166003 1.25 1.23 86.0 390.276869155 113.089488483 23.4918140972 0.276278434623 0.371498394558 g
57075.3070866 57070.1166003 1.76 1.23 86.0 273.451099945 126.856056536 23.8780469415 0.413784199047 0.676900970547 g
57077.0193357 57070.0485386 1.78 1.66 86.0 608.7670071 230.983630181 23.14911836 0.349248087092 0.518020657288 r
57077.087046 57070.1166003 1.26 1.23 86.0 675.02984328 112.748068283 22.8969386942 0.167702064871 0.198422416044 g
57077.1478394 57070.1166003 1.13 1.23 86.0 610.439568027 97.7502241673 23.0061394372 0.161267465546 0.189470963848 g
57080.0301395 57070.0485386 1.57 1.66 86.0 1427.5509834 225.598740399 22.2237670593 0.159301403363 0.186761038231 r
57080.0784214 57070.1166003 1.26 1.23 86.0 495.828389845 193.994892343 23.2319176538 0.358516146027 0.538909883928 g
57080.1459937 57070.1166003 1.13 1.23 86.0 854.053935799 160.339659216 22.6415328821 0.186802999872 0.225761665202 g
57089.2138567 57070.0485386 1.31 1.66 86.0 1888.93989754 243.454039133 21.9197007788 0.131623248113 0.149809963693 r
57090.2138618 57070.1166003 1.32 1.23 86.0 894.833528715 173.055330501 22.5908905071 0.191959518348 0.233346221587 g
57095.0778059 57070.0485386 1.16 1.66 86.0 1719.30281159 174.406623584 22.0218651947 0.104902424037 0.116132679543 r
57095.1522232 57070.1166003 1.17 1.23 86.0 684.654372855 93.9611036726 22.8815676623 0.139629114032 0.160273410306 g
