# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15aa, field: Blind15A_21, CCD: S5, ipix: 3584, jpix: 276, RA: 09:52:11.14, DEC: -06:09:40.69
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2194511 57070.133993 1.1 1.19 86.0 -23.7044067306 84.4922294007 30.0 4.41129534158 0.0 g
57070.288208 57070.133993 1.27 1.19 86.0 35.7247120795 85.7525397965 26.1658242848 1.328815553 3.83417571518 g
57070.3351981 57070.133993 1.61 1.19 86.0 63.3676447531 83.2195501119 25.5435772142 0.910571171392 4.45642278584 g
57071.0628637 57070.133993 1.59 1.19 86.0 186.849921409 80.4957047365 24.3695138293 0.388950409475 0.611845515682 g
57071.1305487 57070.133993 1.19 1.19 86.0 204.714277185 84.3227476872 24.2703757974 0.374513364991 0.576380500912 g
57071.1982768 57070.133993 1.09 1.19 86.0 124.544530431 85.1921041465 24.8099344792 0.565874088733 1.25088286375 g
57071.2684139 57070.133993 1.21 1.19 86.0 299.987351238 84.8916140576 23.8554887697 0.270553082421 0.36117784964 g
57071.3374218 57070.133993 1.66 1.19 86.0 149.780348676 85.7513233322 24.609609035 0.491486194592 0.922694865632 g
57072.059526 57070.133993 1.6 1.19 86.0 121.520900893 98.7536035479 24.8366186769 0.645783130918 1.81834875238 g
57072.1271633 57070.133993 1.19 1.19 86.0 398.815295589 85.7369999048 23.5463166124 0.211422122626 0.26279711324 g
57072.1965412 57070.133993 1.09 1.19 86.0 449.330850549 83.3295779916 23.4168305336 0.184710490915 0.222709105953 g
57072.2652032 57070.133993 1.2 1.19 86.0 349.63052795 81.8513629391 23.6892227631 0.22838306822 0.289581407456 g
57072.3344124 57070.133993 1.66 1.19 86.0 373.507405882 80.5600371447 23.6174980846 0.212052865947 0.263774039718 g
57073.0569635 57070.133993 1.6 1.19 86.0 260.371616404 102.649467345 24.00926203 0.360845524376 0.544252383145 g
57074.0546189 57070.133993 1.59 1.19 86.0 273.025754511 137.021044727 23.9577370882 0.44157452563 0.756624169749 g
57075.0522554 57070.133993 1.59 1.19 86.0 550.284163748 143.75361123 23.1967785913 0.251990235207 0.328734561185 g
57075.1196368 57070.133993 1.19 1.19 86.0 510.59453085 122.999451706 23.2780557316 0.234337213373 0.299244759876 g
57075.1875338 57070.133993 1.09 1.19 86.0 761.899632592 85.072692443 22.8435017177 0.114928639429 0.128550318215 g
57075.2562616 57070.133993 1.2 1.19 86.0 448.286581304 136.067753336 23.4193567801 0.287801326789 0.392741625223 g
57075.3248966 57070.133993 1.65 1.19 86.0 558.385611308 120.922042217 23.1809105814 0.212830722424 0.264980817063 g
57077.0367313 57070.0663926 1.7 1.59 86.0 1045.6932399 176.616057282 22.618735377 0.169442036705 0.200864881627 r
57077.1044268 57070.133993 1.22 1.19 86.0 792.010562079 96.3789280074 22.8014186949 0.124681096973 0.140879124559 g
57077.1656386 57070.133993 1.1 1.19 86.0 778.759587231 83.4959641927 22.8197376125 0.110581482231 0.123134747608 g
57080.043858 57070.0663926 1.54 1.59 86.0 996.148025734 181.535666412 22.6714364317 0.181761956701 0.218432209097 r
57080.0958033 57070.133993 1.22 1.19 86.0 556.364440692 160.039158323 23.184847716 0.274495985293 0.368268967811 g
57080.1636996 57070.133993 1.09 1.19 86.0 612.850545443 143.804489363 23.0798596857 0.228858373171 0.290347720904 g
57089.2248515 57070.0663926 1.23 1.59 86.0 1134.44092319 185.448877687 22.5302914166 0.164389470883 0.193798281134 r
57090.224921 57070.133993 1.24 1.19 86.0 452.13993084 156.046185333 23.4100639693 0.321909095484 0.459609074534 g
57095.1633081 57070.133993 1.11 1.19 86.0 320.518066133 86.8519678401 23.7836148438 0.260341413813 0.343142017176 g
