# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15ab, field: Blind15A_19, CCD: S2, ipix: 931, jpix: 699, RA: 09:33:47.68, DEC: -04:11:23.40
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2167215 57070.1312927 1.13 1.19 86.0 -52.2752333638 80.7859442978 30.0 3.51927398908 0.0 g
57070.2854458 57070.1312927 1.33 1.19 86.0 18.17058428 83.9075958154 26.9698238971 1.87391006556 3.03017610286 g
57070.3324582 57070.1312927 1.73 1.19 86.0 57.142193909 84.0415787307 25.7258538516 0.982069680255 4.2741461484 g
57071.0601069 57070.1312927 1.57 1.19 86.0 58.9957081074 83.1711559672 25.6911950826 0.954944914076 4.30880491739 g
57071.1955317 57070.1312927 1.11 1.19 86.0 51.624576108 82.0100559729 25.8361048814 1.0326563091 4.16389511855 g
57071.2656643 57070.1312927 1.25 1.19 86.0 24.4132450107 82.7129426952 26.6491823538 1.60567535064 3.35081764618 g
57071.3346489 57070.1312927 1.8 1.19 86.0 88.352348121 85.5297379506 25.2527008877 0.73509186414 3.73891798523 g
57072.0568412 57070.1312927 1.57 1.19 86.0 110.253845897 99.8044643283 25.0122617592 0.699865300023 2.55825789854 g
57072.1244666 57070.1312927 1.19 1.19 86.0 21.5719023929 80.8443390855 26.7835250117 1.69120096821 3.21647498828 g
57072.1937921 57070.1312927 1.11 1.19 86.0 91.1831987339 83.4255502489 25.2184590698 0.70537794363 2.67546181595 g
57072.2624662 57070.1312927 1.25 1.19 86.0 168.081918431 82.5649520084 24.5544436373 0.433853225229 0.733671774366 g
57072.3316361 57070.1312927 1.79 1.19 86.0 65.2521815304 82.3556164799 25.5817585388 0.88628566458 4.41824146118 g
57073.0542127 57070.1312927 1.57 1.19 86.0 99.0226749982 102.64134148 25.1289094927 0.772234396153 4.87109050735 g
57074.0519003 57070.1312927 1.57 1.19 86.0 181.358757287 117.78078756 24.4718998 0.543338243206 1.13807969005 g
57074.3189177 57070.1312927 1.7 1.19 86.0 -41.3922461992 133.197633044 30.0 4.78892428428 0.0 g
57075.0494839 57070.1312927 1.56 1.19 86.0 363.903261283 110.052995454 23.7157812588 0.286880782675 0.391020812999 g
57075.1169513 57070.1312927 1.19 1.19 86.0 289.565313315 109.128385517 23.9638797856 0.347232087185 0.513552782572 g
57075.1847679 57070.1312927 1.11 1.19 86.0 445.514171938 84.8125454323 23.496092319 0.189204958489 0.229283557374 g
57075.2535318 57070.1312927 1.25 1.19 86.0 156.622652716 121.605140961 24.6311096898 0.623864841278 1.62642323057 g
57075.3221541 57070.1312927 1.78 1.19 86.0 238.803502705 121.529217645 24.1731443966 0.44665751953 0.772094746454 g
57077.033985 57070.063707 1.67 1.56 86.0 783.051498677 185.636727593 22.9957703154 0.230984240325 0.293785921893 r
57077.1017369 57070.1312927 1.22 1.19 86.0 633.010488037 98.8882020872 23.1147188639 0.157600160543 0.184425516621 g
57077.1628915 57070.1312927 1.11 1.19 86.0 735.05708565 84.7065276524 22.9524434572 0.118418922738 0.1329338779 g
57080.0411663 57070.063707 1.51 1.56 86.0 1326.56320563 177.964965648 22.4234262599 0.136680941882 0.156399502008 r
57080.093114 57070.1312927 1.22 1.19 86.0 605.821167429 195.657456145 23.1623850193 0.303868750339 0.423468023653 g
57080.1609666 57070.1312927 1.11 1.19 86.0 794.506205419 143.44977853 22.8680028942 0.180212912181 0.216196657967 g
57089.2217937 57070.063707 1.28 1.56 86.0 1843.87577162 204.353679008 22.0659169837 0.114117371564 0.127535961459 r
57090.2217978 57070.1312927 1.29 1.19 86.0 1321.55315915 162.416825335 22.3155345351 0.12585119892 0.142375294867 g
57095.1105714 57070.063707 1.11 1.56 86.0 1965.54311138 168.29218893 21.9965396934 0.0891958038795 0.0971846467541 r
57095.1605637 57070.1312927 1.14 1.19 86.0 1133.53429042 85.9217040499 22.482159472 0.0793286761016 0.0855848872774 g
