# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15ac, field: Blind15A_30, CCD: S21, ipix: 2818, jpix: 1701, RA: 09:59:19.21, DEC: -05:34:00.01
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2316366 57070.1460093 1.11 1.17 86.0 93.8627622568 74.8415132379 25.1510128012 0.636581895837 1.73313574888 g
57070.3002428 57070.1460093 1.3 1.17 86.0 25.7915463779 74.878123801 26.5535526736 1.47855315983 3.44644732643 g
57070.347505 57070.1460093 1.67 1.17 86.0 11.4006572111 74.4051302239 27.4399214088 2.19146673357 2.56007859123 g
57071.0749578 57070.1460093 1.55 1.17 86.0 -3.29091852094 76.2554980094 30.0 4.57553408158 0.0 g
57071.1425671 57070.1460093 1.18 1.17 86.0 21.2462292215 75.8150057851 26.7640414714 1.64940987572 3.23595852861 g
57071.2104398 57070.1460093 1.1 1.17 86.0 82.1371532349 75.4890819587 25.2958970113 0.707722140287 2.72960994922 g
57071.2807121 57070.1460093 1.23 1.17 86.0 140.059211476 74.4666503238 24.7164669357 0.462919945844 0.823642720267 g
57071.3497058 57070.1460093 1.74 1.17 86.0 109.378191887 77.4804192491 24.9849192785 0.581455941743 1.33792595428 g
57072.0718093 57070.1460093 1.55 1.17 86.0 143.881685473 78.6257133456 24.6872323365 0.473347350228 0.858463132083 g
57072.1391773 57070.1460093 1.18 1.17 86.0 164.883125308 75.1326186444 24.5393056012 0.40765879911 0.660348254522 g
57072.2089537 57070.1460093 1.1 1.17 86.0 169.84135014 76.2070361319 24.5071375442 0.402442718659 0.646521001226 g
57072.277707 57070.1460093 1.23 1.17 86.0 203.274328184 75.7790234325 24.3120397921 0.344011771605 0.506470857586 g
57072.3466608 57070.1460093 1.73 1.17 86.0 119.636751113 80.9336112049 24.8875846014 0.561005370815 1.22529602705 g
57073.069138 57070.1460093 1.55 1.17 86.0 -12.1731143125 86.9570529103 30.0 4.60227470721 0.0 g
57074.0664935 57070.1460093 1.55 1.17 86.0 187.715404372 124.946672075 24.3984963448 0.553938236176 1.18939138943 g
57075.0642861 57070.1460093 1.54 1.17 86.0 423.003315028 119.469342621 23.5163867008 0.270085205856 0.36034116317 g
57075.1316457 57070.1460093 1.18 1.17 86.0 382.307674802 92.245253787 23.6262135868 0.234679103362 0.299803872593 g
57075.1998146 57070.1460093 1.1 1.17 86.0 427.93678969 81.3314459506 23.5037970672 0.188917411542 0.228860925613 g
57075.2686767 57070.1460093 1.22 1.17 86.0 485.448549517 109.280774529 23.3668881086 0.220440361997 0.276904048769 g
57075.3371877 57070.1460093 1.72 1.17 86.0 442.083551821 98.4092314264 23.468485236 0.218213856814 0.273393185727 g
57077.0488466 57070.0784897 1.65 1.54 86.0 865.316270468 177.148897821 22.8193089536 0.202216707717 0.248701979416 r
57077.1164402 57070.1460093 1.21 1.17 86.0 660.632499646 88.9392095088 23.0323462909 0.137133129663 0.156992099699 g
57077.1779301 57070.1460093 1.1 1.17 86.0 766.005208235 78.5676522881 22.8716668218 0.106013498009 0.117496169422 g
57078.1865287 57070.1460093 1.09 1.17 86.0 912.734387485 94.4341567461 22.6813850956 0.106894351229 0.118579348376 g
57080.0508591 57070.0784897 1.54 1.54 86.0 1582.62449515 215.720572331 22.16380142 0.138737862023 0.15909973346 r
57080.1078064 57070.1460093 1.21 1.17 86.0 1027.21270329 154.838375867 22.5530951742 0.152439655614 0.177393762668 g
57080.1759645 57070.1460093 1.09 1.17 86.0 671.462668401 170.081731496 23.0146914481 0.245137905705 0.317135136179 g
57089.2357025 57070.0784897 1.24 1.54 86.0 2492.30721088 233.088671702 21.6707421931 0.0970700536493 0.106608326991 r
57090.2358175 57070.1460093 1.26 1.17 86.0 1057.86734324 168.523852778 22.5211681018 0.160494534128 0.188404199765 g
57095.1230619 57070.0784897 1.1 1.54 86.0 2120.02837167 124.355488933 21.8463919456 0.0618886600778 0.0656307920901 r
57095.1756032 57070.1460093 1.12 1.17 86.0 966.622137376 89.6671958422 22.6191042855 0.0963153927902 0.105698643516 g
