# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15ad, field: Blind15A_31, CCD: S2, ipix: 3559, jpix: 1448, RA: 10:07:31.37, DEC: -06:02:27.58
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2330268 57070.1473607 1.1 1.19 86.0 933.565137926 312.032227696 22.6928845643 0.313082638863 0.441701239952 g
57070.3016566 57070.1473607 1.28 1.19 86.0 2409.56529912 310.213128602 21.6633993777 0.131487061583 0.149633504248 g
57070.3488716 57070.1473607 1.62 1.19 86.0 1638.91776838 301.454561577 22.0818532189 0.183319773017 0.220688300316 g
57071.0763185 57070.1473607 1.6 1.19 86.0 4491.97398829 315.714100828 20.9871530463 0.0737476280883 0.0791242896679 g
57071.143925 57070.1473607 1.19 1.19 86.0 6821.92228843 311.490332138 20.5334792085 0.0484764448585 0.0507424090467 g
57071.211847 57070.1473607 1.09 1.19 86.0 8080.59888562 321.890191171 20.3496372549 0.0424110182142 0.0441352573936 g
57071.2820768 57070.1473607 1.21 1.19 86.0 8384.05770832 311.857107802 20.3096104808 0.0396525446813 0.0411557825535 g
57071.3510662 57070.1473607 1.67 1.19 86.0 9091.01914756 313.378780022 20.2217146969 0.0367960615797 0.0380869731781 g
57072.0731738 57070.1473607 1.6 1.19 86.0 10876.1200116 311.882232863 20.0270611503 0.0306963842455 0.0315895585695 g
57072.1405362 57070.1473607 1.19 1.19 86.0 12190.3937362 316.498221532 19.9032017954 0.0278291627069 0.0285612751968 g
57072.2103164 57070.1473607 1.09 1.19 86.0 15008.1346031 312.977654692 19.6774293379 0.0224089464089 0.0228812181962 g
57072.2790676 57070.1473607 1.21 1.19 86.0 15789.0823011 316.867890497 19.6223539068 0.0215736579143 0.0220110334428 g
57072.3480749 57070.1473607 1.67 1.19 86.0 16623.7416363 310.547815228 19.5664241768 0.0200954955193 0.0204744608723 g
57073.0704955 57070.1473607 1.6 1.19 86.0 8816.42895968 272.510269617 20.255014347 0.0330512180067 0.034089014466 g
57074.0678347 57070.1473607 1.6 1.19 86.0 15712.2401646 375.696164117 19.6276508562 0.0256555750383 0.0262765095594 g
57074.335195 57070.1473607 1.59 1.19 86.0 20220.1663066 392.931794448 19.35378432 0.0208963672316 0.021306449726 g
57075.0656509 57070.1473607 1.59 1.19 86.0 20099.9584743 344.127282379 19.3602582276 0.0184313345819 0.0187496340168 g
57075.1329992 57070.1473607 1.19 1.19 86.0 24325.2728854 335.632878825 19.1531018257 0.0148782567061 0.0150849751452 g
57075.2011736 57070.1473607 1.09 1.19 86.0 29670.0846098 324.812553463 18.9374491661 0.0118214812948 0.0119516115817 g
57075.2700366 57070.1473607 1.21 1.19 86.0 32800.8715814 358.68099526 18.8285326684 0.0118081951731 0.0119380315092 g
57075.3385839 57070.1473607 1.66 1.19 86.0 20513.880967 353.089983883 19.3381265502 0.0185289507334 0.0188506601655 g
#57077.0502806 57070.0798618 1.7 1.59 86.0 29636.868517 522.497256688 19.0476653446 0.0189747275519 0.019312244219 r
57077.1178 57070.1473607 1.22 1.19 86.0 29246.2831085 329.697213885 18.9530694288 0.0121711722563 0.0123091601902 g
57077.1792837 57070.1473607 1.1 1.19 86.0 32274.6240969 327.257239573 18.8460931463 0.0109536740494 0.011065309669 g
57078.1878806 57070.1473607 1.09 1.19 86.0 31706.1416812 338.022559011 18.8653876382 0.0115138826219 0.0116372935393 g
#57080.0522117 57070.0798618 1.59 1.59 86.0 33060.3515712 581.20558886 18.928977459 0.0189215551209 0.0192571660297 r
57080.1091673 57070.1473607 1.23 1.19 86.0 25491.2379869 372.411473683 19.1022688092 0.0157471947899 0.0159789528895 g
57080.1773206 57070.1473607 1.1 1.19 86.0 26699.4475123 371.451695683 19.0519904414 0.0150010180151 0.015211185968 g
#57089.2373086 57070.0798618 1.22 1.59 86.0 1648.03638201 591.476545447 22.1848291408 0.332966946966 0.482681743221 r
57090.2374246 57070.1473607 1.24 1.19 86.0 -6817.44841534 326.226615792 30.0 0.0 0.0 g
#57095.1244151 57070.0798618 1.1 1.59 86.0 -3891.07565241 493.537655497 30.0 0.0 0.0 r
57095.1769603 57070.1473607 1.12 1.19 86.0 -21521.4840179 298.526945106 30.0 0.0 0.0 g
