# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15ae, field: Blind15A_42, CCD: S17, ipix: 533, jpix: 1135, RA: 10:22:03.18, DEC: -04:32:36.15
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.248004 57070.1620737 1.12 1.18 86.0 91.310460017 70.9535074585 25.0589448013 0.624253899648 1.62951941553 g
57070.3169342 57070.1620737 1.33 1.18 86.0 67.1893188071 77.9072337918 25.391995533 0.835892139864 4.60800446703 g
57070.3637945 57070.1620737 1.72 1.18 86.0 76.2398644069 72.4280901659 25.25479084 0.725088127634 3.25263736088 g
57071.0911249 57070.1620737 1.56 1.18 86.0 253.513082906 128.92828963 23.9502451865 0.446411228794 0.77133835182 g
57071.15862 57070.1620737 1.18 1.18 86.0 141.197481916 69.8740980123 24.5856787489 0.436507023228 0.741487529473 g
57071.2268221 57070.1620737 1.11 1.18 86.0 136.546370726 70.5274343006 24.6220457244 0.452112505845 0.789029094967 g
57071.2971454 57070.1620737 1.25 1.18 86.0 114.424375265 69.4660859481 24.8139497533 0.515101630271 1.01427193042 g
57071.3659415 57070.1620737 1.78 1.18 86.0 144.07841968 68.5214975791 24.5637487874 0.422410387188 0.70081169543 g
57072.0879301 57070.1620737 1.56 1.18 86.0 134.264914507 81.640593184 24.640339779 0.515752953905 1.01694007926 g
57072.1565374 57070.1620737 1.18 1.18 86.0 96.5805703794 70.9192789612 24.9980217134 0.597811637105 1.43902814302 g
57072.2250374 57070.1620737 1.11 1.18 86.0 73.5611705851 76.1720848846 25.2936245491 0.77167408861 4.70637545086 g
57072.2940204 57070.1620737 1.24 1.18 86.0 167.659983086 68.6927833916 24.3991725831 0.372828180045 0.572345340149 g
57072.3629709 57070.1620737 1.78 1.18 86.0 92.5351683377 78.2491488104 25.0444790797 0.665352920637 2.02848894985 g
57073.0853395 57070.1620737 1.56 1.18 86.0 39.2578887273 80.9275152145 25.9754287788 1.21481196936 4.02457122119 g
57075.0803828 57070.1620737 1.55 1.18 86.0 178.110481469 93.0860499954 24.333522434 0.456486632698 0.802864352458 g
57075.1476942 57070.1620737 1.18 1.18 86.0 250.135145204 102.984221649 23.9648093368 0.374367051548 0.576029310802 g
57075.2161411 57070.1620737 1.11 1.18 86.0 201.168302703 82.3784892724 24.2013472489 0.372662965937 0.571950878669 g
57075.2850483 57070.1620737 1.24 1.18 86.0 84.4020843569 101.009684627 25.1443631983 0.85446031389 4.85563680165 g
57075.3535566 57070.1620737 1.76 1.18 86.0 87.5650745278 110.901213493 25.104418824 0.888389563439 4.895581176 g
57077.0651405 57070.0946356 1.65 1.55 86.0 -105.862255017 181.796040538 30.0 4.55984150005 0.0 r
57077.1324391 57070.1620737 1.21 1.18 86.0 420.869154893 79.7435017251 23.3998783834 0.188386818696 0.228081794092 g
57077.194101 57070.1620737 1.11 1.18 86.0 411.636274892 76.5972511668 23.4239620296 0.185284897201 0.223545612222 g
57078.1975484 57070.1620737 1.1 1.18 86.0 328.455115245 78.1713493447 23.6690560536 0.231799026827 0.295108372076 g
57080.1238318 57070.1620737 1.22 1.18 86.0 340.836562406 169.244506952 23.6288806869 0.437732573469 0.745122499761 g
57080.1923068 57070.1620737 1.1 1.18 86.0 308.742233041 102.084949998 23.7362560257 0.310157826775 0.435863314016 g
57089.2496967 57070.0946356 1.25 1.55 86.0 74.9082580805 246.51453651 25.4549218829 1.58136743658 4.54507811711 r
57090.2498126 57070.1620737 1.26 1.18 86.0 -63.073170085 199.617488949 30.0 5.3779379603 0.0 g
57095.135236 57070.0946356 1.11 1.55 86.0 57.7933589708 113.290323253 25.7365512867 1.17832663107 4.26344871327 r
57095.1920375 57070.1620737 1.14 1.18 86.0 75.1305009936 74.4391560359 25.270705416 0.747568032345 5.09030371294 g
