# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15af, field: Blind15A_38, CCD: N21, ipix: 3491, jpix: 1526, RA: 10:16:27.76, DEC: -2:42:16.08
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2426175 57070.1567111 1.15 1.22 86.0 -54.5134637844 79.0981599792 30.0 3.39441598656 0.0 g
57070.3113891 57070.1567111 1.35 1.22 86.0 -59.8652041975 83.3274015412 30.0 3.34367558034 0.0 g
57070.3583787 57070.1567111 1.76 1.22 86.0 -59.2298147811 82.1962590799 30.0 3.32048827749 0.0 g
57071.085781 57070.1567111 1.64 1.22 86.0 84.5747979569 82.1204632654 25.2641437057 0.736705712521 3.84326795717 g
57071.1532507 57070.1567111 1.22 1.22 86.0 106.955537699 80.5723581441 25.0092379396 0.609656513133 1.51969035565 g
57071.2214237 57070.1567111 1.13 1.22 86.0 65.5623875885 80.9499438667 25.5406092258 0.873048546101 4.45939077416 g
57071.2915803 57070.1567111 1.27 1.22 86.0 45.9444509746 81.4305987733 25.9266634627 1.10712825114 4.07333653733 g
57071.3605515 57070.1567111 1.82 1.22 86.0 -28.2329145588 81.2860816216 30.0 4.22953215855 0.0 g
57072.0825445 57070.1567111 1.64 1.22 86.0 331.966969833 90.4380925354 23.7795089424 0.26158560037 0.345314529096 g
57072.1498808 57070.1567111 1.22 1.22 86.0 289.06467928 83.1545113022 23.9297585566 0.274509329433 0.368293089296 g
57072.2196423 57070.1567111 1.13 1.22 86.0 233.10443257 79.1529122804 24.1633697984 0.317405326683 0.450416374762 g
57072.2885502 57070.1567111 1.27 1.22 86.0 300.126172648 81.3246277047 23.8889864533 0.26033665131 0.343133714349 g
57072.3576403 57070.1567111 1.82 1.22 86.0 228.952602023 83.1260021736 24.1828821691 0.336296028193 0.489772084684 g
57073.0798614 57070.1567111 1.64 1.22 86.0 179.433641646 103.785986063 24.4474864498 0.495548690616 0.937770995241 g
57075.075046 57070.1567111 1.63 1.22 86.0 393.686206385 108.170295827 23.5943706315 0.263573391832 0.348799710125 g
57075.1423407 57070.1567111 1.22 1.22 86.0 544.040821964 111.463527544 23.2431674079 0.202360224099 0.24891942027 g
57075.2106837 57070.1567111 1.13 1.22 86.0 754.152683731 87.3880640444 22.8885979259 0.119039671709 0.133716834818 g
57075.2795639 57070.1567111 1.27 1.22 86.0 595.360690552 105.37064756 23.1452957371 0.176928460095 0.211482253801 g
57075.3481681 57070.1567111 1.8 1.22 86.0 359.680016288 140.147574546 23.6924553551 0.357259791482 0.536044003422 g
57077.0597283 57070.0893006 1.75 1.63 86.0 844.95794461 187.181703745 22.8761583938 0.217258418856 0.271892277914 r
57077.1271138 57070.1567111 1.26 1.22 86.0 737.407563878 101.519282782 22.9129771581 0.140041261348 0.160816916646 g
57077.1886985 57070.1567111 1.13 1.22 86.0 806.337576873 89.0063927267 22.81595388 0.113682534085 0.12699297033 g
57078.1934401 57070.1567111 1.13 1.22 86.0 796.92694817 97.3594568994 22.8286998461 0.125145289688 0.141472232676 g
57080.057667 57070.0893006 1.67 1.63 86.0 1392.92106154 250.577746464 22.3334298652 0.179607220714 0.215324651437 r
57080.1184953 57070.1567111 1.26 1.22 86.0 996.287068387 162.833866639 22.5862848949 0.164360641125 0.193758185018 g
57080.1868442 57070.1567111 1.13 1.22 86.0 890.485857115 139.980269491 22.7081785624 0.158516734904 0.185682740799 g
57089.24355 57070.0893006 1.28 1.63 86.0 1833.03527275 267.598686067 22.0353190729 0.147948899787 0.171338355876 r
57090.2436755 57070.1567111 1.29 1.22 86.0 308.037988764 158.688859778 23.8607354303 0.451146263319 0.786003962568 g
57095.1298707 57070.0893006 1.14 1.63 86.0 795.94373512 138.562787429 22.9410402062 0.17424992051 0.207663139029 r
57095.1864834 57070.1567111 1.16 1.22 86.0 -55.0208916794 83.9343260136 30.0 3.57050307234 0.0 g
