# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15ag, field: Blind15A_43, CCD: N17, ipix: 3473, jpix: 755, RA: 10:28:27.05, DEC: -02:31:47.06
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2493608 57070.1634274 1.14 1.22 86.0 -36.7757963912 79.9845134001 30.0 4.10668229952 0.0 g
57070.3182988 57070.1634274 1.35 1.22 86.0 -51.6118998278 80.4745292968 30.0 3.668593607 0.0 g
57070.3652113 57070.1634274 1.75 1.22 86.0 73.1016153208 77.8029759134 25.322428694 0.786938699103 4.67757130598 g
57071.0924782 57070.1634274 1.64 1.22 86.0 -2.51203837048 79.7682377851 30.0 4.7375872204 0.0 g
57071.1599776 57070.1634274 1.22 1.22 86.0 57.1100747353 79.4601792485 25.5904643069 0.946608471472 4.40953569312 g
57071.2281741 57070.1634274 1.13 1.22 86.0 78.4912955642 80.3718381378 25.2451923843 0.765504068921 4.75480761573 g
57071.2985095 57070.1634274 1.27 1.22 86.0 47.7838191657 79.490308167 25.7840439826 1.06364817438 4.21595601736 g
57071.3673198 57070.1634274 1.82 1.22 86.0 106.579825081 81.0167897624 24.9130586203 0.613874985465 1.55015645771 g
57072.0892808 57070.1634274 1.64 1.22 86.0 17.5907030241 85.88484978 26.8690381364 1.92388639642 3.13096186357 g
57072.1578957 57070.1634274 1.22 1.22 86.0 94.009821574 79.9847793987 25.0493130571 0.668406359956 2.06567263124 g
57072.2263896 57070.1634274 1.13 1.22 86.0 172.399258406 80.3996831846 24.3909076448 0.415599644994 0.681873927984 g
57072.2954066 57070.1634274 1.27 1.22 86.0 99.2070614996 80.333353651 24.9908896629 0.644049097472 1.80171339469 g
57072.3643194 57070.1634274 1.82 1.22 86.0 38.652312715 82.3670290247 26.0143074168 1.23919825455 3.9856925832 g
57073.086693 57070.1634274 1.64 1.22 86.0 52.0178028997 86.8729291994 25.6918661162 1.06630315588 4.30813388376 g
57075.0817353 57070.1634274 1.64 1.22 86.0 243.949347542 104.828467122 24.0139969759 0.388122978222 0.609768358711 g
57075.1490481 57070.1634274 1.22 1.22 86.0 419.372623671 110.323776279 23.4257459365 0.253567361628 0.331432371057 g
57075.2175026 57070.1634274 1.13 1.22 86.0 331.543018904 83.5598584756 23.6808964089 0.244039640313 0.315294242739 g
57075.2864195 57070.1634274 1.27 1.22 86.0 305.210189972 106.740488614 23.7707485551 0.325615483466 0.4672620325 g
57075.3549069 57070.1634274 1.8 1.22 86.0 327.996770678 135.92834206 23.6925722085 0.376445785274 0.581033961442 g
57077.0665026 57070.095981 1.75 1.63 86.0 385.852242619 189.115388845 23.6371935562 0.433055918629 0.731338267288 r
57077.1338111 57070.1634274 1.26 1.22 86.0 530.219575982 83.0128234392 23.1711067329 0.157923335405 0.184868513919 g
57077.1954535 57070.1634274 1.13 1.22 86.0 446.025213433 86.0047795524 23.3588476038 0.191441766146 0.232580646874 g
57078.1989023 57070.1634274 1.13 1.22 86.0 524.956158865 82.8910436537 23.1819385399 0.159178467498 0.186591976551 g
57080.1251863 57070.1634274 1.26 1.22 86.0 458.311589239 209.476481601 23.3293440298 0.408694543447 0.663122963106 g
57080.1936658 57070.1634274 1.13 1.22 86.0 579.289629431 113.39915625 23.0750067438 0.194106007318 0.236529809798 g
57089.2512451 57070.095981 1.28 1.63 86.0 202.035383284 237.591401389 24.3396775384 0.84414177119 5.66032246159 r
57090.2513582 57070.1634274 1.29 1.22 86.0 372.120926552 170.109169007 23.555535894 0.40874881261 0.663268616333 g
57095.1365877 57070.095981 1.14 1.63 86.0 368.78615104 146.16418765 23.6863096188 0.362476861046 0.548016487655 r
57095.1934207 57070.1634274 1.16 1.22 86.0 126.856032355 83.8386602181 24.7239683182 0.550856179647 1.17416811863 g
