# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15ah, field: Blind15A_45, CCD: N25, ipix: 1041, jpix: 1096, RA: 10:25:15.01, DEC: 01:07:09.53
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.1836009 57070.1660888 1.22 1.27 86.0 154.559568355 81.8845002074 24.4795063876 0.461581318933 0.819276121299 g
57070.2521272 57070.1660888 1.2 1.27 86.0 136.150125345 81.8983506037 24.6172010144 0.51133752503 0.999010239135 g
57070.3209626 57070.1660888 1.44 1.27 86.0 126.053870045 81.5633549285 24.7008556688 0.541767995544 1.13072187406 g
57070.3679811 57070.1660888 1.91 1.27 86.0 65.0162414759 82.7691128975 25.4196914787 0.891523843913 4.58030852128 g
57071.0951591 57070.1660888 1.71 1.27 86.0 154.133741282 81.301863615 24.4825018277 0.459936054062 0.813940533938 g
57071.1626183 57070.1660888 1.27 1.27 86.0 159.266057983 78.3671466604 24.4469380508 0.434459734731 0.735451384171 g
57071.3011757 57070.1660888 1.34 1.27 86.0 49.6419246257 77.9478164579 25.7126246011 1.02491786326 4.28737539895 g
57071.3699748 57070.1660888 1.99 1.27 86.0 139.206445871 80.2260841151 24.5930977644 0.49410416232 0.932379783791 g
57072.0919318 57070.1660888 1.71 1.27 86.0 38.369331523 82.1239650961 25.9922855458 1.24244663412 4.00771445417 g
57072.160557 57070.1660888 1.27 1.27 86.0 194.381544353 79.1448063493 24.2306085575 0.370860357623 0.56766018002 g
57072.2290578 57070.1660888 1.18 1.27 86.0 149.301984858 78.8729743942 24.5170821747 0.460506000656 0.815784987098 g
57072.2981874 57070.1660888 1.34 1.27 86.0 107.087226287 79.0461538208 24.8779019535 0.600216485427 1.45485762528 g
57072.3669837 57070.1660888 1.98 1.27 86.0 -4.60383802836 78.6060241702 30.0 4.72086524606 0.0 g
57073.0893543 57070.1660888 1.71 1.27 86.0 130.406131374 93.7240708565 24.6640010998 0.588005929149 1.37711072076 g
57074.0864873 57070.1660888 1.71 1.27 86.0 -28.7672086471 130.610057064 30.0 5.06758021562 0.0 g
57075.0844046 57070.1660888 1.7 1.27 86.0 154.013111402 96.3259577235 24.4833518915 0.527427345863 1.06619645884 g
57075.1517074 57070.1660888 1.27 1.27 86.0 216.129913306 102.060765132 24.11545893 0.419931433382 0.693866702124 g
57075.2202993 57070.1660888 1.18 1.27 86.0 220.979938475 85.3281853801 24.0913640073 0.354514167314 0.529818593966 g
57075.2890649 57070.1660888 1.34 1.27 86.0 119.746437719 109.127225551 24.7565896215 0.703333045444 2.63042576176 g
57077.0691953 57070.0986314 1.83 1.7 86.0 332.392220694 181.539737036 23.8121190006 0.473136932922 0.857745965366 r
57077.1364573 57070.1660888 1.3 1.27 86.0 652.228101491 91.017163118 22.9162473616 0.141831610701 0.163183448717 g
57077.1980977 57070.1660888 1.18 1.27 86.0 646.715078303 88.5857916891 22.9254636613 0.139380232711 0.15994543742 g
57078.2002822 57070.1660888 1.18 1.27 86.0 578.693503753 82.2147364246 23.0461246103 0.144231398862 0.166369817908 g
57080.1964492 57070.1660888 1.18 1.27 86.0 448.13207555 112.214641741 23.3237310528 0.24262700473 0.312933715549 g
57089.2528288 57070.0986314 1.35 1.7 86.0 220.178328222 232.171427984 24.2593097034 0.781749476793 5.74069029657 r
57090.2529269 57070.1660888 1.36 1.27 86.0 631.884123646 176.974694264 22.9506525189 0.268088201798 0.356781261679 g
57095.1379678 57070.0986314 1.19 1.7 86.0 155.788529844 138.451268227 24.6349074307 0.690414837239 2.38388744069 r
57095.1962245 57070.1660888 1.22 1.27 86.0 95.5718607693 85.5861980653 25.0014210238 0.694319041743 2.45238287345 g
