# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15ai, field: Blind15A_42, CCD: N31, ipix: 2908, jpix: 1586, RA: 10:23:22.17, DEC: -05:53:31.39
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.248004 57070.1620737 1.12 1.18 86.0 28.2790999606 66.3746872249 26.5515821705 1.31168103031 3.44841782951 g
57070.3169342 57070.1620737 1.33 1.18 86.0 86.4387891564 71.0506034251 25.3384744416 0.651356583413 1.87380313781 g
57070.3637945 57070.1620737 1.72 1.18 86.0 64.4958773925 67.4374027706 25.6564162401 0.77705601229 4.34358375992 g
57071.0911249 57070.1620737 1.56 1.18 86.0 5.96248637811 66.8374275955 28.2416776285 2.71675866564 1.75832237154 g
57071.15862 57070.1620737 1.18 1.18 86.0 -27.6167181395 66.7294423414 30.0 3.80054903595 0.0 g
57071.2268221 57070.1620737 1.11 1.18 86.0 -19.5789189237 66.0408876723 30.0 3.98749789279 0.0 g
57071.2971454 57070.1620737 1.25 1.18 86.0 8.39176280625 67.2569334711 27.8706131281 2.38737061959 2.12938687188 g
57071.3659415 57070.1620737 1.78 1.18 86.0 60.0820963066 68.8425790604 25.7333834354 0.82897742356 4.26661656464 g
57072.0879301 57070.1620737 1.56 1.18 86.0 168.678920687 75.1926098664 24.6125940944 0.400250726191 0.640781978947 g
57072.1565374 57070.1620737 1.18 1.18 86.0 13.7770609736 67.2033863835 27.3323546769 1.92305897778 2.6676453231 g
57072.2250374 57070.1620737 1.11 1.18 86.0 0.724269005332 70.5059288177 30.5304963776 4.98191062566 -0.530496377558 g
57072.2940204 57070.1620737 1.24 1.18 86.0 92.2683676117 67.5153139527 25.267614035 0.596198965584 1.42856013491 g
57072.3629709 57070.1620737 1.78 1.18 86.0 89.1543341489 72.4902716973 25.3048899761 0.646046889421 1.82090394069 g
57073.0853395 57070.1620737 1.56 1.18 86.0 29.5932636176 82.4184842967 26.502263971 1.44517677869 3.49773602904 g
57075.0803828 57070.1620737 1.55 1.18 86.0 412.379784 92.5999360036 23.6420027111 0.219941425947 0.276115687675 g
57075.1476942 57070.1620737 1.18 1.18 86.0 458.700552929 101.54328983 23.526422969 0.217119571426 0.271674443352 g
57075.2161411 57070.1620737 1.11 1.18 86.0 458.168051098 79.4101949686 23.5276841237 0.173542210624 0.206657880228 g
57075.2850483 57070.1620737 1.24 1.18 86.0 375.949399695 94.723275936 23.7424226389 0.243973977177 0.315184337078 g
57075.3535566 57070.1620737 1.76 1.18 86.0 359.753067194 114.49183237 23.7902348647 0.299995408661 0.415938987145 g
57077.0651405 57070.0946356 1.65 1.55 86.0 305.950560858 188.093131942 24.0171179939 0.520285263965 1.03573572757 r
57077.1324391 57070.1620737 1.21 1.18 86.0 408.817548622 77.6195806269 23.6514223037 0.188742967574 0.22860466542 g
57077.194101 57070.1620737 1.11 1.18 86.0 573.486913 72.8252125446 23.2839373488 0.129796980312 0.147447854135 g
57078.1975484 57070.1620737 1.1 1.18 86.0 634.679622039 74.1583471725 23.173859742 0.119981045588 0.134906133323 g
57080.1238318 57070.1620737 1.22 1.18 86.0 601.219744412 166.686622368 23.2326630415 0.265687584354 0.352525871842 g
57080.1923068 57070.1620737 1.1 1.18 86.0 688.517076712 94.4531751036 23.0854593377 0.139576364028 0.160203882416 g
57089.2496967 57070.0946356 1.25 1.55 86.0 909.930389281 248.44236705 22.8337257042 0.262100413183 0.34621546219 r
57090.2498126 57070.1620737 1.26 1.18 86.0 246.630791124 193.61492184 24.200127888 0.629119598879 1.6691035231 g
57095.135236 57070.0946356 1.11 1.55 86.0 475.674851568 116.032462737 23.5379706498 0.236991866119 0.303598294102 r
57095.1920375 57070.1620737 1.14 1.18 86.0 348.5503863 71.284746754 23.8245822071 0.202033026048 0.248423789799 g
