# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15aj, field: Blind15A_28, CCD: S16, ipix: 817, jpix: 290, RA: 09:59:21.60, DEC: -01:37:36.58
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2289438 57070.1433314 1.14 1.23 86.0 98.6811380424 73.5441613525 25.0746607547 0.604656997603 1.48480276737 g
57070.2975852 57070.1433314 1.34 1.23 86.0 176.098243642 75.5552509855 24.445858567 0.387619853069 0.608508041534 g
57070.3447278 57070.1433314 1.73 1.23 86.0 137.421875752 75.3059144277 24.7151064476 0.474420891179 0.862131653274 g
57071.0722943 57070.1433314 1.66 1.23 86.0 144.334144404 74.2579404921 24.6618234228 0.450663375529 0.784496286052 g
57071.1398979 57070.1433314 1.23 1.23 86.0 104.727963192 72.8550693499 25.0100894851 0.573347027105 1.29160290241 g
57071.2077913 57070.1433314 1.13 1.23 86.0 67.9563027828 72.7097814631 25.4796717714 0.789899138429 4.52032822864 g
57071.2779316 57070.1433314 1.26 1.23 86.0 95.1289979992 74.5387694415 25.1144638223 0.628216057341 1.66162938718 g
57071.3470284 57070.1433314 1.8 1.23 86.0 9.58428231893 76.0128450599 27.6063471331 2.37724898021 2.39365286691 g
57072.06903 57070.1433314 1.66 1.23 86.0 25.1769989933 75.4569745702 26.5577362218 1.50435164686 3.44226377823 g
57072.1365163 57070.1433314 1.23 1.23 86.0 66.0492140927 73.9585470994 25.5105769921 0.815711141599 4.48942300787 g
57072.2061722 57070.1433314 1.13 1.23 86.0 176.440187199 75.7054824597 24.4437523534 0.387635010292 0.608545980145 g
57072.274924 57070.1433314 1.26 1.23 86.0 120.539178321 73.3114382249 24.8574255614 0.515847399851 1.01732765532 g
57072.3439983 57070.1433314 1.8 1.23 86.0 129.329724247 80.6844715068 24.7810002491 0.526375749885 1.06164471859 g
57073.0663917 57070.1433314 1.66 1.23 86.0 67.7330522757 101.003688118 25.4832445111 0.991022521214 4.51675548888 g
57074.0638705 57070.1433314 1.66 1.23 86.0 49.7804437588 134.106644686 25.8175992188 1.41873118193 4.18240078122 g
57075.0616322 57070.1433314 1.65 1.23 86.0 305.804725493 129.836457648 23.8466356478 0.384211841817 0.600024582689 g
57075.128985 57070.1433314 1.23 1.23 86.0 132.296424724 104.844971206 24.756375859 0.633648160885 1.70745690733 g
57075.1971216 57070.1433314 1.13 1.23 86.0 216.578494998 76.201973264 24.2212077994 0.327316923911 0.470802135674 g
57075.2658948 57070.1433314 1.26 1.23 86.0 367.290655254 124.918556925 23.6477214306 0.317849646719 0.451318140615 g
57075.3344133 57070.1433314 1.78 1.23 86.0 210.253787134 106.165148228 24.2533865603 0.443796594537 0.76335124383 g
57077.0461764 57070.0758081 1.77 1.65 86.0 762.779127472 187.976786577 22.9652491266 0.239175587422 0.307200681134 r
57077.1137551 57070.1433314 1.26 1.23 86.0 332.078084061 84.9995611157 23.7571455914 0.247441745373 0.321013045674 g
57077.1751576 57070.1433314 1.14 1.23 86.0 354.566058723 78.7022217155 23.6860032284 0.217649339084 0.272505968329 g
57080.0494679 57070.0758081 1.64 1.65 86.0 923.852939023 235.07575875 22.7572390162 0.246134680963 0.318810236467 r
57080.1051523 57070.1433314 1.26 1.23 86.0 674.542538114 179.585960589 22.9877227721 0.2562846757 0.336105606038 g
57080.1732684 57070.1433314 1.13 1.23 86.0 618.650801895 156.028036777 23.0816321776 0.244190281584 0.315546450295 g
57089.2326772 57070.0758081 1.28 1.65 86.0 1376.64013917 165.670360923 22.3241950574 0.123378467525 0.139217808836 r
57090.2327932 57070.1433314 1.29 1.23 86.0 195.996382211 153.038669452 24.3296259905 0.626552469794 1.64801726326 g
57095.1203941 57070.0758081 1.14 1.65 86.0 1340.54154846 125.73966941 22.3530454307 0.097342481533 0.106937059868 r
57095.1728284 57070.1433314 1.16 1.23 86.0 230.418587654 73.8976194047 24.1539523524 0.302018930067 0.419862461215 g
