# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15ak, field: Blind15A_40, CCD: S24, ipix: 3409, jpix: 348, RA: 10:23:22.16, DEC: -5:53:31.40
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2452939 57070.1593888 1.1 1.17 86.0 -88.1679613582 74.8192947659 30.0 0.0 0.0 g
57070.3141609 57070.1593888 1.3 1.17 86.0 -33.1196113629 78.7047867943 30.0 4.23481294812 0.0 g
57070.3611263 57070.1593888 1.66 1.17 86.0 -62.1708032397 74.4507608853 30.0 2.81074604413 0.0 g
57071.0884497 57070.1593888 1.54 1.17 86.0 -53.405278175 70.5682668972 30.0 3.17423616467 0.0 g
57071.1559281 57070.1593888 1.17 1.17 86.0 -66.6830459763 71.741244648 30.0 1.84774357989 0.0 g
57071.2240972 57070.1593888 1.09 1.17 86.0 0.243248765432 73.1025553686 31.4471195162 6.19831157402 -1.44711951621 g
57071.2943927 57070.1593888 1.22 1.17 86.0 -21.4354758208 72.1841338807 30.0 4.35131527875 0.0 g
57071.3632191 57070.1593888 1.72 1.17 86.0 -14.8644826263 70.5443888739 30.0 4.45200011026 0.0 g
57072.0852101 57070.1593888 1.55 1.17 86.0 33.8682690799 77.664000158 26.0877636243 1.29401884229 3.91223637574 g
57072.152555 57070.1593888 1.17 1.17 86.0 -20.0146856526 72.7253427499 30.0 4.39249994743 0.0 g
57072.1538727 57070.0919834 1.17 1.54 86.0 15.9841533009 114.511477832 27.0830220378 2.27976584006 2.91697796223 r
57072.2223061 57070.1593888 1.09 1.17 86.0 -3.90726318072 71.1482843735 30.0 4.65683962307 0.0 g
57072.2912262 57070.1593888 1.22 1.17 86.0 -118.02024723 71.8832133954 30.0 0.0 0.0 g
57072.3603066 57070.1593888 1.72 1.17 86.0 -85.8182674892 74.4755677571 30.0 0.0 0.0 g
57073.0825483 57070.1593888 1.55 1.17 86.0 48.5197981477 66.5509041532 25.6974486645 0.937614445623 4.3025513355 g
57074.3473916 57070.1593888 1.63 1.17 86.0 247.618966122 121.181769705 23.9277863632 0.432519682294 0.729772621539 g
57074.3486918 57070.0919834 1.64 1.54 86.0 -43.0061214237 200.525629074 30.0 5.4010897361 0.0 r
57075.0777191 57070.1593888 1.54 1.17 86.0 343.935011918 95.9682876952 23.5710551571 0.267202077806 0.355207459039 g
57075.1450198 57070.1593888 1.17 1.17 86.0 373.437615083 97.8103686782 23.4817009761 0.252578610708 0.32973978602 g
57075.2134724 57070.1593888 1.09 1.17 86.0 256.896193071 81.2758458324 23.8878519568 0.298450068555 0.412957092552 g
57075.2823316 57070.1593888 1.22 1.17 86.0 302.341228291 91.6778515306 23.7110026953 0.287549698323 0.392270829549 g
57075.3508478 57070.1593888 1.7 1.17 86.0 294.630834782 117.878236464 23.7390506375 0.365388267626 0.554780973697 g
57077.0623981 57070.0919834 1.64 1.54 86.0 302.736990134 165.338426232 23.8895824062 0.473125858778 0.857708238255 r
57077.1297836 57070.1593888 1.2 1.17 86.0 411.105964483 90.2304600364 23.3773616838 0.21543870405 0.269043033262 g
57077.1914337 57070.1593888 1.09 1.17 86.0 497.691269477 79.034955901 23.1698460721 0.160024195163 0.187755943488 g
57078.1948284 57070.1593888 1.09 1.17 86.0 515.060164046 83.062130742 23.1326012235 0.162330072622 0.190940480407 g
57080.0590557 57070.0919834 1.59 1.54 86.0 740.819543334 225.530435186 22.9179650511 0.288555026303 0.394153670241 r
57080.1211734 57070.1593888 1.2 1.17 86.0 648.943642255 155.395447026 22.8817286732 0.233080482718 0.297193534567 g
57080.1896245 57070.1593888 1.09 1.17 86.0 600.724085847 102.597372058 22.9655585151 0.171197056183 0.203338030702 g
57089.2466055 57070.0919834 1.23 1.54 86.0 644.924917282 241.515342883 23.0684732365 0.345350789733 0.509407388067 r
57090.246719 57070.1593888 1.24 1.17 86.0 643.941963656 192.290459334 22.8901293091 0.283700686756 0.385108166317 g
57095.1325411 57070.0919834 1.1 1.54 86.0 483.663858237 117.226310456 23.3808870382 0.235628656283 0.301359169511 r
57095.1892597 57070.1593888 1.12 1.17 86.0 358.429171929 76.6761931619 23.5262377559 0.210477723786 0.261337081713 g
