# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15am, field: Blind15A_49, CCD: S15, ipix: 2552, jpix: 1347, RA: 10:30:3.82, DEC: -03:47:59.24
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2575659 57070.1889488 1.13 1.14 86.0 72.3150115442 75.474997635 25.3901749784 0.776041540601 4.60982502156 g
57070.3265598 57070.1889488 1.35 1.14 86.0 52.2998558132 83.1565512722 25.7419948992 1.03324765106 4.25800510077 g
57070.37342 57070.1889488 1.77 1.14 86.0 115.764444715 80.6694364567 24.8793081458 0.574103011625 1.29582460999 g
57071.1006198 57070.1889488 1.55 1.14 86.0 198.254375884 74.8972777905 24.2951891734 0.347952630569 0.515146593949 g
57071.167966 57070.1889488 1.19 1.14 86.0 166.974933708 74.8482582163 24.4816179288 0.402116673972 0.645664700844 g
57071.2363844 57070.1889488 1.11 1.14 86.0 187.284855438 73.2631456851 24.3569894779 0.358462713967 0.538787777868 g
57071.3067544 57070.1889488 1.27 1.14 86.0 170.316135244 73.8987990386 24.4601066439 0.391291062022 0.617751662371 g
57071.3753081 57070.1889488 1.84 1.14 86.0 216.355520778 76.5391230019 24.200326174 0.328858620228 0.474024682112 g
57072.0972817 57070.1889488 1.55 1.14 86.0 121.712091345 86.3261600343 24.824911816 0.582023674749 1.34125773675 g
57072.1658917 57070.1889488 1.18 1.14 86.0 228.556853 75.0086296343 24.1407605091 0.308145350789 0.431873629557 g
57072.2346584 57070.1889488 1.11 1.14 86.0 178.94074696 73.7019098603 24.4064730133 0.374493584689 0.576333013663 g
57072.3036265 57070.1889488 1.26 1.14 86.0 191.466700061 75.5389312475 24.3330129975 0.361067921825 0.544764437248 g
57072.3725058 57070.1889488 1.83 1.14 86.0 161.081205446 74.6949738808 24.5206339507 0.413637637121 0.676500854568 g
57073.0946888 57070.1889488 1.55 1.14 86.0 -33.7476251744 82.5000568462 30.0 4.18174457763 0.0 g
57075.0897401 57070.1889488 1.55 1.14 86.0 219.490434174 92.1717110885 24.1847071342 0.380671145347 0.591308308171 g
57075.157039 57070.1889488 1.19 1.14 86.0 275.091224782 89.4115108539 23.9395542858 0.305560137944 0.426780696445 g
57075.2256573 57070.1889488 1.11 1.14 86.0 219.827910593 85.459216612 24.1830390479 0.356564150182 0.534461840203 g
57075.2944351 57070.1889488 1.26 1.14 86.0 86.1088136375 106.231658937 25.2006271136 0.872557682429 4.79937288636 g
57075.3630387 57070.1889488 1.82 1.14 86.0 236.995457028 123.004451147 24.1013960754 0.453905922261 0.794673587766 g
57077.074538 57070.1040433 1.64 1.54 86.0 87.9774645958 169.251457291 25.2813175232 1.16487088879 4.71868247684 r
57077.2034114 57070.1889488 1.11 1.14 86.0 452.77728195 80.8453669102 23.398534558 0.178374065667 0.213552954483 g
57078.203057 57070.1889488 1.11 1.14 86.0 469.833317228 79.7468619908 23.3583866016 0.170218126917 0.201957349504 g
57080.0672421 57070.1040433 1.63 1.54 86.0 474.342584514 257.343007558 23.4520158392 0.470580969199 0.849083070945 r
57080.1332244 57070.1889488 1.22 1.14 86.0 364.568097651 165.769222504 23.6337994729 0.406933819218 0.658411848362 g
57080.2017908 57070.1889488 1.11 1.14 86.0 668.440693567 112.901321178 22.9755889252 0.169445742242 0.200870093283 g
57089.2575778 57070.1040433 1.27 1.54 86.0 1910.23516862 331.219164277 21.939529037 0.173607646493 0.206750761376 r
57090.2575391 57070.1889488 1.28 1.14 86.0 2035.98989832 197.347886508 21.7663070809 0.100446986815 0.11069609911 g
57095.1420388 57070.1040433 1.12 1.54 86.0 2452.74068212 127.125464212 21.6681170418 0.0548638477821 0.0577844347366 r
57095.2015731 57070.1889488 1.15 1.14 86.0 1814.17806337 84.5230753638 21.89154635 0.049441749027 0.0518010690686 g
