# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15ao, field: Blind15A_38, CCD: N29, ipix: 358, jpix: 694, RA: 10:15:32.76, DEC: -02:58:16.70
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2426175 57070.1567111 1.15 1.22 86.0 -16.2911533685 88.752478085 30.0 4.70801954543 0.0 g
57070.3113891 57070.1567111 1.35 1.22 86.0 -39.9775908268 93.1799920462 30.0 4.37258195699 0.0 g
57070.3583787 57070.1567111 1.76 1.22 86.0 -34.1862925216 91.6484617561 30.0 4.45620891406 0.0 g
57071.085781 57070.1567111 1.64 1.22 86.0 78.9633115501 91.4768053873 25.1986827446 0.835366175203 4.80131725542 g
57071.1532507 57070.1567111 1.22 1.22 86.0 262.77468271 91.5866774351 23.8932873272 0.324657099004 0.46527547228 g
57071.2214237 57070.1567111 1.13 1.22 86.0 217.552182478 91.886154571 24.0983375169 0.382526684968 0.595863891264 g
57071.2915803 57070.1567111 1.27 1.22 86.0 -14.9781696016 90.9915904045 30.0 4.75997956529 0.0 g
57071.3605515 57070.1567111 1.82 1.22 86.0 280.223754809 92.8431979136 23.823483758 0.31070457935 0.436951056719 g
57072.0825445 57070.1567111 1.64 1.22 86.0 306.612568007 98.5802435124 23.7257712467 0.30267944858 0.421147826925 g
57072.1498808 57070.1567111 1.22 1.22 86.0 343.141288193 91.1676083395 23.6035636848 0.255814370911 0.335294497031 g
57072.2196423 57070.1567111 1.13 1.22 86.0 280.915867706 90.4162894275 23.8208054499 0.302965723001 0.42170563175 g
57072.2885502 57070.1567111 1.27 1.22 86.0 305.567272263 90.3102071682 23.7294790347 0.281134897703 0.380373556806 g
57072.3576403 57070.1567111 1.82 1.22 86.0 327.304570527 91.72897218 23.6548659534 0.268241796924 0.357054417569 g
57073.0798614 57070.1567111 1.64 1.22 86.0 158.056246012 109.537776677 24.4452169711 0.571661863629 1.28226142891 g
57075.075046 57070.1567111 1.63 1.22 86.0 459.00043652 112.853947379 23.2877133817 0.238680890613 0.306382918773 g
57075.1423407 57070.1567111 1.22 1.22 86.0 192.076782148 115.929259909 24.2335589496 0.51271091151 1.00454773747 g
57075.2106837 57070.1567111 1.13 1.22 86.0 463.388514832 95.5822910012 23.2773829643 0.203609651101 0.250815479111 g
57075.2795639 57070.1567111 1.27 1.22 86.0 361.274021917 114.744392273 23.5476542933 0.299467548153 0.414919026642 g
57075.3481681 57070.1567111 1.8 1.22 86.0 118.425964879 144.182508548 24.7586287985 0.864654508127 5.2413712015 g
57077.0597283 57070.0893006 1.75 1.63 86.0 1178.05491715 195.849527222 22.4453322872 0.166977480173 0.197408058287 r
57077.1271138 57070.1567111 1.26 1.22 86.0 515.921806181 110.454045459 23.1607864172 0.210627804714 0.261568889385 g
57077.1886985 57070.1567111 1.13 1.22 86.0 618.149419018 96.780906915 22.9645124646 0.157925634932 0.184871667153 g
57078.1934401 57070.1567111 1.13 1.22 86.0 508.303602765 105.793617105 23.1769381583 0.205284858352 0.25336632223 g
57080.057667 57070.0893006 1.67 1.63 86.0 1886.17066312 257.806173084 21.9342936639 0.139097757944 0.15957340651 r
57080.1184953 57070.1567111 1.26 1.22 86.0 567.445009986 170.791499771 23.057436675 0.285679345824 0.388781198234 g
57080.1868442 57070.1567111 1.13 1.22 86.0 407.110356626 148.165058716 23.4179657514 0.336990737358 0.491260303641 g
57089.24355 57070.0893006 1.28 1.63 86.0 2531.22288174 273.476980038 21.6149201587 0.11139001332 0.124138312893 r
57090.2436755 57070.1567111 1.29 1.22 86.0 467.946027502 167.880548996 23.2667567161 0.332857279857 0.482449326456 g
57095.1298707 57070.0893006 1.14 1.63 86.0 1277.2606098 149.565174448 22.3575473308 0.120228574952 0.135219241005 r
57095.1864834 57070.1567111 1.16 1.22 86.0 110.635597092 93.0369858778 24.832508918 0.662594217721 1.99604121756 g
