# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15as, field: Blind15A_14, CCD: N19, ipix: 1802, jpix: 719, RA: 09:24:34.69, DEC: 09:30:24.51
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2099963 57070.1246159 1.17 1.24 86.0 -5.41694429064 79.389211398 30.0 4.60442619488 0.0 g
57070.2786409 57070.1246159 1.39 1.24 86.0 98.1116272551 75.0566663167 25.0889449309 0.616869746221 1.57239022034 g
57071.0534141 57070.1246159 1.65 1.24 86.0 154.708186115 72.3580754344 24.5944628925 0.416598288712 0.68462276759 g
57071.12117 57070.1246159 1.24 1.24 86.0 348.691621563 77.9440601666 23.7121423477 0.219039156816 0.274692396311 g
57071.1888197 57070.1246159 1.15 1.24 86.0 271.724496092 76.5965772766 23.982924148 0.269627394907 0.359523448838 g
57071.2574727 57070.1246159 1.3 1.24 86.0 259.761550971 76.5944040483 24.0318089564 0.280560630928 0.379318219867 g
57071.2588164 57070.0568767 1.3 1.65 86.0 220.922427778 126.909478265 24.3106466102 0.49282402361 0.927630322337 r
57071.3277374 57070.1246159 1.9 1.24 86.0 228.407762641 78.2173460099 24.1714689788 0.319742138489 0.455171594184 g
57072.0501682 57070.1246159 1.66 1.24 86.0 231.620571321 106.607496918 24.1563033068 0.411081291642 0.669554231903 g
57072.1177877 57070.1246159 1.24 1.24 86.0 224.640173212 79.4145696239 24.1895275648 0.328660892198 0.473610587868 g
57072.1869637 57070.1246159 1.15 1.24 86.0 428.351576501 81.2208646837 23.4887452041 0.188513906836 0.228268326884 g
57072.2557213 57070.1246159 1.3 1.24 86.0 352.946711355 75.9528858907 23.698973279 0.211616246965 0.263097628557 g
57072.324745 57070.1246159 1.9 1.24 86.0 392.590011574 73.8787299823 23.5833980133 0.187208251798 0.22635452305 g
57073.0475212 57070.1246159 1.66 1.24 86.0 306.221098793 107.28361077 23.8531583518 0.326113374383 0.468296201725 g
57075.0427147 57070.1246159 1.65 1.24 86.0 235.801982367 110.599960437 24.1368774985 0.417582168132 0.687340273376 g
57075.1103064 57070.1246159 1.24 1.24 86.0 297.251079973 90.9899368031 23.8854375252 0.289944936307 0.396765051859 g
57075.1779393 57070.1246159 1.15 1.24 86.0 392.320241393 82.6775805364 23.5841443388 0.207627256198 0.256949812231 g
57075.2466073 57070.1246159 1.3 1.24 86.0 318.369075804 97.8742000724 23.8109189363 0.291040885315 0.398830939338 g
57075.3152493 57070.1246159 1.88 1.24 86.0 268.938465219 106.997705864 23.9941138228 0.363652979253 0.550741876798 g
57077.0273001 57070.0568767 1.77 1.65 86.0 241.356584566 180.955213988 24.2145982493 0.607435158516 1.50403089533 r
57077.0950469 57070.1246159 1.27 1.24 86.0 445.833849799 102.781951762 23.4453135304 0.225238182965 0.284533031347 g
57077.1559806 57070.1246159 1.15 1.24 86.0 416.653635578 78.8507096609 23.5188081889 0.188180729059 0.227779421859 g
57080.0383054 57070.0568767 1.56 1.65 86.0 608.01382297 163.558564658 23.2114624958 0.258658060453 0.340213510607 r
57080.0864167 57070.1246159 1.27 1.24 86.0 231.885816502 180.502389411 24.1550606645 0.625080126859 1.63612779665 g
57080.1541015 57070.1246159 1.15 1.24 86.0 107.971349943 140.781363864 24.9849747999 0.906148240371 5.01502520014 g
57089.2184874 57070.0568767 1.35 1.65 86.0 517.511455609 203.618751507 23.3864462087 0.360234300402 0.542846865927 r
57090.2185025 57070.1246159 1.36 1.24 86.0 204.160049815 185.111530049 24.2933192206 0.700704836691 2.5752738253 g
57095.0859134 57070.0568767 1.17 1.65 86.0 284.36394645 131.850951708 24.0365597961 0.413607721627 0.67641920963 r
57095.1563902 57070.1246159 1.19 1.24 86.0 137.094076332 77.5237538504 24.7256994035 0.486617774785 0.904971846791 g
