# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15at, field: Blind15A_25, CCD: N7, ipix: 2071, jpix: 1835, RA: 09:24:34.69, DEC: 02:01:22.89
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2249242 57070.1393195 1.2 1.27 86.0 103.700111389 70.3399831289 24.7527980709 0.562175218982 1.23137877794 g
57070.2935577 57070.1393195 1.43 1.27 86.0 143.015136719 66.1374860295 24.4037911141 0.412703273337 0.673954755987 g
57070.3405387 57070.1393195 1.89 1.27 86.0 79.0439987183 69.6874981368 25.047573872 0.686335115791 2.31688863383 g
57071.0682754 57070.1393195 1.73 1.27 86.0 134.768829346 71.8068463103 24.4682724883 0.463724314906 0.826277644833 g
57071.1358795 57070.1393195 1.28 1.27 86.0 148.695373535 67.2335788919 24.3615024876 0.405033553943 0.653358706608 g
57071.2036092 57070.1393195 1.18 1.27 86.0 186.86869812 67.7620670145 24.1134047282 0.335935787734 0.489001547556 g
57071.2738799 57070.1393195 1.34 1.27 86.0 218.473831177 80.5133614747 23.9437475667 0.34063290202 0.499111900677 g
57071.3428981 57070.1393195 1.97 1.27 86.0 218.687301636 69.3150251267 23.9426872134 0.298931076333 0.413883914948 g
57072.0649289 57070.1393195 1.74 1.27 86.0 212.63319397 90.0626281215 23.9731684711 0.383438409835 0.598112179399 g
57072.1324854 57070.1393195 1.28 1.27 86.0 260.531707764 78.6224809889 23.7525946625 0.28634149744 0.390014646005 g
57072.202007 57070.1393195 1.18 1.27 86.0 269.138916016 80.5087403549 23.7173048808 0.284135306679 0.385913324332 g
57072.2707683 57070.1393195 1.34 1.27 86.0 121.01701355 80.9565895763 24.58513005 0.556120454858 1.20032722491 g
57072.3399719 57070.1393195 1.97 1.27 86.0 330.58404541 83.2572071702 23.4940414034 0.243879724983 0.315026610676 g
57073.0623806 57070.1393195 1.73 1.27 86.0 293.421905518 106.74653166 23.6235147953 0.336875745121 0.491013758397 g
57074.0598913 57070.1393195 1.73 1.27 86.0 152.280303955 118.294987017 24.3356367906 0.624110997867 1.62838102653 g
57074.3271224 57070.1393195 1.86 1.27 86.0 476.077911377 145.796188598 23.0980510482 0.290061093994 0.39698372675 g
57075.0576025 57070.1393195 1.73 1.27 86.0 320.151245117 115.943206368 23.5288581401 0.335563414734 0.488205902247 g
57075.1249649 57070.1393195 1.28 1.27 86.0 360.897979736 104.943924597 23.3987850008 0.277135253838 0.373056090922 g
57075.193096 57070.1393195 1.18 1.27 86.0 427.31842041 83.4411727882 23.2153670922 0.193662295118 0.235870430853 g
57075.2617824 57070.1393195 1.33 1.27 86.0 354.901977539 129.977765818 23.4169750799 0.338814054649 0.495180530419 g
57075.3302265 57070.1393195 1.94 1.27 86.0 455.885345459 128.679331727 23.1451070483 0.269942343187 0.360085887351 g
57077.1097248 57070.1393195 1.31 1.27 86.0 503.910369873 93.9785238474 23.0363628888 0.185667976019 0.224104093543 g
57077.1709629 57070.1393195 1.18 1.27 86.0 645.256713867 82.9361425637 22.767914798 0.131284705344 0.149371401283 g
57080.1011363 57070.1393195 1.31 1.27 86.0 640.739074707 166.324169158 22.7755431038 0.250565897318 0.326307210364 g
57080.1692567 57070.1393195 1.18 1.27 86.0 748.835083008 112.977813101 22.6062806707 0.152567014004 0.177566354769 g
57090.2281613 57070.1393195 1.37 1.27 86.0 524.671447754 155.009294829 22.992527551 0.281043835928 0.380206105789 g
57095.1686341 57070.1393195 1.22 1.27 86.0 215.778900146 79.3221545835 23.9572236903 0.339904466544 0.497534914468 g
