# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15au, field: Blind15A_27, CCD: S10, ipix: 3387, jpix: 1780, RA: 09:24:34.69, DEC: 00:20:42.63
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2276094 57070.1420036 1.17 1.26 86.0 128.814482486 97.8050456135 24.8293343954 0.613331594471 1.54617703373 g
57070.2962516 57070.1420036 1.38 1.26 86.0 112.37869067 99.3961006054 24.9775362086 0.687975736434 2.3433065592 g
57070.3433271 57070.1420036 1.79 1.26 86.0 250.482986757 93.7007250383 24.1073005452 0.345030201733 0.508703269841 g
57071.0709622 57070.1420036 1.71 1.26 86.0 56.5254160946 93.8969114903 25.7236367082 1.06267134142 4.27636329178 g
57071.2064075 57070.1420036 1.16 1.26 86.0 188.292123016 98.9514092923 24.4171657476 0.458545266331 0.809456836382 g
57071.276567 57070.1420036 1.29 1.26 86.0 235.972859826 99.1915862516 24.1720909883 0.38098971737 0.592088531922 g
57071.3456455 57070.1420036 1.86 1.26 86.0 163.886108176 99.1405114792 24.5678907728 0.51364390363 1.00832976105 g
57072.0676982 57070.1420036 1.72 1.26 86.0 170.296318183 100.253661661 24.5262329816 0.502605618307 0.964606623224 g
57072.1351824 57070.1420036 1.26 1.26 86.0 235.52400711 98.6439374912 24.174158174 0.379824014466 0.589237410524 g
57072.2047875 57070.1420036 1.16 1.26 86.0 376.573979896 97.5199550057 23.6646203573 0.250035227769 0.325405043576 g
57072.2735374 57070.1420036 1.29 1.26 86.0 325.341670082 98.515204315 23.8233968988 0.287198848804 0.391614914282 g
57072.3426596 57070.1420036 1.86 1.26 86.0 113.015994798 102.076857398 24.9713963477 0.698715165791 2.53539208726 g
57073.0650564 57070.1420036 1.72 1.26 86.0 187.544577054 110.687595782 24.421484851 0.503624954631 0.968552970598 g
57074.0625528 57070.1420036 1.72 1.26 86.0 443.882352482 128.961481784 23.4860764305 0.276920909853 0.372666088803 g
57074.3299007 57070.1420036 1.76 1.26 86.0 327.761540468 148.365968041 23.8153511478 0.405413204161 0.65436567971 g
57075.0603005 57070.1420036 1.71 1.26 86.0 471.04026767 128.492218673 23.4216010403 0.261886714244 0.345841341997 g
57075.1276512 57070.1420036 1.26 1.26 86.0 492.700538595 120.666333281 23.3727885355 0.23784319721 0.30500041425 g
57075.1957933 57070.1420036 1.16 1.26 86.0 438.335521184 101.350695061 23.4997294636 0.225836650994 0.285490800133 g
57075.2645073 57070.1420036 1.29 1.26 86.0 572.064232511 137.255167685 23.2106341407 0.233492607938 0.297865513433 g
57075.3330296 57070.1420036 1.84 1.26 86.0 444.857804159 122.093049527 23.4836930936 0.263310499383 0.348337773513 g
57077.0448417 57070.07447 1.84 1.7 86.0 1256.56974294 238.588336314 22.4282796329 0.18875128462 0.228616880949 r
57077.1124206 57070.1420036 1.29 1.26 86.0 882.645841683 103.778671765 22.7397799293 0.120693441966 0.135807703138 g
57077.1737661 57070.1420036 1.16 1.26 86.0 914.974939663 102.359575653 22.7007231299 0.115136449624 0.1288104252 g
57080.103822 57070.1420036 1.3 1.26 86.0 1236.72602318 172.859960964 22.3735623798 0.14204518372 0.163466360937 g
57080.171941 57070.1420036 1.16 1.26 86.0 1436.96874981 146.783935589 22.2106278193 0.105600101935 0.116988494162 g
57089.2311013 57070.07447 1.31 1.7 86.0 3454.97615648 234.535319395 21.3301334917 0.0713095273804 0.0763243236195 r
57090.231223 57070.1420036 1.32 1.26 86.0 1645.04871763 180.17695478 22.0637992182 0.112844511655 0.125947891096 g
57095.1190015 57070.07447 1.16 1.7 86.0 2946.74201254 173.722347245 21.5028908406 0.0621927791773 0.0659729138713 r
57095.1714365 57070.1420036 1.18 1.26 86.0 1534.22374565 102.014347563 22.1395243777 0.0698944976752 0.0747054523797 g
