# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15aw, field: Blind15A_33, CCD: S17, ipix: 2704, jpix: 0980, RA: 10:09:34.73, DEC: -01:40:37.73
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2358026 57070.1500297 1.14 1.22 86.0 -50.8292901017 105.72985545 30.0 4.39669591364 0.0 g
57070.3044483 57070.1500297 1.35 1.22 86.0 -150.481135266 103.18859258 30.0 0.0 0.0 g
57070.3515297 57070.1500297 1.75 1.22 86.0 -106.538267187 114.572289741 30.0 2.31008648841 0.0 g
57071.0790991 57070.1500297 1.64 1.22 86.0 17.0211909729 104.4878702 26.8747712671 2.13404680237 3.12522873289 g
57071.1465826 57070.1500297 1.23 1.22 86.0 -106.615376841 105.869034349 30.0 0.0 0.0 g
57071.2146193 57070.1500297 1.13 1.22 86.0 -70.4315308849 104.73851317 30.0 3.88621016756 0.0 g
57071.284774 57070.1500297 1.27 1.22 86.0 43.2608999225 104.989460447 25.8620072544 1.33725052061 4.1379927456 g
57071.3537621 57070.1500297 1.81 1.22 86.0 153.353635083 105.842338862 24.4880109408 0.569835441225 1.27224298938 g
57072.0758535 57070.1500297 1.65 1.22 86.0 -12.6190090743 111.493752063 30.0 5.03546729094 0.0 g
57072.1432071 57070.1500297 1.23 1.22 86.0 -256.753054016 104.989536189 30.0 0.0 0.0 g
57072.2129706 57070.1500297 1.13 1.22 86.0 85.3418779674 105.038934834 25.1243406397 0.871152453162 4.87565936033 g
57072.2817475 57070.1500297 1.27 1.22 86.0 -156.064463269 104.849257226 30.0 0.0 0.0 g
57072.3508608 57070.1500297 1.81 1.22 86.0 -135.348088864 109.483390296 30.0 0.0 0.0 g
57073.0731763 57070.1500297 1.65 1.22 86.0 -66.623356702 128.314714055 30.0 4.52331468647 0.0 g
57074.0705368 57070.1500297 1.65 1.22 86.0 212.51602168 162.31657537 24.1337669349 0.616114186719 1.56673187571 g
57075.0682983 57070.1500297 1.64 1.22 86.0 -144.392884573 145.86386443 30.0 0.466770686353 0.0 g
57075.1356693 57070.1500297 1.23 1.22 86.0 -5.13366200986 128.278845979 30.0 5.27379745158 0.0 g
57075.2038295 57070.1500297 1.13 1.22 86.0 88.1927378983 108.891774024 25.088664065 0.873049177265 4.91133593505 g
57075.2727026 57070.1500297 1.26 1.22 86.0 3.66936678263 152.568847957 28.5407683153 4.07299035672 1.45923168474 g
57075.3413719 57070.1500297 1.79 1.22 86.0 60.5976188602 156.46683977 25.4961072301 1.38533290053 4.50389276992 g
57077.0529879 57070.0825178 1.76 1.64 86.0 -88.6647331225 222.049513398 30.0 5.18051956617 0.0 r
57077.1204493 57070.1500297 1.26 1.22 86.0 -15.2375918536 111.447655953 30.0 5.00580513188 0.0 g
57077.1819483 57070.1500297 1.14 1.22 86.0 -12.0243914674 113.226215322 30.0 5.06072472042 0.0 g
57078.1892737 57070.1500297 1.13 1.22 86.0 2986.19736669 126.228050919 21.2644498577 0.0449511129165 0.0468928362215 g
57080.0535963 57070.0825178 1.65 1.64 86.0 4045.88625679 261.071819517 21.1147119552 0.0678924380721 0.0724226937115 r
57080.1118195 57070.1500297 1.26 1.22 86.0 4162.40241712 166.243802581 20.9038859654 0.0425200682175 0.0442533681975 g
57080.1799831 57070.1500297 1.13 1.22 86.0 3884.63306139 170.31738772 20.978871123 0.0465888738003 0.0486779777227 g
57080.2047038 57070.0825178 1.14 1.64 86.0 3519.19901053 279.72875918 21.266136561 0.0830430234632 0.0899245769187 r
57089.2389317 57070.0825178 1.28 1.64 86.0 5773.14459209 244.028855277 20.7287150411 0.0449502389059 0.0468918850607 r
57090.2390433 57070.1500297 1.29 1.22 86.0 5088.34273804 189.36719013 20.6858052366 0.0396729009196 0.041177712083 g
57095.1258042 57070.0825178 1.14 1.64 86.0 6299.52886321 181.952301833 20.6339759528 0.0309154829938 0.0318216422003 r
57095.1796206 57070.1500297 1.16 1.22 86.0 4156.3263362 123.07558185 20.9054720304 0.0316835947635 0.0326360384599 g
