# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15az, field: Blind15A_50, CCD: S3, ipix: 313, jpix: 1641, RA: 10:34:49.38, DEC: -06:14:47.32
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.258953 57070.1902817 1.11 1.13 86.0 125.750260492 97.6906853398 24.7814738947 0.624134669268 1.62856950563 g
57070.3279325 57070.1902817 1.31 1.13 86.0 -107.192458648 95.6092809719 30.0 0.0 0.0 g
57070.3748081 57070.1902817 1.7 1.13 86.0 -35.1797174873 106.459383579 30.0 4.60216801336 0.0 g
57071.1019546 57070.1902817 1.53 1.13 86.0 -299.048641585 97.7540784479 30.0 0.0 0.0 g
57071.1692949 57070.1902817 1.17 1.13 86.0 -171.415319262 97.2987181661 30.0 0.0 0.0 g
57071.2377721 57070.1902817 1.09 1.13 86.0 53.4866456242 97.6748121014 25.7096327224 1.12798927274 4.29036727761 g
57071.3081428 57070.1902817 1.23 1.13 86.0 -422.945847593 95.8169764586 30.0 0.0 0.0 g
57071.3766442 57070.1902817 1.75 1.13 86.0 -277.602109184 99.0722118624 30.0 0.0 0.0 g
57072.0986127 57070.1902817 1.53 1.13 86.0 147.680842773 106.657914195 24.6069357229 0.59022095585 1.39074375294 g
57072.1672327 57070.1902817 1.17 1.13 86.0 -91.7124389921 98.4104393372 30.0 2.03461678584 0.0 g
57072.2360367 57070.1902817 1.09 1.13 86.0 299.594653437 99.1890458628 23.8389109814 0.3105083477 0.436560473173 g
57072.3050151 57070.1902817 1.23 1.13 86.0 159.556618106 98.6027499441 24.5229590716 0.522432666675 1.04478387812 g
57072.3738825 57070.1902817 1.75 1.13 86.0 -212.431177074 97.856838282 30.0 0.0 0.0 g
57073.0960143 57070.1902817 1.53 1.13 86.0 -60.7468422378 63.6256182287 30.0 1.11777355186 0.0 g
57075.0910912 57070.1902817 1.52 1.13 86.0 538.107908372 104.120011861 23.2030726912 0.192049518531 0.23347939279 g
57075.1583781 57070.1902817 1.17 1.13 86.0 685.923139288 105.835337657 22.9395574936 0.155793170029 0.181954302034 g
57075.226999 57070.1902817 1.09 1.13 86.0 783.420899697 98.8919394811 22.795258245 0.129068614398 0.146508316975 g
57075.2957669 57070.1902817 1.23 1.13 86.0 559.546544226 117.195411672 23.1606555834 0.20646721089 0.255172685837 g
57077.07587 57070.105381 1.62 1.52 86.0 255.421484872 172.700139818 24.1661025649 0.560774348924 1.22409959461 r
57077.2047842 57070.1902817 1.09 1.13 86.0 604.600458788 100.616749186 23.0765749471 0.1671360714 0.197629933848 g
57078.2044361 57070.1902817 1.09 1.13 86.0 563.451164984 97.9791170709 23.1531054252 0.174069482581 0.207406687273 g
57080.1345549 57070.1902817 1.2 1.13 86.0 765.961200399 156.607616397 22.8197292004 0.201980000233 0.248343503135 g
57080.2031318 57070.1902817 1.09 1.13 86.0 589.745404834 116.213146959 23.103584714 0.195286594695 0.238287490927 g
57089.2590899 57070.105381 1.23 1.52 86.0 513.418882961 325.751268197 23.4080665344 0.533445475872 1.09270625823 r
57090.2590604 57070.1902817 1.25 1.13 86.0 1393.01051118 249.65500917 22.1703601444 0.178986869739 0.214432768685 g
57095.1434291 57070.105381 1.1 1.52 86.0 285.640361033 128.444321955 24.0446971948 0.40317398225 0.648444936378 r
57095.2029098 57070.1902817 1.13 1.13 86.0 402.852403407 101.446586148 23.5173812307 0.243855347508 0.31498582213 g
