# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bc, field: Blind15A_34, CCD: N19, ipix: 2522, jpix: 941, RA: 10:15:42.96, DEC: -00:24:07.61
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2371948 57070.1513671 1.17 1.25 86.0 -58.9325862058 82.0444199221 30.0 3.34333988242 0.0 g
57070.3058296 57070.1513671 1.37 1.25 86.0 -32.0376237187 80.548274725 30.0 4.14834662898 0.0 g
57070.3528677 57070.1513671 1.79 1.25 86.0 -128.665848207 86.8275094226 30.0 0.0 0.0 g
57071.0804328 57070.1513671 1.71 1.25 86.0 30.9406061278 85.2620110193 26.3399240849 1.43671773042 3.66007591513 g
57071.1479168 57070.1513671 1.26 1.25 86.0 75.9245214633 82.5076066518 25.3652909698 0.798652981277 4.63470903022 g
57071.2160155 57070.1513671 1.16 1.25 86.0 -16.330127182 82.2462812615 30.0 4.48123352248 0.0 g
57071.2861523 57070.1513671 1.29 1.25 86.0 -37.3165118407 83.1652783162 30.0 4.08707301143 0.0 g
57071.3551409 57070.1513671 1.86 1.25 86.0 -25.463138467 83.4310964206 30.0 4.34172387609 0.0 g
57072.077189 57070.1513671 1.71 1.25 86.0 16.3251018479 89.8924017075 27.0341063796 2.0333504763 2.96589362039 g
57072.1445419 57070.1513671 1.26 1.25 86.0 -66.2592372866 83.6082270478 30.0 3.03193934868 0.0 g
57072.2143034 57070.1513671 1.16 1.25 86.0 39.7999283496 81.623819865 26.0665404025 1.21105336174 3.93345959746 g
57072.2831408 57070.1513671 1.29 1.25 86.0 19.5818996791 80.9216359198 26.8366090749 1.77581629681 3.1633909251 g
57072.3522409 57070.1513671 1.85 1.25 86.0 -19.9700404631 86.01478791 30.0 4.48334958137 0.0 g
57073.0745012 57070.1513671 1.71 1.25 86.0 -161.108060759 94.1882312065 30.0 0.0 0.0 g
57075.0696416 57070.1513671 1.71 1.25 86.0 6.11767729159 104.359215669 28.0997797177 3.14171221885 1.90022028227 g
57075.1370012 57070.1513671 1.26 1.25 86.0 -75.9108102888 98.8231665697 30.0 3.3339282565 0.0 g
57075.2051724 57070.1513671 1.16 1.25 86.0 -103.488770235 82.8862225415 30.0 0.0 0.0 g
57075.2740416 57070.1513671 1.29 1.25 86.0 -113.389093663 106.114311757 30.0 0.0 0.0 g
57075.3427522 57070.1513671 1.83 1.25 86.0 -159.072596022 113.088557368 30.0 0.0 0.0 g
57077.0543143 57070.0838544 1.83 1.7 86.0 267.318863856 182.880799948 24.0986721115 0.565938899262 1.25122834972 r
57077.1217682 57070.1513671 1.29 1.25 86.0 254.081802114 89.5240293649 24.0538122255 0.327717411895 0.471637901014 g
57077.1832871 57070.1513671 1.16 1.25 86.0 336.032912862 86.1754874448 23.7502915866 0.247862633078 0.321723889993 g
57078.190664 57070.1513671 1.16 1.25 86.0 435.749885937 92.4624111534 23.4681529229 0.208928063794 0.258948310228 g
57080.0549265 57070.0838544 1.72 1.7 86.0 420.561670437 217.331754551 23.6066719056 0.452296091843 0.789605128962 r
57080.1131535 57070.1513671 1.29 1.25 86.0 405.939735565 155.49128953 23.5450922169 0.352087109798 0.524358057813 g
57080.1813153 57070.1513671 1.16 1.25 86.0 673.258201534 136.599178127 22.9957919965 0.200567228343 0.246208041563 g
57089.2404554 57070.0838544 1.31 1.7 86.0 520.902329169 271.675264244 23.3743553797 0.455713727727 0.800402740985 r
57090.2405621 57070.1513671 1.32 1.25 86.0 194.46226545 168.450081712 24.3441577759 0.677416008278 2.18414631975 g
57095.1271428 57070.0838544 1.16 1.7 86.0 171.109829321 137.681339554 24.5830587329 0.640974783379 1.77289550406 r
57095.1809613 57070.1513671 1.18 1.25 86.0 83.447700475 81.8740097022 25.2627101942 0.742288789144 4.31123743791 g
