# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15be, field: Blind15A_45, CCD: N4, ipix: 2145, jpix: 728, RA: 10:27:26.66, DEC: 01:48:12.50
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.1836009 57070.1660888 1.22 1.27 86.0 -37.544475466 78.2149194429 30.0 3.99095115535 0.0 g
57070.2521272 57070.1660888 1.2 1.27 86.0 -36.4998097715 80.9266857566 30.0 4.08686831074 0.0 g
57070.3209626 57070.1660888 1.44 1.27 86.0 2.67108942309 83.1618194561 28.965525059 3.76741350848 1.03447494097 g
57070.3679811 57070.1660888 1.91 1.27 86.0 -8.99337442883 82.9578791829 30.0 4.64031225609 0.0 g
57071.0951591 57070.1660888 1.71 1.27 86.0 -22.2701986088 73.5680616831 30.0 4.24300205687 0.0 g
57071.1626183 57070.1660888 1.27 1.27 86.0 -25.6147420874 74.758928209 30.0 4.19643423964 0.0 g
57071.3011757 57070.1660888 1.34 1.27 86.0 -16.0348298542 76.117063815 30.0 4.41461905217 0.0 g
57071.3699748 57070.1660888 1.99 1.27 86.0 -22.4253643123 71.5481671427 30.0 4.19596171852 0.0 g
57072.0919318 57070.1660888 1.71 1.27 86.0 -85.2629770427 85.5300573765 30.0 -1.46564135219 0.0 g
57072.160557 57070.1660888 1.27 1.27 86.0 -60.1093217509 75.3522167192 30.0 2.92542251469 0.0 g
57072.2290578 57070.1660888 1.18 1.27 86.0 -46.6231828288 75.6762854593 30.0 3.62573516752 0.0 g
57072.2981874 57070.1660888 1.34 1.27 86.0 -46.4919623713 75.6913486783 30.0 3.63118818148 0.0 g
57072.3669837 57070.1660888 1.98 1.27 86.0 43.3745261031 79.0966484003 25.939159271 1.12699784977 4.06084072903 g
57073.0893543 57070.1660888 1.71 1.27 86.0 -165.984499158 97.3231657858 30.0 0.0 0.0 g
57074.0864873 57070.1660888 1.71 1.27 86.0 -92.8497664555 136.79179063 30.0 4.07495401858 0.0 g
57075.0844046 57070.1660888 1.7 1.27 86.0 -20.1095784508 99.8588124588 30.0 4.72207017276 0.0 g
57075.1517074 57070.1660888 1.27 1.27 86.0 -80.1526164543 105.958997583 30.0 3.49707163936 0.0 g
57075.2202993 57070.1660888 1.18 1.27 86.0 -57.1118800955 82.8577849047 30.0 3.49452426988 0.0 g
57075.2890649 57070.1660888 1.34 1.27 86.0 -82.0077042078 113.579081349 30.0 3.71598768738 0.0 g
57075.3576762 57070.1660888 1.96 1.27 86.0 -140.952046989 126.458660586 30.0 0.0 0.0 g
57077.0691953 57070.0986314 1.83 1.7 86.0 376.043967283 182.85996888 23.7381495634 0.430246355863 0.723168688202 r
57077.1364573 57070.1660888 1.3 1.27 86.0 319.183047256 93.9803824151 23.7721465865 0.280205143012 0.37866572848 g
57077.1980977 57070.1660888 1.18 1.27 86.0 204.906463386 89.6780499391 24.2533569841 0.394135635228 0.624990188466 g
57078.2002822 57070.1660888 1.18 1.27 86.0 530.949318833 81.0565391525 23.2196134582 0.154256277914 0.179860111831 g
57080.1278548 57070.1660888 1.31 1.27 86.0 817.690952579 199.853501318 22.7507731469 0.237410497585 0.30428740557 g
57080.1964492 57070.1660888 1.18 1.27 86.0 1572.77120834 114.798195761 22.0405822525 0.0764902318222 0.0822901626531 g
57089.2528288 57070.0986314 1.35 1.7 86.0 8616.87807511 236.455991639 20.3378712583 0.0293922600828 0.0302101382893 r
57090.2529269 57070.1660888 1.36 1.27 86.0 9568.39829153 195.706504716 20.080148016 0.0219829678121 0.0224372724905 g
57095.1379678 57070.0986314 1.19 1.7 86.0 10023.041126 157.752206223 20.1737473473 0.0169552728043 0.0172242589889 r
57095.1962245 57070.1660888 1.22 1.27 86.0 8944.11750727 99.1816006354 20.1534023873 0.0119734977308 0.0121070152506 g
