# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bg, field: Blind15A_49, CCD: N14, ipix: 2460, jpix: 1452, RA: 10:28:47.20, DEC: -04:37:46.94
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2575659 57070.1889488 1.13 1.14 86.0 -8.42585523167 83.7973524569 30.0 4.71477172801 0.0 g
57070.3265598 57070.1889488 1.35 1.14 86.0 -5.98870219825 92.5039884513 30.0 4.86448599456 0.0 g
57070.37342 57070.1889488 1.77 1.14 86.0 -51.1749602477 88.8533422959 30.0 3.96198448547 0.0 g
57071.1006198 57070.1889488 1.55 1.14 86.0 34.9577677711 79.4059596894 26.1193868957 1.28686152231 3.8806131043 g
57071.167966 57070.1889488 1.19 1.14 86.0 -57.5132130808 83.2665259682 30.0 3.54883663263 0.0 g
57071.2363844 57070.1889488 1.11 1.14 86.0 -9.15052871484 82.9124856713 30.0 4.69133494773 0.0 g
57071.3067544 57070.1889488 1.27 1.14 86.0 -69.0377945675 83.0201239232 30.0 2.88570269134 0.0 g
57071.3753081 57070.1889488 1.84 1.14 86.0 -32.7542847539 78.1345604705 30.0 4.16392169738 0.0 g
57072.0972817 57070.1889488 1.55 1.14 86.0 63.4580498951 95.8513850163 25.4720293235 0.999386938257 4.52797067647 g
57072.1658917 57070.1889488 1.18 1.14 86.0 -34.525024425 81.1046669864 30.0 4.19224425079 0.0 g
57072.2346584 57070.1889488 1.11 1.14 86.0 -48.3312532298 81.3458209085 30.0 3.81851790844 0.0 g
57072.3036265 57070.1889488 1.26 1.14 86.0 -48.4624813096 83.6936037742 30.0 3.88907007198 0.0 g
57072.3725058 57070.1889488 1.83 1.14 86.0 -110.484273148 83.069529661 30.0 0.0 0.0 g
57073.0946888 57070.1889488 1.55 1.14 86.0 -34.7737888078 86.4519013183 30.0 4.30502047969 0.0 g
57075.0897401 57070.1889488 1.55 1.14 86.0 129.002090333 99.7489110385 24.7017542591 0.621915640715 1.61105918656 g
57075.157039 57070.1889488 1.19 1.14 86.0 75.8657473487 98.9706742773 25.2781317771 0.90646542206 4.72186822286 g
57075.2256573 57070.1889488 1.11 1.14 86.0 23.6899659874 96.0409713877 26.5418350351 1.75910486356 3.45816496486 g
57075.2944351 57070.1889488 1.26 1.14 86.0 -103.943086577 116.762413079 30.0 2.79141689429 0.0 g
57075.3630387 57070.1889488 1.82 1.14 86.0 -47.3888890237 133.57124436 30.0 4.8602997695 0.0 g
57077.074538 57070.1040433 1.64 1.54 86.0 766.309814577 192.479791485 22.9312351585 0.243297323704 0.314052802082 r
57077.2034114 57070.1889488 1.11 1.14 86.0 354.696956487 87.9889131097 23.6036024732 0.240595494168 0.309553371616 g
57078.203057 57070.1889488 1.11 1.14 86.0 516.055309663 88.1068020709 23.196505501 0.171143088594 0.203261836659 g
57080.0672421 57070.1040433 1.63 1.54 86.0 1024.59186756 275.871503395 22.615868867 0.258868049626 0.340578147374 r
57080.1332244 57070.1889488 1.22 1.14 86.0 843.708073633 172.706101062 22.6627656156 0.202196270024 0.248671020264 g
57080.2017908 57070.1889488 1.11 1.14 86.0 1014.99977213 117.767931701 22.4620812662 0.119187284171 0.133903168951 g
57089.2575778 57070.1040433 1.27 1.54 86.0 4930.99162559 361.996721224 20.9099104657 0.0769166821946 0.0827839781423 r
57090.2575391 57070.1889488 1.28 1.14 86.0 4370.85502116 208.27898798 20.8768301246 0.0505423799869 0.0530105551413 g
57095.1420388 57070.1040433 1.12 1.54 86.0 4683.4800232 145.833588389 20.9658244478 0.0332918422391 0.0343450467825 r
57095.2015731 57070.1889488 1.15 1.14 86.0 3273.76276465 98.7895976785 21.1906281161 0.0322787411974 0.0332678638623 g
